,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.1897933853262868,3.774508307961857,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-09
0,2016,02-05,02-10,4.054198637684755,2.83914608111832,L,100%,Low,High,pos_change,16_Feb_m1,02-04,02-13
0,2016,01-27,01-28,7.541127985499314,1.2641957911635031,L,90%,Low,High,pos_change,16_Feb_m1,01-27,01-28
0,2016,03-10,03-17,2.290623667719123,6.31053379783636,W,100%,Low,High,pos_change,16_Mar_m1,03-07,03-17
0,2016,03-02,03-03,3.2229679613434663,2.077478630574209,L,90%,Low,High,pos_change,16_Mar_m1,03-02,03-03
0,2016,03-24,04-13,1.6203056714708577,7.102676128890725,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-13
0,2016,03-21,03-22,4.307183218295448,2.0448939874072174,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-16,05-20,2.160509218171871,4.124384851460727,W,100%,Low,High,pos_change,16_May_m1,05-15,05-20
0,2016,04-19,04-20,6.320536913358497,1.7509111570932,L,90%,Low,High,pos_change,16_May_m1,04-19,04-20
0,2016,05-24,05-26,2.0034689515877098,4.016942550751548,W,100%,Low,High,pos_change,16_Jun_m1,05-24,05-29
0,2016,05-24,05-25,3.801437199023352,2.994632006965723,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,07-06,07-15,3.1622671194697243,5.224118005394823,W,100%,Low,High,pos_change,16_Jul_m1,07-05,07-15
0,2016,07-22,08-05,3.5282391474044994,9.500563726205383,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-07
0,2016,07-19,07-21,6.246009694407474,1.671032538055581,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-22
0,2016,09-06,09-07,2.827684324617653,1.1626825180563871,L,100%,Low,High,pos_change,16_Sep_m1,09-03,09-12
0,2016,08-31,09-01,6.134919610061357,1.098072386228206,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,10-06,10-11,4.689274919283261,4.914704607950742,W,100%,Low,High,pos_change,16_Oct_m1,10-06,10-21
0,2016,10-11,10-12,8.067444753997863,1.5318472077794087,L,90%,Low,High,pos_change,16_Oct_m1,10-11,10-12
0,2016,11-04,11-08,2.6054565522742124,3.339192109861022,W,100%,Low,High,pos_change,16_Nov_m1,11-01,11-14
0,2016,10-27,10-28,6.779655902924697,0.9728313980681784,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-25,11-28,1.955260298688965,1.3699903688776256,L,100%,Low,High,pos_change,16_Dec_m1,11-24,12-02
0,2016,11-29,11-30,2.567174383305846,1.9351296986676807,L,90%,Low,High,pos_change,16_Dec_m1,11-28,12-01
0,2017,01-04,01-18,3.109305031471847,4.103671706263499,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-20
0,2017,02-06,02-15,4.095010233343521,5.717618871181012,W,100%,Low,High,pos_change,17_Feb_m1,02-05,02-16
0,2017,01-25,01-26,6.299382761416387,1.7958128400656124,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,02-21,03-02,2.695382529209776,3.1622320832938247,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-11
0,2017,03-21,04-05,2.7245154700660263,4.100773750470252,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-13
0,2017,03-20,03-21,4.307183218295448,1.8327086946591409,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,05-03,05-09,1.5588279817957196,7.354266511501628,W,100%,Low,High,pos_change,17_May_m1,05-03,05-09
0,2017,04-27,04-28,3.664467961698148,0.6908139767145615,L,90%,Low,High,pos_change,17_May_m1,04-27,04-30
0,2017,05-24,05-25,2.0034689515877098,1.1004178651467644,L,100%,Low,High,pos_change,17_Jun_m1,05-24,05-29
0,2017,05-24,05-25,3.801437199023352,1.1004178651467644,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-20,6.055746331091129,6.648866175871595,W,100%,Low,High,pos_change,17_Jul_m1,06-27,07-21
0,2017,06-26,06-27,8.129170572695639,0.5365241113629169,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-10,08-16,2.2921317480864034,5.096028827002461,W,100%,Low,High,pos_change,17_Aug_m1,08-09,08-16
0,2017,08-07,08-08,3.8142805049138753,3.293549321769365,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,09-06,09-12,3.257292214892724,2.1430365997046152,L,100%,Low,High,pos_change,17_Sep_m1,09-03,09-14
0,2017,08-31,09-01,6.134919610061357,0.8930797357619711,L,90%,Low,High,pos_change,17_Sep_m1,08-31,09-01
0,2017,09-29,10-10,3.4724174548825,3.947368421052632,W,100%,Low,High,pos_change,17_Oct_m1,09-29,10-13
0,2017,09-29,10-02,6.162789983519689,1.6118400975277547,L,90%,Low,High,pos_change,17_Oct_m1,09-29,10-02
0,2017,11-02,11-08,2.6054565522742124,6.631175456688138,W,100%,Low,High,pos_change,17_Nov_m1,11-01,11-14
0,2017,11-20,11-24,2.147608957822334,3.5031862036643413,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-07
0,2017,11-29,11-30,2.567174383305846,2.9791790012193524,W,90%,Low,High,pos_change,17_Dec_m1,11-28,12-01
0,2018,01-04,01-18,2.9370998639245154,4.660625399304008,W,100%,Low,High,pos_change,18_Jan_m1,01-04,01-19
0,2018,01-02,01-03,3.658200353383429,3.1253744042324345,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,02-06,02-16,4.095010233343521,13.51948527546672,W,100%,Low,High,pos_change,18_Feb_m1,02-05,02-16
0,2018,01-25,01-26,6.710956911770201,0.8620191351819736,L,90%,Low,High,pos_change,18_Feb_m1,01-25,01-28
0,2018,02-21,02-28,2.695382529209776,5.61955494944327,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-11
0,2018,02-20,02-21,3.4811850526664503,1.575076990481104,L,90%,Low,High,pos_change,18_Mar_m1,02-19,02-21
0,2018,03-22,04-13,2.7245154700660263,4.294181478220025,W,100%,Low,High,pos_change,18_Apr_m1,03-19,04-13
0,2018,03-21,03-22,4.181071122822439,0.8291476202801306,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-24
0,2018,05-03,05-07,1.5588279817957196,7.584267107530549,W,100%,Low,High,pos_change,18_May_m1,05-03,05-09
0,2018,04-23,04-24,4.994532485538147,1.3651078939336991,L,90%,Low,High,pos_change,18_May_m1,04-23,04-24
0,2018,05-23,06-07,2.168073359725132,4.543498433994441,W,100%,Low,High,pos_change,18_Jun_m1,05-21,06-07
0,2018,06-29,07-16,5.440332647911174,5.325017789823971,L,100%,Low,High,pos_change,18_Jul_m1,06-28,07-20
0,2018,06-26,06-27,7.299655991057791,2.5966942409897364,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-10,08-16,2.2921317480864034,3.4547827226532144,W,100%,Low,High,pos_change,18_Aug_m1,08-09,08-16
0,2018,07-23,07-24,4.486712571834715,2.162906813843093,L,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,09-07,09-13,3.257292214892724,3.46155550597807,W,100%,Low,High,pos_change,18_Sep_m1,09-05,09-16
0,2018,10-01,10-03,3.4724174548825,3.1455687763186293,L,100%,Low,High,pos_change,18_Oct_m1,09-29,10-13
0,2018,09-28,10-01,5.069427420717145,2.410496292070736,L,90%,Low,High,pos_change,18_Oct_m1,09-28,10-01
0,2018,11-02,11-08,2.6054565522742124,2.283017382378152,L,100%,Low,High,pos_change,18_Nov_m1,11-01,11-14
0,2018,10-22,10-23,4.897158170231163,1.9685747284794208,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-23
0,2018,11-20,11-28,2.2361594734143586,3.2932590508808604,W,100%,Low,High,pos_change,18_Dec_m1,11-19,11-28
0,2018,11-19,11-20,4.50577936992971,0.0,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-09,01-18,2.170593102934335,5.51360003393788,W,100%,Low,High,pos_change,19_Jan_m1,01-09,01-18
0,2019,01-02,01-03,3.658200353383429,0.0,L,90%,Low,High,pos_change,19_Jan_m1,01-01,01-03
0,2019,01-31,02-06,3.3572250189703694,6.690574823146032,W,100%,Low,High,pos_change,19_Feb_m1,01-31,02-14
0,2019,01-28,01-30,5.094110227752486,8.128328736630685,W,90%,Low,High,pos_change,19_Feb_m1,01-27,01-30
0,2019,02-19,03-11,2.695382529209776,5.681744829733832,W,100%,Low,High,pos_change,19_Mar_m1,02-18,03-11
0,2019,02-19,02-20,3.4811850526664503,2.2597213445775486,L,90%,Low,High,pos_change,19_Mar_m1,02-19,02-21
0,2019,03-20,04-09,2.7245154700660263,9.808916145216626,W,100%,Low,High,pos_change,19_Apr_m1,03-18,04-16
0,2019,03-21,03-22,4.181071122822439,4.15152256686583,L,90%,Low,High,pos_change,19_Apr_m1,03-21,03-24
0,2019,05-06,05-07,1.5588279817957196,1.9262890265087529,W,100%,Low,High,pos_change,19_May_m1,05-03,05-09
0,2019,04-23,04-24,4.994532485538147,2.246200082467808,L,90%,Low,High,pos_change,19_May_m1,04-23,04-24
0,2019,05-23,06-07,2.168073359725132,7.93543715431518,W,100%,Low,High,pos_change,19_Jun_m1,05-21,06-07
0,2019,05-23,05-24,4.543498433994441,2.435184686186063,L,90%,Low,High,pos_change,19_Jun_m1,05-21,05-24
0,2019,06-28,07-16,4.129170647204683,4.597816502552411,W,100%,Low,Close,pos_change,19_Jul_m1,06-27,07-17
0,2019,06-26,06-27,5.538512645009283,2.1383334634859934,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-29
0,2019,07-22,07-31,2.304654048803063,8.72255510711541,W,100%,Low,High,pos_change,19_Aug_m1,07-22,08-10
0,2019,07-23,07-24,4.486712571834715,0.8972939700876491,L,90%,Low,High,pos_change,19_Aug_m1,07-23,07-24
0,2019,09-05,09-12,3.257292214892724,7.049314003753845,W,100%,Low,High,pos_change,19_Sep_m1,09-05,09-16
0,2019,10-03,10-10,2.9829884811096004,7.116625859295428,W,100%,Low,High,pos_change,19_Oct_m1,10-01,10-10
0,2019,09-23,09-24,4.768722855610822,2.2237591235502747,L,90%,Low,High,pos_change,19_Oct_m1,09-23,09-25
0,2019,11-01,11-12,2.283017382378152,5.470382357714366,W,100%,Low,High,pos_change,19_Nov_m1,11-01,11-12
0,2019,10-29,10-30,4.320524480988981,1.1254465288819298,L,90%,Low,High,pos_change,19_Nov_m1,10-29,10-30
0,2019,11-20,11-27,2.5624634914768687,2.9109129291519875,W,100%,Low,High,pos_change,19_Dec_m1,11-18,11-28
0,2019,11-18,11-19,4.50577936992971,1.4267830514781843,L,90%,Low,High,pos_change,19_Dec_m1,11-18,11-20
0,2020,01-09,01-17,1.728962975489847,4.095355168981863,W,100%,Low,High,pos_change,20_Jan_m1,01-09,01-17
0,2020,01-02,01-03,3.658200353383429,1.825937222223256,L,90%,Low,High,pos_change,20_Jan_m1,01-01,01-03
0,2020,01-31,02-12,6.093638470065826,6.14031987774359,W,100%,Low,High,pos_change,20_Feb_m1,01-28,02-21
0,2020,01-27,01-28,7.541127985499314,4.4345279444837935,L,90%,Low,High,pos_change,20_Feb_m1,01-27,01-28
0,2020,03-09,03-10,2.5872022518439226,8.91254845680846,W,100%,Low,High,pos_change,20_Mar_m1,03-07,03-17
0,2020,02-25,02-26,4.137105163369313,4.106524936038195,L,90%,Low,High,pos_change,20_Mar_m1,02-25,02-26
0,2020,05-04,05-08,1.5588279817957196,8.392706819152233,W,100%,Low,High,pos_change,20_May_m1,05-03,05-09
0,2020,04-23,04-24,4.994532485538147,2.961405316344952,L,90%,Low,High,pos_change,20_May_m1,04-23,04-24
0,2020,05-18,06-05,3.2091515172564757,6.905772160991039,W,100%,Low,High,pos_change,20_Jun_m1,05-18,06-07
0,2020,05-21,05-22,4.543498433994441,1.0637337895592336,L,90%,Low,High,pos_change,20_Jun_m1,05-21,05-24
0,2020,06-29,07-13,4.129170647204683,13.818039374174196,W,100%,Low,Close,pos_change,20_Jul_m1,06-27,07-17
0,2020,06-29,07-01,5.325017789823971,4.577541171755811,L,90%,Low,High,pos_change,20_Jul_m1,06-28,07-01
0,2020,07-24,08-06,3.4731715044496623,28.344273691797785,W,100%,Low,High,pos_change,20_Aug_m1,07-21,08-10
0,2020,07-23,07-24,6.220445815745589,1.0433638323921317,L,90%,Low,High,pos_change,20_Aug_m1,07-23,07-24
0,2020,09-08,09-10,3.257292214892724,6.940006810121583,W,100%,Low,High,pos_change,20_Sep_m1,09-05,09-16
0,2020,08-31,09-01,5.195411750529786,6.9841294061569945,W,90%,Low,Close,pos_change,20_Sep_m1,08-31,09-01
0,2020,10-02,10-09,2.9829884811096004,4.259489152825839,W,100%,Low,High,pos_change,20_Oct_m1,10-01,10-10
0,2020,09-29,09-30,4.533654146094205,3.249099631347817,L,90%,Low,High,pos_change,20_Oct_m1,09-29,09-30
0,2020,10-19,10-20,3.127444823997936,2.8704820938129214,L,100%,Low,High,pos_change,20_Nov_m1,10-19,10-27
0,2020,10-20,10-21,4.754964925089789,2.6636702449317444,L,90%,Low,High,pos_change,20_Nov_m1,10-20,10-21
0,2020,11-30,12-09,1.955627050166699,7.824672186183094,W,100%,Low,High,pos_change,20_Dec_m1,11-28,12-11
0,2020,12-01,12-02,3.229709744275107,2.7997671448563315,L,90%,Low,High,pos_change,20_Dec_m1,12-01,12-02
