,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.7248544641775037,2.551355793279644,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-14
0,2016,01-04,01-05,3.0834659233043027,2.551355793279644,L,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-28,02-01,4.089707584845809,9.117292858240678,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-19
0,2016,02-24,03-02,2.9197080291970803,9.41554765581127,W,100%,Close,High,pos_change,16_Mar_m1,02-24,03-15
0,2016,02-25,02-26,3.820503801453448,3.957221355522616,W,90%,Low,Open,pos_change,16_Mar_m1,02-25,02-28
0,2016,03-24,04-04,3.804001956555089,5.512327429366438,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-06
0,2016,03-28,03-29,4.775664470948194,1.6757354624131118,L,90%,Low,High,pos_change,16_Apr_m1,03-26,03-29
0,2016,05-09,05-16,3.7914656241836138,4.144028204782469,W,100%,Low,High,pos_change,16_May_m1,05-09,05-20
0,2016,04-18,04-19,6.454517506240098,3.277308619869173,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,05-31,2.0167478959166285,1.6784590567275948,L,100%,Low,High,pos_change,16_Jun_m1,05-26,06-16
0,2016,06-29,07-13,2.4508600249042125,6.150190903618142,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-14
0,2016,06-27,06-28,4.318581640192893,2.545659203764792,L,90%,Low,High,pos_change,16_Jul_m1,06-27,06-28
0,2016,08-05,08-11,2.000002591115124,4.920225120144311,W,100%,Low,High,pos_change,16_Aug_m1,08-05,08-15
0,2016,07-18,07-19,4.742113502676302,0.6046283324652075,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-26,09-02,3.308822034139576,3.047093169035165,L,100%,Low,High,pos_change,16_Sep_m1,08-26,09-08
0,2016,08-29,08-30,5.323688821650406,0.976329239518668,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,10-12,10-20,4.744704236473007,2.396552673569976,L,100%,Low,High,pos_change,16_Oct_m1,10-09,10-21
0,2016,10-06,10-07,6.708868485462817,0.859996588149421,L,90%,Low,High,pos_change,16_Oct_m1,10-06,10-09
0,2016,10-27,11-08,3.985356229626048,2.315119658994891,L,100%,Low,High,pos_change,16_Nov_m1,10-26,11-14
0,2016,10-27,10-28,8.210489855104857,1.5277881864452645,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,12-02,12-16,3.9922508414882345,10.000003114038584,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-16
0,2016,11-21,11-22,6.327011665377741,1.1603587861759492,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-03,01-11,1.7248544641775037,6.069453984382931,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-14
0,2017,01-04,01-06,3.0834659233043027,4.763285319010416,W,90%,Low,High,pos_change,17_Jan_m1,01-04,01-07
0,2017,01-26,02-16,3.294334082218237,5.978885534518153,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-16
0,2017,01-23,01-24,5.6939553806760985,3.508608350057362,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-23,03-07,4.015552106296049,2.253667448631673,L,100%,Low,High,pos_change,17_Mar_m1,02-20,03-09
0,2017,02-21,02-22,5.270166391948239,0.4861301172769244,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-23,04-05,3.804001956555089,4.221886838056492,W,100%,Low,High,pos_change,17_Apr_m1,03-23,04-06
0,2017,03-27,03-29,4.775664470948194,2.5878476231924417,L,90%,Low,High,pos_change,17_Apr_m1,03-26,03-29
