,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-01,4.668932115469075,4.885226220644203,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-12
0,2016,03-10,03-17,1.890759543505214,9.615377976510269,W,100%,Low,High,pos_change,16_Mar_m1,03-10,03-17
0,2016,02-29,03-02,3.335474359680192,3.936326021370034,W,90%,Low,High,pos_change,16_Mar_m1,02-27,03-02
0,2016,03-24,03-30,3.598812764809125,3.823608322278555,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-08
0,2016,03-23,03-24,4.761912044508888,0.4924769054256686,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-25,05-03,1.543350621836327,4.471862465408166,W,100%,Low,High,pos_change,16_May_m1,04-25,05-16
0,2016,04-18,04-19,4.341536864826669,4.609546403753216,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-07,06-08,2.1240764374791565,1.3793068370599857,L,100%,Low,High,pos_change,16_Jun_m1,06-05,06-14
0,2016,05-26,05-27,4.011921235332283,2.0628248271515592,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-30,07-08,1.3333340603817332,4.4908716601702,W,100%,Low,High,pos_change,16_Jul_m1,06-30,07-10
0,2016,06-22,06-23,3.063538009006523,1.930864228515912,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-23
0,2016,08-02,08-08,2.358035394258036,5.060629932117428,W,100%,Close,High,pos_change,16_Aug_m1,08-02,08-10
0,2016,07-21,07-22,4.584825871528932,1.3888853322331935,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-22
0,2016,08-26,09-07,2.369673007512862,4.38493090551368,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-10
0,2016,08-25,08-26,4.255311655349237,1.1764705882352942,L,90%,Close,High,pos_change,16_Sep_m1,08-25,08-28
