,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-11,01-13,0.8504149537228028,2.689491689497089,W,100%,Low,High,pos_change,16_Jan_m1,01-09,01-15
0,2016,01-07,01-08,1.6859853587210656,1.0068836665124128,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-08
0,2016,01-28,02-01,2.162037544852246,3.640204227778523,W,100%,Close,High,pos_change,16_Feb_m1,01-28,02-07
0,2016,01-28,01-29,3.367172733697868,3.2674927973831243,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-29,03-01,1.9451547830478424,2.480215565767329,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-07
0,2016,02-24,02-25,2.978054299256595,3.646656086455579,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,04-01,04-11,1.8906626934710888,2.5354970184404557,W,100%,Low,High,pos_change,16_Apr_m1,03-31,04-15
0,2016,04-01,04-04,2.3360301586914005,1.870637482612692,L,90%,Low,High,pos_change,16_Apr_m1,04-01,04-04
0,2016,04-25,04-28,2.1081550267976468,2.123594819829705,W,100%,Low,High,pos_change,16_May_m1,04-23,05-06
0,2016,04-25,04-28,3.683110911492958,2.123594819829705,L,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,05-31,06-01,1.2381569505426702,0.9733178246869484,L,100%,Low,High,pos_change,16_Jun_m1,05-30,06-09
0,2016,05-23,05-24,2.302626832163599,2.6877945980661093,W,90%,Close,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,07-05,07-11,0.9999988051414976,3.584964251003026,W,100%,Open,High,pos_change,16_Jul_m1,07-03,07-11
0,2016,08-03,08-15,2.414580639308191,3.5522564271219865,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-17
0,2016,08-01,08-02,3.1272846629985738,1.2407558181190523,L,90%,Low,High,pos_change,16_Aug_m1,07-30,08-02
0,2016,08-31,09-02,1.7992456701074715,1.7671335834311506,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-09
0,2016,08-29,08-30,2.58677151648301,0.636942349347162,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,09-26,09-28,3.044267484987021,1.3999496004944778,L,100%,Low,High,pos_change,16_Oct_m1,09-24,10-16
0,2016,09-26,09-27,3.6473612131523176,1.377189934062094,L,90%,Low,High,pos_change,16_Oct_m1,09-24,09-27
0,2016,11-04,11-11,1.971010954483696,4.453025358745351,W,100%,Low,High,pos_change,16_Nov_m1,11-03,11-11
0,2016,10-27,10-28,4.855250206946715,1.1774261858477588,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-30
