,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.1229678744016987,2.6333516448241343,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-09
0,2016,01-05,01-06,4.424415937964677,0.0,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-06
0,2016,01-26,02-03,4.646386029173024,7.406630473595597,W,100%,Low,High,pos_change,16_Feb_m1,01-23,02-16
0,2016,01-22,01-25,6.153840094999858,1.716290334743625,L,90%,Low,High,pos_change,16_Feb_m1,01-22,01-25
0,2016,02-25,03-07,3.565362342475351,19.671795184795677,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-16
0,2016,02-24,02-26,6.944444444444445,7.590211021895824,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-24,03-30,2.7996472990408856,5.624777198730245,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-09
0,2016,03-29,03-30,4.632027456492897,5.474585714439728,W,90%,Low,High,pos_change,16_Apr_m1,03-27,03-30
0,2016,05-09,05-11,2.834526595190773,2.120016803189867,L,100%,Low,High,pos_change,16_May_m1,05-07,05-16
0,2016,05-23,05-25,2.33918339393434,7.246375525655598,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-31
0,2016,05-23,05-25,5.419001348463545,7.246375525655598,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-24,07-01,2.5715874401710126,2.544109165092027,L,100%,Low,High,pos_change,16_Jul_m1,06-23,07-07
0,2016,06-27,06-29,3.8780692264359353,7.7478936852594495,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-29,08-01,2.8505663447038696,2.199865158516806,L,100%,Low,High,pos_change,16_Aug_m1,07-28,08-08
0,2016,08-05,08-08,5.9621565963857615,2.798285095476797,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-24,08-26,3.306878373622962,9.926937882598208,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-11
0,2016,09-06,09-07,5.726872246696035,2.550334088952478,L,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,09-26,10-06,4.399773163337736,3.995465601679029,L,100%,Low,High,pos_change,16_Oct_m1,09-25,10-10
0,2016,11-01,11-17,5.499567729879449,13.260312686425603,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-27,10-28,10.032835554662537,2.8101098249516285,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-30
0,2016,11-23,11-28,3.033800669902335,3.1076818753898583,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-04
0,2016,11-22,11-23,8.87123596952788,1.0310613817887744,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-12,01-20,3.365123163855149,3.34427258621943,L,100%,Low,High,pos_change,17_Jan_m1,01-12,01-20
0,2017,01-23,02-16,4.646386029173024,5.623526407642557,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-16
0,2017,01-24,01-25,5.425101664767813,2.9804983951414425,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,02-28,03-01,3.565362342475351,3.709736621298725,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-16
0,2017,02-24,02-27,5.426977810593579,2.637407448297476,L,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,04-06,04-21,3.857570292449757,7.472793873309978,W,100%,Low,High,pos_change,17_Apr_m1,04-06,04-21
0,2017,03-29,03-30,5.713614801133449,2.671212701100929,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-31
0,2017,05-11,05-19,2.1108179419525066,19.50569619990817,W,100%,Close,High,pos_change,17_May_m1,05-11,05-19
0,2017,04-24,04-25,3.5449895487393697,1.2940692436498735,L,90%,Low,High,pos_change,17_May_m1,04-24,04-26
0,2017,05-24,05-25,2.33918339393434,2.530176012214671,W,100%,Low,High,pos_change,17_Jun_m1,05-23,05-31
0,2017,05-24,05-25,6.095364687983325,2.530176012214671,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-29,07-19,3.096113724733371,10.5,W,100%,Low,High,pos_change,17_Jul_m1,06-29,07-19
0,2017,06-27,06-28,4.851753031175126,2.302439619855183,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-28
0,2017,07-31,08-01,3.1718973903671346,2.5596625886679094,L,100%,Low,High,pos_change,17_Aug_m1,07-28,08-09
0,2017,08-24,08-25,3.306878373622962,9.803743902834093,W,100%,Low,High,pos_change,17_Sep_m1,08-24,09-11
0,2017,09-06,09-07,4.798250564040634,1.6156233201702292,L,90%,Low,High,pos_change,17_Sep_m1,09-06,09-07
0,2017,09-25,10-06,3.995465601679029,8.246662640256393,W,100%,Low,High,pos_change,17_Oct_m1,09-25,10-10
0,2017,10-30,11-17,4.92369452062062,4.938471343487541,W,100%,Low,High,pos_change,17_Nov_m1,10-29,11-17
0,2017,11-20,11-28,6.771721395171938,3.956867392762874,L,100%,Low,High,pos_change,17_Dec_m1,11-20,12-07
0,2018,01-03,01-05,2.1229678744016987,5.944481481764078,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-09
0,2018,01-23,01-24,4.646386029173024,2.3519294967978808,L,100%,Low,High,pos_change,18_Feb_m1,01-23,02-16
0,2018,01-25,01-26,5.64549855432634,1.955905280317255,L,90%,Low,High,pos_change,18_Feb_m1,01-24,01-27
0,2018,02-26,03-13,3.565362342475351,23.123847619323747,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-16
0,2018,04-06,04-18,3.2555206200429296,7.8184992914908,W,100%,Low,High,pos_change,18_Apr_m1,04-06,04-20
0,2018,05-01,05-10,1.7445819950039496,9.881073639519544,W,100%,Low,High,pos_change,18_May_m1,04-28,05-11
0,2018,04-25,04-26,3.5449895487393697,5.491687361290911,W,90%,Low,High,pos_change,18_May_m1,04-24,04-26
0,2018,05-23,05-25,2.33918339393434,3.458745386736607,W,100%,Low,High,pos_change,18_Jun_m1,05-23,05-31
0,2018,05-23,05-25,5.419001348463545,3.458745386736607,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,07-02,07-18,3.096113724733371,6.937456467031328,W,100%,Low,High,pos_change,18_Jul_m1,06-29,07-19
0,2018,07-10,07-11,4.764513816195932,0.1045629922224507,L,90%,Low,High,pos_change,18_Jul_m1,07-10,07-11
0,2018,07-27,08-09,2.392213051739709,5.384615384615385,W,100%,Low,High,pos_change,18_Aug_m1,07-26,08-13
0,2018,08-06,08-07,5.9621565963857615,3.815103736985527,L,90%,Low,High,pos_change,18_Aug_m1,08-05,08-08
0,2018,08-31,09-04,3.623836797217133,0.7894509175632172,L,100%,Low,High,pos_change,18_Sep_m1,08-29,09-19
0,2018,09-25,09-26,3.995465601679029,2.699702574294834,L,100%,Low,High,pos_change,18_Oct_m1,09-25,10-10
0,2018,10-01,10-02,6.318622763903433,0.9105510802355086,L,90%,Low,High,pos_change,18_Oct_m1,09-29,10-02
0,2018,10-24,11-08,4.244221959876613,12.856918807711908,W,100%,Low,High,pos_change,18_Nov_m1,10-22,11-09
0,2018,10-22,10-23,6.965380619256469,3.5298588797042085,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-23
0,2018,11-20,12-03,3.956867392762874,25.23730688849211,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-06
0,2018,11-19,11-20,6.799500469450025,0.6797268719531994,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-03,01-09,2.1229678744016987,13.75495017744704,W,100%,Low,High,pos_change,19_Jan_m1,01-03,01-09
0,2019,02-01,02-15,2.89061654048695,9.945542013192153,W,100%,Low,High,pos_change,19_Feb_m1,02-01,02-15
0,2019,01-24,01-25,4.740562109237651,5.353438287712105,W,90%,Low,High,pos_change,19_Feb_m1,01-23,01-25
0,2019,02-20,03-01,2.8968136729999894,6.669616108767978,W,100%,Low,High,pos_change,19_Mar_m1,02-19,03-13
0,2019,02-19,02-20,5.452197852079054,1.5660411906692218,L,90%,Low,High,pos_change,19_Mar_m1,02-18,02-20
0,2019,03-22,04-03,2.7996472990408856,9.497203381396767,W,100%,Low,High,pos_change,19_Apr_m1,03-21,04-09
0,2019,05-09,05-16,2.182188819287791,6.544841165452156,W,100%,Low,High,pos_change,19_May_m1,05-09,05-16
0,2019,04-22,04-23,6.639110709395744,4.949382441613546,L,90%,Low,High,pos_change,19_May_m1,04-22,04-23
