,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-04,3.730024220731175,11.221116468287024,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-07
0,2016,01-28,01-29,4.973358099128831,4.62046280796126,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-25,03-16,2.206742643831206,19.85293381059789,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-16
0,2016,03-03,03-04,3.795505630593695,7.234881379551786,W,90%,Low,High,pos_change,16_Mar_m1,03-03,03-06
0,2016,03-29,03-31,3.92156862745098,3.964755895513597,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-10
0,2016,04-18,04-19,4.826119927691318,4.339959530064495,L,100%,Low,High,pos_change,16_May_m1,04-18,05-09
0,2016,04-18,04-19,6.419753086419753,4.339959530064495,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-07,2.52365683850654,6.060604468362491,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-07
0,2016,05-26,05-27,5.543111630938945,2.2977940934777883,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-01,2.021902050817585,10.983168957554566,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-09
0,2016,06-21,06-22,6.570845568400677,2.290080225931028,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-04,08-05,3.304348821225374,2.53890596763459,L,100%,Low,High,pos_change,16_Aug_m1,08-04,08-13
0,2016,08-05,08-08,5.333333333333334,1.8181760861049656,L,90%,Low,Open,pos_change,16_Aug_m1,08-05,08-08
0,2016,08-25,09-07,2.217741405699268,8.818630828401783,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-14
0,2016,08-23,08-24,4.06824077999046,0.0821711488836838,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,10-07,10-14,1.5711652596003804,2.5906752393039003,W,100%,Low,High,pos_change,16_Oct_m1,10-05,10-16
0,2016,09-27,09-28,6.304990094092141,2.331003833741146,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-28,11-08,4.11664238586743,7.679028282408716,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-12
0,2016,10-27,10-28,6.180141867362023,0.5101995303965031,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-28,11-29,1.5544041450777202,2.4744023485124598,W,100%,Low,High,pos_change,16_Dec_m1,11-26,12-11
0,2016,11-21,11-22,4.835166511954842,1.1433607365821503,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-09,2.455465660286982,5.683831053633931,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-16
0,2017,01-30,01-31,3.730024220731175,4.304937330337912,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-07
0,2017,01-30,01-31,4.973358099128831,4.304937330337912,L,90%,Low,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-27,03-02,2.206742643831206,5.22522435831897,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-16
0,2017,03-03,03-06,3.795505630593695,2.021085588078904,L,90%,Low,High,pos_change,17_Mar_m1,03-03,03-06
0,2017,03-28,03-29,3.92156862745098,3.0769244046979463,L,100%,Low,High,pos_change,17_Apr_m1,03-26,04-10
