,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-03,02-18,2.638888888888889,6.557817780818281,W,100%,Open,High,pos_change,16_Feb_m1,02-03,02-19
0,2016,01-28,01-29,4.888889932224893,4.086138852448105,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,02-24,03-17,1.170709328266558,12.621862599848331,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-17
0,2016,02-24,02-26,2.192419730380962,3.30939181805166,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,04-01,04-14,1.060070671378092,1.884226663859696,W,100%,Close,High,pos_change,16_Apr_m1,04-01,04-14
0,2016,04-25,05-11,1.49812734082397,7.008511148252068,W,100%,Close,High,pos_change,16_May_m1,04-24,05-13
0,2016,04-28,04-29,2.2641509433962264,4.735067330484223,W,90%,Low,High,pos_change,16_May_m1,04-26,04-29
0,2016,05-27,05-31,1.609650887775096,1.3581230733228482,L,100%,Low,High,pos_change,16_Jun_m1,05-27,06-16
0,2016,05-26,05-27,2.5641054304103483,1.6509946514514584,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-12,1.4821104588693974,12.50568946001789,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-13
0,2016,06-27,06-29,2.03260447549689,5.626417585771162,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-29,08-11,2.483026337360273,3.801416398539036,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-18
0,2016,07-26,07-27,2.7777777777777777,1.1379828971947985,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-25,09-08,2.3728854471522167,4.1460440495246536,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-15
0,2016,08-25,08-26,3.149937071912973,1.7945522691822895,L,90%,Low,Close,pos_change,16_Sep_m1,08-25,08-26
0,2016,09-26,09-30,1.6695051609863965,3.004035734485372,W,100%,Low,High,pos_change,16_Oct_m1,09-24,10-21
0,2016,09-29,09-30,2.7323569189549866,2.1391437125789605,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-28,11-14,2.585408448233624,9.589618911250538,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-14
0,2016,10-24,10-25,5.128205128205128,0.0618021811517493,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-02,12-09,1.2302284710017577,3.655293151337146,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-11
0,2016,11-21,11-22,2.6690391459074734,0.8963349322058717,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-12,01-13,1.080890734462225,2.078525500546876,W,100%,Open,High,pos_change,17_Jan_m1,01-11,01-18
0,2017,01-05,01-06,1.8137441799089464,1.4834514114379391,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-30,02-03,2.5,2.137632384225051,L,100%,Low,High,pos_change,17_Feb_m1,01-28,02-05
0,2017,02-24,03-01,1.170709328266558,3.323803861297169,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-17
0,2017,03-01,03-02,2.237033906823417,1.314866739063877,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-04
0,2017,03-27,03-29,1.8974537935754463,2.808782018146529,W,100%,Low,Close,pos_change,17_Apr_m1,03-26,04-14
0,2017,03-23,03-24,3.1372549019607843,1.7882690142063369,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-26
0,2017,04-24,04-27,1.593625498007968,2.041187529976281,W,100%,Low,High,pos_change,17_May_m1,04-24,05-13
0,2017,04-25,04-27,2.251655629139073,1.4779234923607902,L,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,06-05,06-15,1.380743995028384,3.4458492399209133,W,100%,Low,High,pos_change,17_Jun_m1,06-02,06-15
0,2017,05-23,05-25,2.466987725966629,2.6935395728559866,W,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-29,07-07,1.719018233557112,2.5790479928129244,W,100%,Low,High,pos_change,17_Jul_m1,06-28,07-13
0,2017,06-27,06-29,2.567917925717836,2.339180733095172,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-30
0,2017,07-27,07-28,2.483026337360273,6.120993914607664,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-18
0,2017,08-28,09-12,2.3728854471522167,5.512620830684238,W,100%,Low,High,pos_change,17_Sep_m1,08-25,09-15
0,2017,08-22,08-23,3.051798884367037,1.1896528046706627,L,90%,Low,High,pos_change,17_Sep_m1,08-22,08-23
0,2017,09-18,10-06,2.1376065191146405,3.309492480326522,W,100%,Low,High,pos_change,17_Oct_m1,09-18,10-11
0,2017,10-27,11-14,2.585408448233624,5.1849505848514434,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-14
0,2017,10-24,10-25,5.160142348754448,0.3989786157178312,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-05,12-06,1.2302284710017577,0.8508015211032971,L,100%,Low,High,pos_change,17_Dec_m1,12-02,12-11
0,2017,11-30,12-01,2.885245234588456,1.9547933929073895,L,90%,Low,High,pos_change,17_Dec_m1,11-29,12-02
0,2018,01-12,01-16,1.080890734462225,2.033034939501057,W,100%,Open,High,pos_change,18_Jan_m1,01-11,01-18
