,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.093020441137416,3.372025061583778,W,100%,Open,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-07,01-08,2.8169014084507045,3.233634405054089,W,90%,Low,High,pos_change,16_Jan_m1,01-07,01-10
0,2016,02-01,02-04,2.4825142482608946,6.454771477411185,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-09
0,2016,02-24,03-04,3.1628410303391488,17.342744465063262,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-04
0,2016,02-25,02-26,4.855154057290861,6.759298539750171,W,90%,Low,High,pos_change,16_Mar_m1,02-25,02-27
0,2016,04-01,04-07,2.564823002614562,5.567821284445843,W,100%,Low,High,pos_change,16_Apr_m1,03-31,04-12
0,2016,03-23,03-24,4.655950306771127,1.3548838618935084,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-21,05-16,4.545454545454546,19.639864163476982,W,100%,Low,High,pos_change,16_May_m1,04-21,05-20
0,2016,04-21,04-22,7.463206350521748,1.8007024678117085,L,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,05-27,06-08,2.151101043547893,4.517199972429239,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-09
0,2016,05-23,05-25,4.508857704926089,4.1919328758110375,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-28,07-12,2.6078353685554525,13.041765674778569,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-13
0,2016,06-27,06-28,4.765018461773927,4.849047854423897,W,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,07-27,07-28,3.0579067698653555,2.401327362234879,L,100%,Low,High,pos_change,16_Aug_m1,07-24,08-05
0,2016,08-29,08-30,3.006784222360952,2.265766613041321,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-10
0,2016,08-24,08-25,5.446684000269557,1.744966880326961,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-28,09-30,5.694442325168185,3.396771631958066,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-19
0,2016,09-27,09-28,8.139718040021865,4.397486845128827,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-28,11-08,3.018819096541704,5.654862831879345,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-14
0,2016,10-26,10-27,7.599841081403773,2.144277826462292,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-23,12-08,3.3820719930455434,11.078994276024764,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-13
0,2016,11-28,11-29,4.888645442638535,3.885108288117057,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-03,01-13,2.093020441137416,9.151527681377267,W,100%,Open,High,pos_change,17_Jan_m1,01-02,01-15
0,2017,01-06,01-09,3.1751564977565025,1.2463863108999476,L,90%,Low,High,pos_change,17_Jan_m1,01-06,01-09
0,2017,02-02,02-09,2.4825142482608946,3.66120051816513,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-09
0,2017,02-24,03-03,3.1628410303391488,15.5789945376316,W,100%,Low,High,pos_change,17_Mar_m1,02-24,03-04
0,2017,04-04,04-19,3.3874854196285624,2.0227104245440417,L,100%,Low,High,pos_change,17_Apr_m1,04-04,04-21
0,2017,03-29,03-30,6.0785902297983485,1.1344087652068775,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-26,05-01,2.5714329310825894,2.694889450967444,W,100%,Low,High,pos_change,17_May_m1,04-26,05-03
0,2017,04-24,04-25,6.368822125776348,2.4367226085958373,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-26,06-09,2.7210884353741496,3.9572215349118247,W,100%,Low,High,pos_change,17_Jun_m1,05-25,06-09
0,2017,05-23,05-25,5.66762883031706,2.8121898122226505,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-29,07-13,2.6078353685554525,14.676692540831086,W,100%,Low,High,pos_change,17_Jul_m1,06-28,07-13
0,2017,06-22,06-23,5.716352961634965,0.7611103102581712,L,90%,Low,High,pos_change,17_Jul_m1,06-22,06-25
0,2017,08-03,08-07,2.0215634254625603,4.220121419930221,W,100%,Low,High,pos_change,17_Aug_m1,08-03,08-11
0,2017,07-24,07-25,3.513337448755517,1.408692900286193,L,90%,Low,High,pos_change,17_Aug_m1,07-24,07-27
0,2017,08-29,09-05,2.6086907646182604,5.7812615563776415,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-10
0,2017,08-25,08-28,3.3870943130985385,1.522840741500213,L,90%,Low,High,pos_change,17_Sep_m1,08-25,08-28
0,2017,09-27,10-05,4.334422888968257,8.69734406622047,W,100%,Low,High,pos_change,17_Oct_m1,09-27,10-12
0,2017,09-27,09-28,6.397100093330012,2.8396335475530474,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-30,11-08,3.018819096541704,4.663254725179877,W,100%,Low,High,pos_change,17_Nov_m1,10-28,11-14
0,2017,10-26,10-27,7.599841081403773,1.7223800959751174,L,90%,Low,High,pos_change,17_Nov_m1,10-26,10-27
0,2017,11-20,11-22,4.153174284744298,2.0961424681129044,L,100%,Low,High,pos_change,17_Dec_m1,11-20,12-13
0,2017,11-28,11-29,4.888645442638535,0.9197940074612,L,90%,Low,High,pos_change,17_Dec_m1,11-28,11-29
0,2018,01-02,01-08,2.093020441137416,7.922789509354365,W,100%,Open,High,pos_change,18_Jan_m1,01-02,01-15
0,2018,01-08,01-09,3.1751564977565025,3.293901659059166,W,90%,Low,High,pos_change,18_Jan_m1,01-07,01-10
0,2018,02-02,02-05,2.4825142482608946,4.746476785974246,W,100%,Low,High,pos_change,18_Feb_m1,02-01,02-09
0,2018,01-26,01-29,5.571102451743867,0.3946995349622803,L,90%,Low,High,pos_change,18_Feb_m1,01-26,01-29
0,2018,02-26,02-27,3.1628410303391488,5.582520140226445,W,100%,Low,High,pos_change,18_Mar_m1,02-24,03-04
0,2018,02-26,02-27,4.855154057290861,5.582520140226445,W,90%,Low,High,pos_change,18_Mar_m1,02-25,02-27
0,2018,03-28,04-05,3.281100540813993,10.315859330643676,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-11
0,2018,04-24,05-09,3.535353535353535,9.201993387047429,W,100%,Low,High,pos_change,18_May_m1,04-23,05-13
0,2018,04-24,04-25,6.368822125776348,2.242057801155167,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,05-25,06-07,2.2816446146332883,3.2772812130026057,W,100%,Low,High,pos_change,18_Jun_m1,05-25,06-08
0,2018,05-24,05-25,5.470660323808099,0.3791475744309934,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-28,07-03,2.6078353685554525,5.751351021431588,W,100%,Low,High,pos_change,18_Jul_m1,06-28,07-13
0,2018,06-22,06-25,5.337640494130215,3.049042368635507,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,07-25,07-31,2.152780748811848,4.672795188556127,W,100%,Low,High,pos_change,18_Aug_m1,07-24,08-01
0,2018,07-30,07-31,4.098894724344377,3.176157984587491,L,90%,Low,High,pos_change,18_Aug_m1,07-30,07-31
0,2018,08-29,09-06,2.6086907646182604,3.0445657846486496,W,100%,Low,High,pos_change,18_Sep_m1,08-26,09-10
0,2018,08-27,08-28,3.854837725239416,2.0915735360513508,L,90%,Low,High,pos_change,18_Sep_m1,08-27,08-28
0,2018,09-28,10-05,4.334422888968257,5.54552618492024,W,100%,Low,High,pos_change,18_Oct_m1,09-27,10-12
0,2018,09-27,09-28,6.397100093330012,1.4338717106604433,L,90%,Low,High,pos_change,18_Oct_m1,09-27,09-28
0,2018,10-30,11-07,3.018819096541704,16.076000757401463,W,100%,Low,High,pos_change,18_Nov_m1,10-28,11-14
0,2018,10-24,10-25,5.92489795517965,2.2357683599030445,L,90%,Low,High,pos_change,18_Nov_m1,10-24,10-25
0,2018,12-06,12-07,3.337610299349425,4.783011672835393,W,100%,Low,High,pos_change,18_Dec_m1,12-04,12-21
