,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,3.9212967283355065,2.3794081136976093,L,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,02-03,02-18,4.176074543031056,10.352189807342365,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-18
0,2016,01-26,01-27,7.301756038672905,5.488599722009556,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,02-29,03-11,3.325416250897137,9.383886863050146,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-16
0,2016,03-01,03-03,5.283859349824661,6.124930821217268,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-04
0,2016,03-24,03-31,3.8902290078818784,4.621000067436856,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-05
0,2016,04-22,04-25,4.098063821295181,1.9543056410066288,L,100%,Low,High,pos_change,16_May_m1,04-20,05-18
0,2016,05-23,05-25,2.504120719462517,4.326480027034135,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-08
0,2016,05-25,05-26,5.236846522281045,0.5095104462561032,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-07,3.585398860912509,9.961475825308836,W,100%,Close,High,pos_change,16_Jul_m1,06-27,07-07
0,2016,06-24,06-27,5.459057071960298,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,08-01,08-02,3.2429314510560374,1.0652649185566443,L,100%,Low,High,pos_change,16_Aug_m1,07-29,08-06
0,2016,07-27,07-29,6.188119003107296,2.7458532744857047,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-30,09-08,3.0120481927710845,7.343014611095835,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-09
0,2016,08-24,08-25,4.437227712569667,1.9351042659308468,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-21,10-20,4.676481426994859,15.417620779454024,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-20
0,2016,09-21,09-22,7.27243530353318,4.183913190702826,L,90%,Low,High,pos_change,16_Oct_m1,09-21,09-24
0,2016,10-26,11-15,6.606684689535794,14.123498947695817,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-17
0,2016,10-26,10-27,9.659506509197698,2.583392155660881,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,12-05,12-09,3.2342066203528863,9.911116110879544,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-13
0,2016,11-28,11-29,5.067692033473026,2.029096334980882,L,90%,Low,High,pos_change,16_Dec_m1,11-26,11-29
0,2017,01-09,01-11,3.1127565257357137,9.95128938712478,W,100%,Low,High,pos_change,17_Jan_m1,01-09,01-17
0,2017,01-03,01-04,3.9212967283355065,1.729037174095295,L,90%,Low,High,pos_change,17_Jan_m1,01-01,01-04
0,2017,02-02,02-09,4.025582008636171,7.058564955285405,W,100%,Low,High,pos_change,17_Feb_m1,02-01,02-17
0,2017,01-25,01-27,7.0206654107236615,3.438269000467338,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,02-28,03-01,3.325416250897137,4.137575683945052,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-16
