,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.5151500099837776,6.463871881294748,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-13
0,2016,02-11,02-17,3.691275167785235,7.18232699175019,W,100%,Low,High,pos_change,16_Feb_m1,02-10,02-17
0,2016,01-28,01-29,8.280254777070063,6.28019896779725,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-24,03-03,4.347831413372682,32.1243534517236,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-08
0,2016,02-22,02-23,6.953643691168045,6.73575123133008,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-25
0,2016,04-07,04-12,4.477607558580467,9.195403033835431,W,100%,Open,High,pos_change,16_Apr_m1,04-04,04-13
0,2016,03-23,03-24,5.468753280795451,4.850741521795506,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-25
0,2016,04-21,04-22,5.777782864040799,53.46154445727218,W,100%,Low,High,pos_change,16_May_m1,04-19,05-13
0,2016,04-21,04-22,6.257241653443598,53.46154445727218,W,90%,Low,High,pos_change,16_May_m1,04-21,04-22
0,2016,05-23,05-27,2.26700034057223,19.329896337079617,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-30
0,2016,05-24,05-25,4.3478260869565215,10.969383162491017,W,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-28,06-29,3.506311304170339,9.979638761365427,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-11
0,2016,06-27,06-29,6.038289391981355,16.129031927272184,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,07-22,07-26,3.715943647375171,31.376148587013336,W,100%,Low,High,pos_change,16_Aug_m1,07-22,08-02
0,2016,07-27,07-28,5.479446686014497,4.491020934793587,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-25,08-26,4.4226000183471,8.33333885228207,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-12
0,2016,08-30,08-31,9.0,1.4844822642313693,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,09-30,10-03,4.148790388927226,6.716422371833641,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-11
0,2016,10-06,10-07,7.220373604713921,4.977374328957795,L,90%,Low,High,pos_change,16_Oct_m1,10-06,10-07
0,2016,10-24,10-28,8.382637071162817,15.137618558560634,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-13
0,2016,10-24,10-25,9.81132004175294,14.67889975147597,W,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-23,11-29,3.133903133903134,8.588229908662685,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-02
0,2016,11-22,11-23,8.905956507178148,3.747069042782344,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-03,01-05,1.5151500099837776,6.079846595175136,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-13
0,2017,02-10,02-13,3.691275167785235,5.283017428416127,W,100%,Low,High,pos_change,17_Feb_m1,02-10,02-17
0,2017,01-27,01-30,7.604555154464411,1.5209110308928822,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-23,02-28,6.510353206329637,12.518093589817903,W,100%,Low,High,pos_change,17_Mar_m1,02-23,03-08
0,2017,02-23,02-24,8.070175438596491,3.6179450871280183,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-25
0,2017,03-24,03-31,5.527632892897942,8.936484797311456,W,100%,Low,High,pos_change,17_Apr_m1,03-22,04-21
0,2017,04-03,04-04,8.026317646959175,2.587411752615285,L,90%,Low,High,pos_change,17_Apr_m1,04-01,04-04
0,2017,04-26,04-28,4.598923357839192,4.084719749967087,L,100%,Low,High,pos_change,17_May_m1,04-26,05-15
0,2017,04-28,05-01,6.222226884629992,3.5714306419329733,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,06-07,06-09,3.9473647060816495,9.566640393185198,W,100%,Low,High,pos_change,17_Jun_m1,06-07,06-16
0,2017,06-05,06-07,4.867252015929315,19.999998233936484,W,90%,Low,High,pos_change,17_Jun_m1,06-04,06-07
0,2017,07-14,07-17,4.251968267425301,6.006007575553633,W,100%,Low,High,pos_change,17_Jul_m1,07-14,07-20
0,2017,06-29,06-30,6.038289391981355,3.052209801305592,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-30
0,2017,08-04,08-07,1.8567621643752557,4.224264345033789,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-15
0,2017,07-26,07-27,5.479446686014497,4.444446946367871,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-28,09-01,4.4226000183471,10.937499509830218,W,100%,Low,High,pos_change,17_Sep_m1,08-25,09-12
0,2017,10-02,10-11,4.148790388927226,10.618067866397029,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-11
0,2017,10-27,11-07,8.382637071162817,8.105727272009249,L,100%,Low,High,pos_change,17_Nov_m1,10-24,11-13
0,2017,10-26,10-27,9.81132004175294,1.5833298365275066,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-21,11-27,3.133903133903134,4.448398667095876,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-04
0,2017,11-20,11-22,9.263661917413703,2.680966952499092,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-22
0,2018,01-02,01-04,1.5151500099837776,20.212767134870944,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-13
0,2018,02-09,02-14,2.229729185494485,15.804330076097466,W,100%,Low,High,pos_change,18_Feb_m1,02-07,02-14
0,2018,01-29,01-30,7.604555154464411,1.685825776347518,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-23,02-27,6.510353206329637,7.87270156694127,W,100%,Low,High,pos_change,18_Mar_m1,02-23,03-08
0,2018,02-22,02-23,8.070175438596491,4.557177366774856,L,90%,Low,High,pos_change,18_Mar_m1,02-22,02-25
0,2018,03-20,03-21,5.138344502411467,3.090910478071733,L,100%,Low,High,pos_change,18_Apr_m1,03-20,04-16
0,2018,04-25,05-14,4.366818546591988,29.28869366276461,W,100%,Low,High,pos_change,18_May_m1,04-25,05-14
0,2018,04-27,04-30,5.752217477411159,1.0889281358835263,L,90%,Low,High,pos_change,18_May_m1,04-27,04-30
0,2018,06-08,06-14,3.070172549174617,17.330541042549267,W,100%,Low,High,pos_change,18_Jun_m1,06-06,06-15
0,2018,06-04,06-07,4.424774559935741,9.98622426688588,W,90%,Low,High,pos_change,18_Jun_m1,06-04,06-07
0,2018,07-16,07-18,4.251968267425301,3.534429793413568,L,100%,Low,High,pos_change,18_Jul_m1,07-14,07-20
0,2018,06-28,06-29,6.038289391981355,5.016947600801112,L,90%,Low,High,pos_change,18_Jul_m1,06-27,06-30
0,2018,08-02,08-14,1.8567621643752557,12.666670481363932,W,100%,Low,High,pos_change,18_Aug_m1,08-01,08-16
0,2018,08-28,09-12,4.4226000183471,34.31780235362369,W,100%,Low,High,pos_change,18_Sep_m1,08-25,09-12
0,2018,09-06,09-07,7.808761174042217,3.972048188646667,L,90%,Low,High,pos_change,18_Sep_m1,09-06,09-07
0,2018,10-03,10-04,4.148790388927226,8.628481270469502,W,100%,Low,High,pos_change,18_Oct_m1,09-30,10-11
0,2018,10-26,11-07,8.105727272009249,30.322582449483228,W,100%,Low,High,pos_change,18_Nov_m1,10-24,11-13
0,2018,10-23,10-24,9.96015921117533,5.241090062921711,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-25
0,2018,11-21,11-28,4.448398667095876,18.27026573387352,W,100%,Low,High,pos_change,18_Dec_m1,11-21,12-01
0,2018,11-20,11-21,9.263661917413703,18.21885392995967,W,90%,Low,High,pos_change,18_Dec_m1,11-19,11-22
0,2019,01-03,01-09,1.5151500099837776,26.56434390868417,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-13
0,2019,02-08,02-12,2.229729185494485,5.792541453356805,W,100%,Low,High,pos_change,19_Feb_m1,02-07,02-14
0,2019,01-29,01-30,7.604555154464411,21.41732329190165,W,90%,Low,High,pos_change,19_Feb_m1,01-27,01-30
0,2019,02-26,02-27,6.510353206329637,0.3312626292742084,L,100%,Low,High,pos_change,19_Mar_m1,02-23,03-08
0,2019,02-22,02-25,8.070175438596491,6.867677364459432,L,90%,Low,High,pos_change,19_Mar_m1,02-22,02-25
0,2019,04-04,04-05,4.605261960848532,3.7749035325615936,L,100%,Low,High,pos_change,19_Apr_m1,04-04,04-16
0,2019,04-30,05-01,5.098488696970377,8.203411435269906,W,100%,Low,High,pos_change,19_May_m1,04-30,05-13
