,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.496937729934143,1.9282163441833096,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-04,01-05,1.8287636900426805,1.9282163441833096,W,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-29,02-17,3.3268041543261964,10.75318476377256,W,100%,Low,Close,pos_change,16_Feb_m1,01-29,02-19
0,2016,02-03,02-04,5.635594081159613,3.163021010492163,L,90%,Low,High,pos_change,16_Feb_m1,02-03,02-04
0,2016,02-29,03-14,2.010440604543612,5.647698018864291,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-15
0,2016,03-02,03-03,2.871161150786043,2.876569083570043,W,90%,Low,High,pos_change,16_Mar_m1,03-02,03-03
0,2016,03-28,04-04,1.6735353731986935,3.940738630883488,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-21,03-22,2.5982123968858244,1.2880244207144298,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-03,05-05,1.9002302464241836,1.9201395972207371,W,100%,Low,High,pos_change,16_May_m1,04-30,05-14
0,2016,04-18,04-19,4.241827996957541,2.3128087149642083,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-07,1.8181849007654671,2.966218852321211,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-11
0,2016,07-06,07-14,1.3496922073374096,3.978381226330076,W,100%,Low,High,pos_change,16_Jul_m1,07-06,07-14
0,2016,06-22,06-23,2.035570602553812,1.34795663508025,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-21,07-27,1.9325568131126287,2.04606239163428,W,100%,Low,High,pos_change,16_Aug_m1,07-20,07-31
0,2016,07-25,07-26,4.166668901840978,0.8260675403625153,L,90%,Low,High,pos_change,16_Aug_m1,07-25,07-26
0,2016,08-29,09-07,2.132317229794702,2.170556149668889,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-13
0,2016,10-03,10-10,2.0154597394631364,2.146191968883909,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-15
0,2016,09-29,09-30,3.5668446140822527,2.2180016276870638,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-28,11-10,3.337207070319064,3.667887160974867,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-16
0,2016,11-02,11-03,5.180612844667628,1.7302331259084305,L,90%,Low,High,pos_change,16_Nov_m1,11-01,11-04
0,2016,12-01,12-07,1.85792016201332,4.396486406964391,W,100%,Low,High,pos_change,16_Dec_m1,11-28,12-16
0,2016,11-21,11-22,3.2699888864154127,1.1656924897712952,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-11,01-19,1.799708441788632,3.0096745151568958,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-20
0,2017,01-09,01-10,2.4096427380110748,0.370368750700118,L,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,02-06,02-10,3.5382202703863643,4.193952958726135,W,100%,Low,High,pos_change,17_Feb_m1,02-05,02-16
0,2017,02-02,02-03,5.269894186652818,4.015665338157178,L,90%,Low,High,pos_change,17_Feb_m1,02-02,02-05
0,2017,02-24,03-01,2.5292294595169804,2.370611011396921,L,100%,Low,High,pos_change,17_Mar_m1,02-24,03-09
0,2017,03-27,04-20,3.0802824930004515,4.308487607510032,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-20
0,2017,03-24,03-27,3.567949594713978,1.1872218721470411,L,90%,Low,High,pos_change,17_Apr_m1,03-24,03-27
0,2017,04-28,05-17,2.6621313796379877,5.928097038244765,W,100%,Low,High,pos_change,17_May_m1,04-26,05-17
0,2017,04-24,04-25,2.966674860439473,1.254629367605049,L,90%,Low,Open,pos_change,17_May_m1,04-24,04-25
0,2017,05-30,06-09,1.8181849007654671,2.461041939187096,W,100%,Low,High,pos_change,17_Jun_m1,05-27,06-11
0,2017,05-23,05-25,2.8132445930723478,2.1110277915754425,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-12,07-21,1.3883455061092251,4.124011028735314,W,100%,Low,High,pos_change,17_Jul_m1,07-11,07-21
0,2017,06-28,06-29,2.373331705729167,1.6576227607048934,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-01,08-04,1.636401215016602,2.388710240718868,W,100%,Low,High,pos_change,17_Aug_m1,07-29,08-11
0,2017,07-31,08-01,2.504974463900412,1.1219711329985491,L,90%,Low,High,pos_change,17_Aug_m1,07-29,08-01
0,2017,08-29,09-11,2.132317229794702,5.685296338659136,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-13
0,2017,08-25,08-28,2.6635730878968515,0.7181648099685881,L,90%,Low,High,pos_change,17_Sep_m1,08-25,08-28
0,2017,10-02,10-13,2.0154597394631364,3.132727146933462,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-15
0,2017,09-19,09-21,3.192489810011951,1.6506032613319708,L,90%,Low,High,pos_change,17_Oct_m1,09-19,09-22
0,2017,10-31,11-01,3.337207070319064,1.4156592878960987,L,100%,Low,High,pos_change,17_Nov_m1,10-28,11-16
0,2017,11-02,11-03,5.064921448817984,1.008341913749823,L,90%,Low,High,pos_change,17_Nov_m1,11-01,11-04
