,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.5926005045572916,3.5399333542978697,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,01-06,01-07,1.1922663857320988,0.0,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-07
0,2016,02-03,02-04,1.3587123504897698,4.270028938013781,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-11
0,2016,02-29,03-08,2.3255723434380995,5.484513726894332,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-09
0,2016,02-25,02-26,3.9589442372370263,5.321764604442658,W,90%,Open,High,pos_change,16_Mar_m1,02-25,02-27
0,2016,04-11,04-14,1.875909582360998,3.994765046120615,W,100%,Low,High,pos_change,16_Apr_m1,04-08,04-15
0,2016,03-23,03-24,4.273098648242557,0.6859477426996646,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-18,04-27,5.434799645034097,5.042130153542303,L,100%,Low,High,pos_change,16_May_m1,04-18,05-15
0,2016,04-18,04-19,5.839851101628011,2.093447913846465,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-02,06-09,2.4054889163389763,4.363236015814909,W,100%,Low,Close,pos_change,16_Jun_m1,06-02,06-15
0,2016,05-25,05-26,5.876442610564015,1.1821419897478975,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-14,2.020220323042436,11.339956998462752,W,100%,Low,Open,pos_change,16_Jul_m1,06-28,07-14
0,2016,06-28,06-29,3.3613566599384197,4.143443337788897,W,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,08-08,08-15,2.8497346457618926,2.018030463198246,L,100%,Low,High,pos_change,16_Aug_m1,08-08,08-18
0,2016,07-18,07-19,3.587915568628515,0.4962471843049859,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-06,09-08,1.584719138464362,1.5175268466048597,L,100%,Low,High,pos_change,16_Sep_m1,09-03,09-16
0,2016,08-26,08-29,3.7730957987037033,2.783065876632771,L,90%,Low,Close,pos_change,16_Sep_m1,08-26,08-29
0,2016,10-03,10-06,5.782790389115254,4.611947178922163,L,100%,Low,High,pos_change,16_Oct_m1,10-01,10-21
0,2016,09-27,09-28,6.515174950557245,3.71300390031946,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-01,11-14,4.408935263910003,9.728155457961238,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-27,10-28,7.152734416573679,2.3407627917711062,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-29
0,2016,11-25,12-02,1.6737168756471112,1.85720499975676,W,100%,Low,High,pos_change,16_Dec_m1,11-24,12-03
0,2016,11-21,11-22,2.2727264717510454,2.8126990970392973,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-12,01-13,0.7490522406074438,3.405966987011388,W,100%,Low,High,pos_change,17_Jan_m1,01-11,01-18
0,2017,01-05,01-06,1.8957488482726943,1.3684242650082237,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,02-02,02-10,1.3587123504897698,7.924204164509399,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-11
0,2017,01-25,01-26,4.434402924837377,0.6895156015389066,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,02-28,03-01,2.3255723434380995,2.603851168426348,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-09
0,2017,02-21,02-23,3.5484892867520483,2.603958198803784,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,04-07,04-19,2.9741451205377785,2.7687933398530635,L,100%,Low,High,pos_change,17_Apr_m1,04-06,04-19
0,2017,03-29,03-30,6.204907305828937,1.40705330430958,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,05-08,05-09,1.2707129747697312,0.9135757430696472,L,100%,Low,High,pos_change,17_May_m1,05-07,05-17
0,2017,05-03,05-05,3.0226697928348574,4.47085987855863,W,90%,Low,High,pos_change,17_May_m1,05-02,05-05
0,2017,06-02,06-13,2.4054889163389763,3.1548584126348382,W,100%,Low,Close,pos_change,17_Jun_m1,06-02,06-15
0,2017,05-24,05-25,4.962771207916698,1.1836497008704452,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-12,2.158265251789894,4.790313702996716,W,100%,Low,High,pos_change,17_Jul_m1,06-28,07-14
0,2017,06-21,06-22,4.49030358983128,0.5855181206240292,L,90%,Low,High,pos_change,17_Jul_m1,06-21,06-22
0,2017,08-08,08-16,2.018030463198246,1.306826910627537,L,100%,Low,High,pos_change,17_Aug_m1,08-05,08-16
0,2017,09-05,09-12,0.9651084770883468,5.164320251337434,W,100%,Low,High,pos_change,17_Sep_m1,09-02,09-12
0,2017,08-29,08-31,3.0480737357357417,4.047001169095886,W,90%,Low,Open,pos_change,17_Sep_m1,08-28,08-31
0,2017,09-29,10-20,3.7486446046295794,5.225531395445479,W,100%,Low,High,pos_change,17_Oct_m1,09-29,10-20
0,2017,09-28,09-29,5.830512612552966,1.552370972352815,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-30
0,2017,10-30,11-02,3.831347191148139,3.203819117822008,L,100%,Low,High,pos_change,17_Nov_m1,10-29,11-17
