,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-14,2.069399860755126,7.328199934953266,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-14
0,2016,01-04,01-05,3.921566865738424,0.6399972098214286,L,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-26,02-04,3.3811466799920504,18.12296945567524,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-14
0,2016,01-26,01-29,5.714698648256254,14.724915897657478,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,03-02,03-07,3.0825830885855625,33.936060835224765,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-12
0,2016,03-01,03-02,4.117254180074752,15.857695163171948,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-28,04-08,3.685276399409106,8.48739715343434,W,100%,Low,High,pos_change,16_Apr_m1,03-25,04-10
0,2016,03-29,03-30,5.600844209117748,5.22847847898572,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-18,04-27,2.8144211881993333,15.957662726514318,W,100%,Low,High,pos_change,16_May_m1,04-18,05-05
0,2016,04-18,04-19,5.975015701178039,10.844817931439064,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-08,3.1623598587886037,8.95329970972526,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-17
0,2016,06-24,07-01,1.9157045434687108,4.708032603967382,W,100%,Low,Close,pos_change,16_Jul_m1,06-23,07-01
0,2016,06-22,06-23,3.859864366322817,4.358744942019339,W,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-29,08-04,3.187902387621896,3.7254931879978552,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-07
0,2016,07-26,07-27,5.476077014591088,4.478475138794923,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-27
0,2016,08-25,09-09,2.517193478107789,15.05003816899814,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-09
0,2016,09-23,09-29,2.009931696781051,11.561866413505577,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-11
0,2016,09-23,09-26,5.4201205101238905,3.4651778944354104,L,90%,Low,High,pos_change,16_Oct_m1,09-23,09-26
