,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,02-01,02-04,2.3541579256921668,9.582464583849262,W,100%,Low,High,pos_change,16_Feb_m1,02-01,02-19
0,2016,03-02,03-18,1.3677909536363106,7.60648658435166,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-18
0,2016,03-29,03-30,2.440174355944695,3.9779588254729874,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-11
0,2016,04-18,04-28,2.482324771603932,5.571364662870422,W,100%,Low,High,pos_change,16_May_m1,04-18,05-19
0,2016,04-21,04-22,3.052780741130098,1.0681444441557542,L,90%,Low,High,pos_change,16_May_m1,04-21,04-24
0,2016,05-27,06-08,1.7529702516188983,3.045149198108017,W,100%,Low,High,pos_change,16_Jun_m1,05-25,06-14
0,2016,05-25,05-26,4.181423631088254,0.5226843922686071,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-27
0,2016,06-30,07-11,1.7370770493084318,4.8476484079054565,W,100%,Low,High,pos_change,16_Jul_m1,06-30,07-11
0,2016,07-21,07-28,2.5211501223290926,3.2945424380517894,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-02
0,2016,07-26,07-27,4.638040884924212,1.268559934715509,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-27
0,2016,09-09,09-12,1.7580396128161102,0.7722300281339429,L,100%,Low,High,pos_change,16_Sep_m1,09-08,09-16
0,2016,08-24,08-25,3.9301286016366497,0.9241878949657588,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-27
0,2016,09-23,10-04,1.352966537103611,3.647578921830932,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-16
0,2016,11-01,11-11,3.837041477831175,7.641858332518725,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-27,10-28,4.320358371198443,4.759689449339874,W,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,12-02,12-12,2.1849346783624384,4.8379244259658325,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-12
0,2016,11-30,12-01,2.9227592722458344,1.7284823836258345,L,90%,Low,High,pos_change,16_Dec_m1,11-30,12-03
0,2017,01-09,01-10,2.084759492890702,1.8019309893235,L,100%,Low,Open,pos_change,17_Jan_m1,01-08,01-19
0,2017,01-09,01-10,2.436003862071857,1.8019309893235,L,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,02-08,02-15,2.33454754069034,3.826607773561877,W,100%,Low,High,pos_change,17_Feb_m1,02-06,02-15
0,2017,01-23,01-24,6.28676605947757,1.823581758469724,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,03-03,03-09,0.6427267957347983,0.9918706070525808,W,100%,Low,High,pos_change,17_Mar_m1,03-02,03-13
0,2017,02-28,03-01,2.730077399494644,3.7896213192981794,W,90%,Low,High,pos_change,17_Mar_m1,02-28,03-01
0,2017,03-31,04-05,2.440174355944695,1.4653723045289426,L,100%,Low,High,pos_change,17_Apr_m1,03-29,04-11
0,2017,03-29,03-30,3.239324549911608,0.4551203078774131,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,06-01,06-02,1.9492583747032293,2.430555555555556,W,100%,Low,High,pos_change,17_Jun_m1,06-01,06-14
0,2017,05-23,05-24,3.7375111296610384,1.6340570102360914,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-24
0,2017,07-06,07-17,1.8778234280215669,2.8804818505958387,W,100%,Low,High,pos_change,17_Jul_m1,07-04,07-17
0,2017,07-31,08-01,2.5696412917235887,5.469406709737147,W,100%,Low,High,pos_change,17_Aug_m1,07-28,08-12
0,2017,07-26,07-27,4.588401407017904,0.3337475337885294,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-29,09-12,1.142246028347096,4.687499175820728,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-13
0,2017,08-24,08-25,2.78048835502004,1.0765285481816969,L,90%,Low,High,pos_change,17_Sep_m1,08-23,08-26
0,2017,09-29,10-04,1.8681931602644184,2.066994863469542,W,100%,Low,High,pos_change,17_Oct_m1,09-29,10-08
0,2017,09-20,09-21,3.179821421412248,0.9396266060572288,L,90%,Low,High,pos_change,17_Oct_m1,09-20,09-21
0,2017,11-02,11-13,3.637962248907096,3.40772551814235,L,100%,Low,High,pos_change,17_Nov_m1,10-30,11-17
0,2017,10-25,10-27,4.320358371198443,6.319368323158815,W,90%,Low,High,pos_change,17_Nov_m1,10-25,10-28
0,2017,12-01,12-04,2.876872564758271,2.188513026987489,L,100%,Low,High,pos_change,17_Dec_m1,11-30,12-11
0,2017,11-20,11-21,3.982633032928312,0.8805644408509004,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-10,01-16,1.6920960423335112,2.217322003915425,W,100%,Low,High,pos_change,18_Jan_m1,01-10,01-19
0,2018,01-02,01-03,2.113655385787593,1.7216068454764446,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,02-08,02-15,2.33454754069034,7.419282348336627,W,100%,Low,High,pos_change,18_Feb_m1,02-06,02-15
0,2018,02-22,02-27,1.2388315391438809,3.584092008092066,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-03
0,2018,02-21,02-22,2.6946099317009287,1.748489478689869,L,90%,Low,High,pos_change,18_Mar_m1,02-21,02-22
0,2018,03-29,04-05,1.9497989527710893,4.8997852409102185,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-11
0,2018,04-24,04-26,1.7607151777354433,3.293987955920101,W,100%,Low,High,pos_change,18_May_m1,04-23,05-04
0,2018,04-24,04-26,2.4717525049190705,3.293987955920101,W,90%,Low,High,pos_change,18_May_m1,04-24,04-26
0,2018,06-01,06-11,1.9492583747032293,4.161035279315093,W,100%,Low,High,pos_change,18_Jun_m1,06-01,06-14
0,2018,05-23,05-24,3.516372390489533,1.2596147093502472,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-24
0,2018,07-06,07-10,1.8778234280215669,3.1726569115977155,W,100%,Low,High,pos_change,18_Jul_m1,07-04,07-17
0,2018,06-28,06-29,2.742417660556657,2.195102272504497,L,90%,Low,High,pos_change,18_Jul_m1,06-28,07-01
0,2018,07-30,07-31,2.5696412917235887,2.565848317442712,L,100%,Low,High,pos_change,18_Aug_m1,07-28,08-12
0,2018,07-26,07-27,4.527675789310599,2.430577841251711,L,90%,Low,High,pos_change,18_Aug_m1,07-26,07-27
0,2018,09-11,09-21,2.3572270498959718,3.822431029515154,W,100%,Low,High,pos_change,18_Sep_m1,09-11,09-21
0,2018,08-24,08-27,3.822044072096728,2.1927191278567246,L,90%,Low,High,pos_change,18_Sep_m1,08-24,08-27
0,2018,09-28,10-03,2.011491139657924,3.237651165731277,W,100%,Low,High,pos_change,18_Oct_m1,09-28,10-11
0,2018,10-01,10-02,3.0528644928773887,1.458852514365649,L,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,10-26,11-15,3.114363001812354,9.209106672132584,W,100%,Low,High,pos_change,18_Nov_m1,10-26,11-15
0,2018,10-25,10-26,4.320358371198443,0.9096385929499716,L,90%,Low,High,pos_change,18_Nov_m1,10-25,10-28
0,2018,11-28,12-03,2.274826438999195,8.364155044187713,W,100%,Low,High,pos_change,18_Dec_m1,11-28,12-19
