,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-13,1.648249935443628,1.639345194277483,L,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-04,01-05,2.914885399701852,1.5473096243957194,L,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-25,02-10,3.0925315249388485,4.665698306142457,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-12
0,2016,01-19,01-20,5.744330992280513,4.718655509338994,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-24,03-03,1.4850569711473092,8.568097421451478,W,100%,Low,Open,pos_change,16_Mar_m1,02-24,03-03
0,2016,02-22,02-23,5.243170564414482,0.8058365162122808,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,04-07,04-14,1.8452107527408728,2.7604170047022767,W,100%,Low,High,pos_change,16_Apr_m1,04-07,04-15
0,2016,03-28,03-29,2.714553963896041,1.4744604784783315,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-25,04-26,3.1756477612464016,1.795240253044757,L,100%,Low,Close,pos_change,16_May_m1,04-25,05-19
0,2016,04-18,04-19,5.7401809207019605,0.8210734686169693,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-31,06-08,1.3267002370249896,3.4381984922731554,W,100%,Low,Open,pos_change,16_Jun_m1,05-30,06-15
0,2016,05-26,05-27,2.593052136731835,1.8976326229942704,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-27
0,2016,06-28,07-15,2.9056924261634207,7.4369642566402065,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-15
0,2016,06-24,06-27,4.505182703148452,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,07-20,08-12,0.6172458094875688,3.719571757404347,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-12
0,2016,07-19,07-20,3.833168547498096,3.649136726215898,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-21
0,2016,08-25,09-08,2.170530857797484,3.426229758340804,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-10
0,2016,10-13,10-14,3.3198874031072205,2.3627129172325176,L,100%,Low,High,pos_change,16_Oct_m1,10-10,10-18
0,2016,10-25,11-10,3.98121865142679,4.767789050588267,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-15
0,2016,10-24,10-25,5.232263753141304,0.4565561648724837,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-02,12-08,2.3504278461362804,3.1105041367244035,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-15
0,2016,11-21,11-22,3.1115699223461237,0.931959906853668,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-06,01-13,1.639345194277483,1.6471295747215366,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-15
0,2017,01-06,01-09,3.7037037037037033,1.2613124822963857,L,90%,Low,Open,pos_change,17_Jan_m1,01-06,01-09
0,2017,01-26,02-10,2.417581926215369,4.044672832436233,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-11
0,2017,01-26,01-27,4.257279699032575,1.750673098877802,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,02-21,03-01,1.4850569711473092,2.675341190598159,W,100%,Low,Open,pos_change,17_Mar_m1,02-20,03-03
0,2017,02-22,02-23,5.243170564414482,1.0066104961552964,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,04-04,04-05,2.475718155496055,1.1507524315129567,L,100%,Low,High,pos_change,17_Apr_m1,04-01,04-17
0,2017,03-29,03-30,5.110982713252319,1.566912292114066,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-26,05-10,2.4372672029143487,1.92683217047744,L,100%,Low,High,pos_change,17_May_m1,04-26,05-14
0,2017,05-23,06-05,2.035087451600192,3.888128725054327,W,100%,Low,High,pos_change,17_Jun_m1,05-23,06-05
0,2017,05-23,05-25,3.2094285294816305,1.882670117276175,L,90%,Low,Open,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-23,07-21,3.3393007044712686,2.156041630319693,L,100%,Low,High,pos_change,17_Jul_m1,06-23,07-21
0,2017,06-27,06-28,7.361115349663629,1.360628399785189,L,90%,Close,High,pos_change,17_Jul_m1,06-27,06-28
0,2017,08-28,09-01,2.170530857797484,2.036448843544957,L,100%,Low,High,pos_change,17_Sep_m1,08-25,09-10
0,2017,10-12,10-13,3.786008663287651,1.4994268714148664,L,100%,Low,High,pos_change,17_Oct_m1,10-12,10-19
0,2017,09-26,09-28,5.0826114571417405,1.0300383892781704,L,90%,Low,High,pos_change,17_Oct_m1,09-25,09-28
0,2017,10-27,11-14,3.98121865142679,4.341728316402833,W,100%,Low,High,pos_change,17_Nov_m1,10-25,11-15
0,2017,10-23,10-25,4.185755112591911,2.344208327010182,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-25
0,2017,11-20,11-29,2.3520769277736715,1.932316966962412,L,100%,Low,High,pos_change,17_Dec_m1,11-20,12-09
0,2017,11-20,11-21,2.9383835103114797,1.7982806124240258,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-10,01-19,2.376320805361169,4.884607333637791,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-19
0,2018,01-30,02-01,4.174256397464141,2.5438593996235164,L,100%,Low,High,pos_change,18_Feb_m1,01-27,02-16
0,2018,01-29,01-30,4.353458842965799,1.1525470746162574,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,03-05,03-13,2.769849251923933,5.985035939965262,W,100%,Low,High,pos_change,18_Mar_m1,03-03,03-15
0,2018,02-23,02-26,5.243170564414482,2.791372539303855,L,90%,Low,High,pos_change,18_Mar_m1,02-23,02-26
0,2018,03-28,04-18,2.7659437422228894,4.41876980100965,W,100%,Open,Close,pos_change,18_Apr_m1,03-25,04-20
0,2018,04-26,05-14,2.4372672029143487,6.912831949096974,W,100%,Low,High,pos_change,18_May_m1,04-26,05-15
0,2018,04-25,04-27,3.1756477612464016,5.210149884117065,W,90%,Low,Close,pos_change,18_May_m1,04-25,04-28
0,2018,05-25,06-05,2.035087451600192,3.6397185823737774,W,100%,Low,High,pos_change,18_Jun_m1,05-23,06-05
0,2018,05-23,05-24,3.2094285294816305,1.7803849014751214,L,90%,Low,Open,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-28,07-10,2.9056924261634207,4.675081947332566,W,100%,Low,High,pos_change,18_Jul_m1,06-27,07-19
0,2018,08-10,08-16,1.492518822054494,1.2398500346079,L,100%,Low,High,pos_change,18_Aug_m1,08-09,08-17
0,2018,07-25,07-26,3.3570637757736144,6.33332994249132,W,90%,Low,High,pos_change,18_Aug_m1,07-25,07-26
0,2018,08-27,09-14,3.1146628812274635,3.8535182277064775,W,100%,Low,High,pos_change,18_Sep_m1,08-27,09-19
0,2018,08-27,08-29,4.927426765327575,1.543535140044948,L,90%,Low,High,pos_change,18_Sep_m1,08-27,08-30
