,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,0.7407407407407408,1.95167737855566,W,100%,Low,Open,pos_change,16_Jan_m1,01-06,01-13
0,2016,01-07,01-08,1.3029315960912051,1.95167737855566,W,90%,Low,Close,pos_change,16_Jan_m1,01-06,01-09
0,2016,02-09,02-10,1.1091825604782592,3.336238322030914,W,100%,Low,High,pos_change,16_Feb_m1,02-08,02-15
0,2016,02-23,03-17,1.9837618541932296,12.586250461975007,W,100%,Low,High,pos_change,16_Mar_m1,02-23,03-17
0,2016,03-01,03-02,3.0953808299011234,4.399440013795424,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,04-04,04-08,1.4347202923732978,1.1903526306451764,L,100%,Low,High,pos_change,16_Apr_m1,04-01,04-15
0,2016,03-29,04-01,2.2604729172190567,2.640082831544454,W,90%,Low,High,pos_change,16_Apr_m1,03-29,04-01
0,2016,04-29,05-10,2.3489915416983527,10.08129227657858,W,100%,Low,High,pos_change,16_May_m1,04-29,05-18
0,2016,04-18,04-20,2.8469750889679712,2.268439416895922,L,90%,Close,High,pos_change,16_May_m1,04-18,04-21
0,2016,05-27,05-31,1.4184397163120568,0.9949686081749242,L,100%,Low,High,pos_change,16_Jun_m1,05-27,06-16
0,2016,05-26,05-27,3.1035892773043154,1.6514122764803276,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-20,07-08,2.4630541871921183,6.597197059553898,W,100%,Open,High,pos_change,16_Jul_m1,06-20,07-10
0,2016,06-29,06-30,3.8608961512112487,1.805663540345557,L,90%,Low,High,pos_change,16_Jul_m1,06-29,06-30
0,2016,08-05,08-10,1.1362015380368062,3.196548249737136,W,100%,Low,High,pos_change,16_Aug_m1,08-05,08-14
0,2016,07-21,07-22,2.6818333731853694,1.8519560487334852,L,90%,Open,High,pos_change,16_Aug_m1,07-20,07-23
0,2016,08-30,09-02,1.2391664081722944,3.254847316124457,W,100%,Low,High,pos_change,16_Sep_m1,08-30,09-05
0,2016,08-31,09-01,2.9328303550606343,1.596627428650937,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,10-06,10-18,1.346435257010099,3.705507401560322,W,100%,Low,High,pos_change,16_Oct_m1,10-05,10-18
0,2016,09-26,09-27,3.1746031746031744,1.4277031506568405,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-27
0,2016,10-25,11-01,2.815011416990294,7.67056619906787,W,100%,Open,High,pos_change,16_Nov_m1,10-25,11-02
0,2016,10-24,10-25,3.5014005602240896,0.083591708394949,L,90%,Low,Close,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-23,12-09,1.96078431372549,7.933297737204187,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-10
0,2016,11-21,11-22,3.1847133757961785,2.5488523991121466,L,90%,Low,Open,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-03,01-06,0.9134648120674208,3.098258647017428,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-17
0,2017,01-03,01-05,1.855287569573284,1.9228634495050816,W,90%,Low,High,pos_change,17_Jan_m1,01-03,01-05
0,2017,02-08,02-13,1.1091825604782592,3.114995849968852,W,100%,Low,High,pos_change,17_Feb_m1,02-08,02-15
0,2017,01-30,01-31,1.98019801980198,1.6790094463407106,L,90%,Close,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-23,03-17,1.9837618541932296,3.2771528237530143,W,100%,Low,High,pos_change,17_Mar_m1,02-23,03-17
0,2017,02-27,02-28,2.85939737697864,0.9137657141277972,L,90%,Low,High,pos_change,17_Mar_m1,02-25,02-28
0,2017,03-21,03-24,1.0577095959917715,2.03527815468114,W,100%,Close,High,pos_change,17_Apr_m1,03-20,04-02
0,2017,03-28,03-29,3.039959490056534,0.9296288360164504,L,90%,Low,High,pos_change,17_Apr_m1,03-28,03-29
0,2017,05-01,05-18,2.3489915416983527,2.5680320266058456,W,100%,Low,High,pos_change,17_May_m1,04-29,05-18
0,2017,05-01,05-02,2.9119290245981047,1.680313170822325,L,90%,Low,High,pos_change,17_May_m1,04-29,05-02
0,2017,06-01,06-05,1.4388489208633095,5.633205799761521,W,100%,Low,High,pos_change,17_Jun_m1,05-29,06-07
0,2017,05-23,05-24,3.086190801132978,1.0673328279270402,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-24
0,2017,06-21,07-05,2.97955403550257,1.8433913272428648,L,100%,Low,Close,pos_change,17_Jul_m1,06-20,07-10
0,2017,06-29,06-30,4.719666035017027,2.070960547388305,L,90%,Low,High,pos_change,17_Jul_m1,06-29,07-02
0,2017,08-07,08-14,1.1362015380368062,2.617657905110696,W,100%,Low,High,pos_change,17_Aug_m1,08-05,08-14
0,2017,07-26,07-28,2.295081967213114,2.7697738852403586,W,90%,Close,Open,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-30,09-01,1.2391664081722944,2.0249945680418096,W,100%,Low,High,pos_change,17_Sep_m1,08-30,09-05
0,2017,08-21,08-22,2.967960842807385,1.42698133775008,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-22
0,2017,10-06,10-13,1.346435257010099,2.1840432184145167,W,100%,Low,High,pos_change,17_Oct_m1,10-05,10-18
0,2017,09-26,09-27,3.098292279011853,0.3581904380300824,L,90%,Low,High,pos_change,17_Oct_m1,09-26,09-27
0,2017,10-25,11-02,2.815011416990294,2.5375066163117825,L,100%,Open,High,pos_change,17_Nov_m1,10-25,11-02
