,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-22,01-27,3.2095812038033307,3.103066723523084,L,100%,Low,High,pos_change,16_Feb_m1,01-21,02-19
0,2016,01-28,01-29,6.262865204912636,2.991366276028999,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-25,03-17,1.4476591756388395,11.41804944761005,W,100%,Close,High,pos_change,16_Mar_m1,02-25,03-17
0,2016,02-22,02-23,3.278687193642997,1.6267581877935544,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,04-13,1.4288258827182096,4.748325341457018,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-13
0,2016,03-29,03-30,2.8675937350277168,2.5899780343748757,L,90%,Low,Open,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-18,04-21,3.6211640953766366,9.08795858943086,W,100%,Low,High,pos_change,16_May_m1,04-18,05-11
0,2016,04-18,04-19,6.336635150122214,3.045522569344776,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-07,1.9717803485120748,1.9439715405957816,L,100%,Low,High,pos_change,16_Jun_m1,05-27,06-07
0,2016,05-26,05-27,3.13185649585554,1.1547344653421083,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-21,06-23,1.5296939911777834,2.4615392028561485,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-01
0,2016,06-23,06-24,2.750048905136513,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-03,08-08,1.9484521765589908,4.380020050149414,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-11
0,2016,07-21,07-22,4.123430260537504,2.3218753895914217,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-24
0,2016,08-29,09-08,2.121653583645664,2.947524603030141,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-13
0,2016,08-31,09-01,4.419771954350058,1.2025883008893905,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-13,10-20,2.199102074343293,13.915964334952733,W,100%,Low,High,pos_change,16_Oct_m1,10-11,10-21
0,2016,09-26,09-28,4.465581219070999,2.625300820903449,L,90%,Low,High,pos_change,16_Oct_m1,09-25,09-28
0,2016,10-28,11-11,1.9736786647378368,6.470577810959953,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-12
0,2016,10-25,10-26,4.604183337888524,0.6905856181619218,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-26
0,2016,12-08,12-15,1.384087454839008,2.365184552677109,W,100%,Low,High,pos_change,16_Dec_m1,12-08,12-16
0,2016,11-21,11-22,4.487037692335131,1.2965025096042102,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-13,01-19,0.0,1.7929525605648686,W,100%,Low,Open,pos_change,17_Jan_m1,01-13,01-19
0,2017,01-06,01-09,2.84177711689066,1.9184685428242216,L,90%,Low,High,pos_change,17_Jan_m1,01-06,01-09
0,2017,01-23,02-14,3.011761909373432,4.91217935614683,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-14
0,2017,01-30,01-31,5.134840175378128,0.9276183380978008,L,90%,Low,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-27,03-01,1.4476591756388395,3.028023335844832,W,100%,Close,High,pos_change,17_Mar_m1,02-25,03-17
0,2017,02-22,02-23,3.278687193642997,1.3351776883020885,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-24
0,2017,04-13,04-17,2.627451279584099,1.334216878398331,L,100%,Low,High,pos_change,17_Apr_m1,04-12,04-19
0,2017,03-22,03-23,3.846746568935584,1.738909952944475,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,04-24,04-25,1.6508892401671138,1.4456676134000086,L,100%,Low,High,pos_change,17_May_m1,04-24,05-07
0,2017,04-24,04-25,4.924780759131165,1.4456676134000086,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-30,06-07,1.9439715405957816,4.026495077459811,W,100%,Low,High,pos_change,17_Jun_m1,05-27,06-07
0,2017,05-23,05-25,3.0159066105656653,1.4319167905375645,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-11,07-21,1.5960746418050895,3.2798633394080503,W,100%,Low,High,pos_change,17_Jul_m1,07-11,07-21
0,2017,08-03,08-08,1.9484521765589908,1.7970387482559655,L,100%,Low,High,pos_change,17_Aug_m1,08-03,08-11
0,2017,07-26,07-27,3.547984485784708,0.0352222378088686,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-29,09-13,2.121653583645664,2.8080510359479165,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-13
0,2017,08-30,09-01,3.554798169229498,1.5489317952550574,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,10-03,10-16,2.041292172712075,3.046696376867008,W,100%,Low,High,pos_change,17_Oct_m1,10-03,10-20
0,2017,10-02,10-03,4.485493615129312,1.7092130317512375,L,90%,Low,High,pos_change,17_Oct_m1,10-02,10-03
0,2017,10-23,11-07,2.044026294998411,5.074821343772803,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-09
0,2017,10-25,10-26,4.604183337888524,2.637511313827266,L,90%,Low,High,pos_change,17_Nov_m1,10-25,10-26
0,2017,11-24,12-05,1.3502096828026109,6.718731889677014,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-07
0,2017,11-20,11-21,4.7231618119229015,1.035441094730155,L,90%,Open,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-22,01-29,3.011761909373432,3.448992248648312,W,100%,Low,High,pos_change,18_Feb_m1,01-22,02-14
0,2018,01-30,01-31,5.134840175378128,1.0335359386296437,L,90%,Low,High,pos_change,18_Feb_m1,01-28,01-31
0,2018,02-26,02-27,1.132146618891856,3.182784163914884,W,100%,Close,High,pos_change,18_Mar_m1,02-25,03-13
0,2018,02-21,02-23,3.278687193642997,2.160202933220284,L,90%,Low,High,pos_change,18_Mar_m1,02-21,02-24
