,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-25,02-01,3.275776568193268,6.468059388442361,W,100%,Low,High,pos_change,16_Feb_m1,01-23,02-12
0,2016,03-03,03-11,3.2775919732441468,3.386297282955466,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-12
0,2016,02-29,03-01,3.9646631300096673,2.573039555795629,L,90%,Low,High,pos_change,16_Mar_m1,02-28,03-02
0,2016,03-28,04-01,2.6926213329143707,1.6962569367893057,L,100%,Low,High,pos_change,16_Apr_m1,03-25,04-14
0,2016,04-29,05-10,2.0908533686219597,4.908151989398236,W,100%,Low,High,pos_change,16_May_m1,04-26,05-18
0,2016,04-18,04-19,5.413896563658445,1.1397506204373036,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-02,06-03,1.6360649797408402,1.7288265298096364,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-08
0,2016,05-24,05-25,3.951918226146863,5.412308659753872,W,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-21,07-11,1.0933373450421342,10.099950851102456,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-13
0,2016,06-27,06-29,2.6084461764356903,5.560221199000804,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-29,08-01,2.6349918807916146,0.9555543499228394,L,100%,Low,High,pos_change,16_Aug_m1,07-29,08-17
0,2016,07-27,07-28,3.8467613312337177,3.696563580929184,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-26,08-29,1.7747653116631603,0.962598245964545,L,100%,Low,High,pos_change,16_Sep_m1,08-25,09-16
0,2016,08-31,09-01,4.201329262207322,1.5700835806406994,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-23,09-27,3.831523397694464,6.214239605402542,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-05
0,2016,09-19,09-22,5.631070924036711,3.655973695040384,L,90%,Low,High,pos_change,16_Oct_m1,09-19,09-22
0,2016,10-27,11-10,4.9257360946884114,3.881457359687285,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-14
0,2016,10-27,10-28,6.282331826049203,1.6884906960716748,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-21,12-08,2.687547149016316,8.082624506128811,W,100%,Low,Open,pos_change,16_Dec_m1,11-21,12-10
0,2016,11-21,11-23,3.896706323780246,7.127586626794309,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-06,01-11,2.1676004931913404,1.489355046422522,L,100%,Low,High,pos_change,17_Jan_m1,01-06,01-19
0,2017,01-05,01-06,2.522935779816514,1.4942459742968297,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-06
0,2017,01-26,02-10,3.275776568193268,2.985664658226294,L,100%,Low,High,pos_change,17_Feb_m1,01-23,02-12
0,2017,01-24,01-25,4.921742314877718,1.2061375934863074,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,03-03,03-06,3.2775919732441468,1.0830307776677095,L,100%,Low,High,pos_change,17_Mar_m1,03-01,03-12
0,2017,02-28,03-01,4.012578539858566,2.2695920490348307,L,90%,Low,High,pos_change,17_Mar_m1,02-28,03-03
0,2017,03-23,03-24,2.6545966822521474,1.089664479267439,L,100%,Low,High,pos_change,17_Apr_m1,03-22,04-10
0,2017,04-28,05-09,2.0908533686219597,3.44175925170237,W,100%,Low,High,pos_change,17_May_m1,04-26,05-18
0,2017,04-26,04-27,2.9568532444702043,2.437141568377864,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
0,2017,05-31,06-01,1.6360649797408402,3.999999594113674,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-08
0,2017,05-24,05-25,3.6809815950920246,6.2826748971587385,W,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-03,1.5462331036994463,3.210996022981442,W,100%,Low,High,pos_change,17_Jul_m1,06-29,07-07
0,2017,07-26,08-02,2.5345145706581858,9.21565472084202,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-16
0,2017,07-26,07-28,3.230317231025722,5.184174978795421,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-29,09-05,1.5386271339969773,5.78542006927604,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-07
0,2017,08-31,09-01,3.9903154221916814,2.396473452261663,L,90%,Low,High,pos_change,17_Sep_m1,08-31,09-01
0,2017,09-21,10-03,3.831523397694464,11.144173387679066,W,100%,Low,High,pos_change,17_Oct_m1,09-21,10-05
0,2017,09-20,09-21,4.980826202901902,4.127579737335835,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-21
0,2017,10-26,11-14,4.9257360946884114,12.913230976848716,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-17
0,2017,11-20,12-05,3.1570418656399486,22.13972298317309,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-10
0,2017,11-20,11-21,4.028436018957346,1.3665276656929075,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-09,01-11,1.489355046422522,1.737380745435408,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-11
0,2018,01-05,01-08,2.558139534883721,2.315883284226603,L,90%,Low,Close,pos_change,18_Jan_m1,01-05,01-08
0,2018,01-24,01-26,3.275776568193268,2.1730784880809297,L,100%,Low,High,pos_change,18_Feb_m1,01-24,02-12
0,2018,01-22,01-23,4.623223680432545,2.144920024749168,L,90%,Low,Open,pos_change,18_Feb_m1,01-22,01-23
0,2018,02-27,02-28,2.993948662063928,6.487611941877902,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-13
0,2018,02-28,03-01,3.9646631300096673,2.828162481483532,L,90%,Low,High,pos_change,18_Mar_m1,02-28,03-03
