,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,2.081742119353841,1.8453197648117403,L,100%,Low,High,pos_change,16_Jan_m1,01-02,01-14
0,2016,01-04,01-05,2.892922895184955,1.5739534737349026,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-29,02-04,1.7794290865751383,8.111140339635453,W,100%,Low,High,pos_change,16_Feb_m1,01-29,02-08
0,2016,01-25,01-27,3.426378854300227,3.673809305907717,W,90%,Low,High,pos_change,16_Feb_m1,01-25,01-28
0,2016,03-04,03-14,1.3317554245550414,4.308787940900078,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-16
0,2016,03-01,03-02,3.595207362722542,1.7579582846088777,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-24,04-14,2.136755445790892,7.71929297887308,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-15
0,2016,03-21,03-22,3.1313168036064862,2.432910074465533,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-22,05-09,2.481255038041523,5.860466180845749,W,100%,Low,High,pos_change,16_May_m1,04-22,05-09
0,2016,04-18,04-19,4.081627304541393,2.280745940616652,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-08,06-09,1.47783686750554,2.2369310922546326,W,100%,Low,High,pos_change,16_Jun_m1,06-08,06-17
0,2016,06-06,06-07,2.36315392823976,1.7733774533283806,L,90%,Low,High,pos_change,16_Jun_m1,06-05,06-07
0,2016,06-24,07-13,2.5295988589557545,8.005489254978826,W,100%,Low,High,pos_change,16_Jul_m1,06-21,07-14
0,2016,06-22,06-23,4.630740660580377,2.635105710903526,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-23
0,2016,07-19,07-20,2.3431280537322063,2.091501203831984,L,100%,Low,High,pos_change,16_Aug_m1,07-18,07-24
0,2016,08-05,08-08,2.7407237457019806,0.6039169361991491,L,90%,Low,High,pos_change,16_Aug_m1,08-05,08-08
0,2016,09-01,09-02,2.0032540128103467,1.154429930425605,L,100%,Low,High,pos_change,16_Sep_m1,08-31,09-12
0,2016,09-29,10-10,3.4115560111257786,4.53766882811066,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-18
0,2016,11-09,11-11,1.895858664908952,4.8471643180874535,W,100%,Low,High,pos_change,16_Nov_m1,11-07,11-18
0,2016,11-01,11-02,3.318101327987049,1.631597878183241,L,90%,Low,High,pos_change,16_Nov_m1,11-01,11-03
0,2016,11-25,11-28,1.9920317917769117,0.6864000475241575,L,100%,Low,High,pos_change,16_Dec_m1,11-25,12-16
0,2016,11-22,11-25,3.1695492783467074,3.157900196473647,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-25
0,2017,01-04,01-11,2.0801530554122243,5.735490979690812,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-18
0,2017,01-05,01-06,2.8874830381238605,2.333410192165911,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-06
0,2017,01-30,02-01,1.7794290865751383,6.000001968876008,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-08
0,2017,01-26,01-27,3.215252167437146,3.580059547149425,W,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-06,03-10,1.3317554245550414,3.6032539497147207,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
