,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.7393755569904086,1.6280602393341683,L,100%,Low,High,pos_change,16_Jan_m1,01-01,01-09
0,2016,02-02,02-04,3.771404899197004,6.424129453082865,W,100%,Low,High,pos_change,16_Feb_m1,01-30,02-18
0,2016,01-28,01-29,6.219179336338828,4.449854732505703,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-29,03-16,1.5811340594974208,9.046812666223405,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-16
0,2016,02-29,03-01,3.5862297654530675,2.9702109478889627,L,90%,Low,High,pos_change,16_Mar_m1,02-26,03-01
0,2016,04-01,04-08,2.093377401917909,3.924549307134383,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-08
0,2016,04-27,04-28,2.835784793859695,4.372871849875253,W,100%,Low,High,pos_change,16_May_m1,04-27,05-17
0,2016,04-18,04-19,7.115328803157431,2.7087159153657123,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-25,06-09,2.0588235294117645,5.063990294849707,W,100%,Open,High,pos_change,16_Jun_m1,05-25,06-12
0,2016,05-25,05-26,4.179502782519708,1.986332021155771,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-08,2.614899470331388,6.324376494400696,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-09
0,2016,06-22,06-23,3.4051339034877954,2.2571828388606727,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-25,07-27,2.506883914966915,5.340679713441842,W,100%,Low,High,pos_change,16_Aug_m1,07-24,08-19
0,2016,07-18,07-19,4.4698116365319045,2.81925070613098,L,90%,Open,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-01,09-07,2.3544184924742506,3.677158926659028,W,100%,Low,High,pos_change,16_Sep_m1,09-01,09-09
0,2016,08-25,08-26,3.491998095743746,1.253589854299419,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-26
0,2016,09-28,10-19,2.357010990845463,4.870205060650737,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-21
0,2016,09-20,09-21,5.341681817411701,2.398687148474166,L,90%,Close,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-26,10-27,2.6789501174959147,6.955818038272417,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-06
0,2016,10-31,11-01,4.395604395604396,1.2310939677383137,L,90%,Low,High,pos_change,16_Nov_m1,10-31,11-03
0,2016,11-25,11-30,1.6998374804886802,2.7175757128976343,W,100%,Low,High,pos_change,16_Dec_m1,11-24,12-02
0,2016,11-21,11-22,2.5454937892878258,2.2112954817760477,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-10,1.3048635824436536,1.6137284900991395,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-13
0,2017,02-01,02-17,2.78514640861302,6.210155214592162,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-17
0,2017,01-27,01-30,4.384988519954707,0.0,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-27,03-02,1.5811340594974208,4.595890465702015,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-16
0,2017,03-03,03-06,2.6785714285714284,0.4684519800560181,L,90%,Low,High,pos_change,17_Mar_m1,03-03,03-06
0,2017,04-17,04-21,2.543482230343306,3.0059772062437595,W,100%,Low,High,pos_change,17_Apr_m1,04-14,04-21
0,2017,04-27,05-09,2.835784793859695,2.5302647837437022,L,100%,Low,High,pos_change,17_May_m1,04-27,05-17
0,2017,04-24,04-25,3.970223325062035,1.2334152775925846,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,06-06,06-15,1.9165958544036716,4.745835606881159,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-15
0,2017,05-24,05-25,4.285906213788174,2.15850393009868,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-29,07-07,2.614899470331388,3.476712617539087,W,100%,Low,High,pos_change,17_Jul_m1,06-28,07-09
0,2017,06-26,06-27,3.8113987848366975,0.4901449012566941,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,07-25,07-31,2.506883914966915,16.296300562512624,W,100%,Low,High,pos_change,17_Aug_m1,07-25,08-18
0,2017,07-26,07-27,3.2317115791067628,8.815347514432801,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,09-01,09-05,2.3544184924742506,0.4975550656506901,L,100%,Low,High,pos_change,17_Sep_m1,09-01,09-09
