,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.0672519826174975,2.5201976223166627,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,01-20,01-27,3.8945346018601215,7.618556212052503,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-18
0,2016,01-19,01-20,5.26590728286681,0.410243182220457,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-25,03-14,2.261136687016039,2.9545893906487897,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-16
0,2016,02-22,02-23,2.4888677194445434,1.4415861900061349,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,03-30,1.4826223080030732,3.4384741046254663,W,100%,Low,High,pos_change,16_Apr_m1,03-24,03-31
0,2016,03-22,03-23,2.0583203750312027,1.2201682643101297,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-23
0,2016,04-25,05-05,2.5324698245672703,4.311753832296036,W,100%,Low,High,pos_change,16_May_m1,04-25,05-08
0,2016,04-18,04-19,3.333331954942328,0.8408685885132777,L,90%,Low,Open,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-09,1.6474771842682103,2.3555351486278284,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-15
0,2016,06-06,06-07,2.433331807454427,0.681962796172336,L,90%,Low,High,pos_change,16_Jun_m1,06-04,06-07
0,2016,06-24,07-11,2.19827191817497,6.472177146968986,W,100%,Low,Open,pos_change,16_Jul_m1,06-21,07-13
0,2016,06-22,06-23,3.316844413954489,1.515057473001398,L,90%,Low,High,pos_change,16_Jul_m1,06-22,06-25
0,2016,07-18,07-29,2.0319345501760857,1.9998854997176625,L,100%,Low,High,pos_change,16_Aug_m1,07-18,07-30
0,2016,07-18,07-19,3.0225728998369825,1.1814898949103745,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-25,08-31,1.3940304271101978,3.3229312431213534,W,100%,Low,High,pos_change,16_Sep_m1,08-25,09-09
0,2016,08-31,09-01,3.4640542821946485,0.679576925925225,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,09-30,1.9843848926463807,2.742380220108213,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-11
0,2016,09-22,09-23,3.950956871751127,0.7033574361554598,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-25
0,2016,11-01,11-08,4.44373195446472,8.665173643059049,W,100%,Low,High,pos_change,16_Nov_m1,10-30,11-18
0,2016,11-01,11-02,4.760997542620125,2.247870624946464,L,90%,Low,High,pos_change,16_Nov_m1,10-30,11-02
0,2016,12-01,12-13,1.5911483716678962,4.605467876799362,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-14
0,2017,01-03,01-11,1.0672519826174975,7.57895076976103,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-11
0,2017,01-27,02-02,3.3350416940152803,5.574305712226129,W,100%,Low,High,pos_change,17_Feb_m1,01-27,02-10
0,2017,01-24,01-27,3.885430549624768,3.9659503270011034,W,90%,Low,High,pos_change,17_Feb_m1,01-24,01-27
0,2017,02-27,03-01,2.261136687016039,2.0731633528964624,L,100%,Low,High,pos_change,17_Mar_m1,02-25,03-16
0,2017,02-21,02-23,2.4888677194445434,1.6341517322893817,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,03-29,04-20,1.8494858673740728,2.0922291746740207,W,100%,Low,High,pos_change,17_Apr_m1,03-29,04-20
0,2017,04-25,05-01,2.5324698245672703,5.826284068387258,W,100%,Low,High,pos_change,17_May_m1,04-25,05-08
0,2017,04-25,04-28,3.2679738562091507,5.5837528065886985,W,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,06-06,06-14,1.6474771842682103,1.243926650308641,L,100%,Low,High,pos_change,17_Jun_m1,06-03,06-15
0,2017,06-22,07-12,2.19827191817497,3.2652653529799007,W,100%,Low,Open,pos_change,17_Jul_m1,06-21,07-13
0,2017,06-22,06-23,3.316844413954489,1.3009197030554591,L,90%,Low,High,pos_change,17_Jul_m1,06-22,06-25
0,2017,07-27,07-28,1.178171860228539,1.3416471029457606,W,100%,Low,Open,pos_change,17_Aug_m1,07-24,08-01
0,2017,08-07,08-08,2.4582551834270587,1.5305341993136854,L,90%,Open,High,pos_change,17_Aug_m1,08-07,08-08
0,2017,08-25,09-01,1.3940304271101978,1.1027328893009565,L,100%,Low,High,pos_change,17_Sep_m1,08-25,09-04
0,2017,08-30,09-01,2.9257674316125253,1.2615210116411462,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-27,10-06,1.9843848926463807,2.8973477008976216,W,100%,Low,High,pos_change,17_Oct_m1,09-26,10-11
0,2017,09-22,09-25,3.7884864376965663,1.05427398190193,L,90%,Low,High,pos_change,17_Oct_m1,09-22,09-25
0,2017,10-27,11-06,4.089002731665585,7.647087093972571,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-14
0,2017,11-01,11-02,4.646272161805019,10.16715999601756,W,90%,Low,High,pos_change,17_Nov_m1,11-01,11-02
0,2017,11-30,12-01,1.5911483716678962,2.1979988615823136,W,100%,Low,High,pos_change,17_Dec_m1,11-30,12-14
0,2018,01-02,01-09,1.0672519826174975,5.467483363173658,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-11
0,2018,01-30,01-31,3.3350416940152803,1.5386557684957132,L,100%,Low,High,pos_change,18_Feb_m1,01-27,02-10
0,2018,01-22,01-23,4.042357278937974,1.5433448462205648,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-23
0,2018,02-26,02-27,1.816755131144113,3.2697228409834302,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-14
0,2018,03-29,04-19,1.8494858673740728,11.37156877865566,W,100%,Low,High,pos_change,18_Apr_m1,03-29,04-20
0,2018,04-25,04-30,2.5324698245672703,3.614085580283597,W,100%,Low,High,pos_change,18_May_m1,04-25,05-08
0,2018,04-25,04-27,3.2679738562091507,3.016860653592389,L,90%,Low,High,pos_change,18_May_m1,04-25,04-28
0,2018,06-06,06-13,1.5570940207452006,3.503061595534976,W,100%,Low,High,pos_change,18_Jun_m1,06-06,06-14
0,2018,05-21,05-22,2.3862090773886355,2.298949275431021,L,90%,Low,High,pos_change,18_Jun_m1,05-21,05-22
0,2018,06-21,07-13,2.19827191817497,7.344849155992255,W,100%,Low,Open,pos_change,18_Jul_m1,06-21,07-13
0,2018,06-22,06-25,3.316844413954489,1.73764730299182,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,07-30,08-09,1.2020491482317226,3.099863858670906,W,100%,Low,High,pos_change,18_Aug_m1,07-28,08-15
0,2018,08-06,08-07,3.077958156668588,0.9003898615693136,L,90%,Low,High,pos_change,18_Aug_m1,08-06,08-07
0,2018,09-11,09-13,1.642219260632828,3.3529502263146944,W,100%,Low,High,pos_change,18_Sep_m1,09-08,09-19
0,2018,09-28,10-01,1.9843848926463807,2.747714130171217,W,100%,Low,High,pos_change,18_Oct_m1,09-26,10-11
0,2018,10-01,10-02,3.353740018986641,1.0228979678554388,L,90%,Low,High,pos_change,18_Oct_m1,09-30,10-03
0,2018,10-30,11-08,4.44373195446472,7.745852155542562,W,100%,Low,High,pos_change,18_Nov_m1,10-30,11-14
0,2018,10-30,11-02,4.646272161805019,4.7937915501298205,W,90%,Low,High,pos_change,18_Nov_m1,10-30,11-02
0,2018,11-20,11-30,1.7534878274858088,6.4190953071145485,W,100%,Low,High,pos_change,18_Dec_m1,11-19,11-30
0,2018,11-21,11-23,2.894669445490937,1.2846144852943369,L,90%,Low,Open,pos_change,18_Dec_m1,11-21,11-24
0,2019,01-03,01-10,1.0672519826174975,9.002468256838322,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-11
0,2019,01-28,02-05,3.268805733282986,5.965791920658879,W,100%,Low,High,pos_change,19_Feb_m1,01-25,02-07
0,2019,01-23,01-24,4.16343596220934,2.1141403715508367,L,90%,Low,High,pos_change,19_Feb_m1,01-21,01-24
0,2019,02-27,03-04,1.816755131144113,3.15993463949655,W,100%,Low,High,pos_change,19_Mar_m1,02-25,03-14
0,2019,03-18,04-10,1.813828539014648,4.871099352157088,W,100%,Low,High,pos_change,19_Apr_m1,03-18,04-10
0,2019,03-25,03-26,2.448288575315901,4.122409549832747,W,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,04-25,04-30,2.5324698245672703,4.442999625309748,W,100%,Low,High,pos_change,19_May_m1,04-25,05-08
0,2019,04-24,04-25,3.614085580283597,5.427044305898198,W,90%,Low,High,pos_change,19_May_m1,04-24,04-25
0,2019,06-06,06-11,1.5570940207452006,3.75391485583786,W,100%,Low,High,pos_change,19_Jun_m1,06-06,06-14
0,2019,06-06,06-07,2.438848481761466,2.767170213041738,W,90%,Low,High,pos_change,19_Jun_m1,06-05,06-08
0,2019,06-26,07-12,2.19827191817497,4.9811584078854665,W,100%,Low,Open,pos_change,19_Jul_m1,06-24,07-12
0,2019,06-26,06-27,3.316844413954489,2.9534683180728774,L,90%,Low,High,pos_change,19_Jul_m1,06-24,06-27
0,2019,07-31,08-01,1.2020491482317226,2.395714783948093,W,100%,Low,High,pos_change,19_Aug_m1,07-28,08-15
0,2019,08-06,08-07,2.688171987878697,7.17904036742631,W,90%,Low,High,pos_change,19_Aug_m1,08-04,08-07
0,2019,09-10,09-12,1.642219260632828,4.193979569540898,W,100%,Low,High,pos_change,19_Sep_m1,09-08,09-19
0,2019,09-03,09-04,2.961915978738847,3.733070041507927,W,90%,Low,High,pos_change,19_Sep_m1,09-03,09-04
0,2019,09-27,10-01,1.9843848926463807,3.5800875882129493,W,100%,Low,High,pos_change,19_Oct_m1,09-26,10-11
0,2019,09-24,09-25,3.131223779415228,2.068137740324399,L,90%,Low,High,pos_change,19_Oct_m1,09-24,09-25
0,2019,10-30,11-04,4.44373195446472,3.0478462635073638,L,100%,Low,High,pos_change,19_Nov_m1,10-30,11-14
0,2019,10-30,11-01,4.646272161805019,2.421740196565892,L,90%,Low,High,pos_change,19_Nov_m1,10-30,11-02
0,2019,11-19,11-27,1.7534878274858088,7.379139258021823,W,100%,Low,High,pos_change,19_Dec_m1,11-19,11-30
0,2019,11-21,11-22,2.894669445490937,1.5377097688813817,L,90%,Low,Open,pos_change,19_Dec_m1,11-21,11-24
0,2020,01-03,01-10,1.0672519826174975,2.9358089397935867,W,100%,Low,High,pos_change,20_Jan_m1,01-02,01-11
0,2020,01-21,02-05,3.85685222671598,4.144420385489635,W,100%,Low,High,pos_change,20_Feb_m1,01-20,02-13
0,2020,01-21,01-23,5.1765583287911765,1.8088740076604877,L,90%,Low,High,pos_change,20_Feb_m1,01-20,01-23
0,2020,02-28,03-03,1.816755131144113,7.659099329567189,W,100%,Low,High,pos_change,20_Mar_m1,02-25,03-14
0,2020,02-25,02-27,2.261136687016039,2.985815318883284,W,90%,Low,High,pos_change,20_Mar_m1,02-25,02-27
0,2020,03-23,03-31,1.4826223080030732,16.839445285338968,W,100%,Low,High,pos_change,20_Apr_m1,03-23,03-31
0,2020,03-25,03-26,2.448288575315901,10.243539934968364,W,90%,Low,High,pos_change,20_Apr_m1,03-25,03-26
0,2020,04-28,05-07,2.5324698245672703,1.864826816391919,L,100%,Low,High,pos_change,20_May_m1,04-25,05-08
0,2020,06-08,06-09,1.5570940207452006,4.522110143491485,W,100%,Low,High,pos_change,20_Jun_m1,06-06,06-14
0,2020,05-21,05-22,2.3862090773886355,4.328177644035366,W,90%,Low,High,pos_change,20_Jun_m1,05-21,05-22
0,2020,06-25,07-13,2.19827191817497,16.391481329046606,W,100%,Low,Open,pos_change,20_Jul_m1,06-22,07-13
0,2020,06-22,06-23,3.316844413954489,3.421530002990476,W,90%,Low,High,pos_change,20_Jul_m1,06-22,06-25
0,2020,07-30,08-05,1.2020491482317226,5.53271951595909,W,100%,Low,High,pos_change,20_Aug_m1,07-28,08-15
0,2020,07-30,07-31,2.351074892116773,4.192129532049108,W,90%,Low,High,pos_change,20_Aug_m1,07-30,07-31
0,2020,08-27,08-28,1.3940304271101978,6.629312449488147,W,100%,Low,High,pos_change,20_Sep_m1,08-25,09-06
0,2020,08-31,09-01,2.7018111516231538,1.6705922571820513,L,90%,Low,High,pos_change,20_Sep_m1,08-30,09-01
0,2020,09-28,10-06,1.9843848926463807,6.946731406682943,W,100%,Low,High,pos_change,20_Oct_m1,09-26,10-11
0,2020,09-24,09-25,2.7331649513910534,2.0587230395863787,L,90%,Close,High,pos_change,20_Oct_m1,09-24,09-25
0,2020,10-26,11-09,4.1385759572681255,3.8814579463258014,L,100%,Low,High,pos_change,20_Nov_m1,10-24,11-18
0,2020,10-29,10-30,4.760997542620125,1.3384206098809963,L,90%,Low,High,pos_change,20_Nov_m1,10-29,11-01
0,2020,11-30,12-14,1.5911483716678962,7.292257330714495,W,100%,Low,High,pos_change,20_Dec_m1,11-30,12-14
0,2020,11-23,11-24,2.757192508904049,0.909127341224558,L,90%,Low,Open,pos_change,20_Dec_m1,11-23,11-24
