,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.088816221187888,2.880543524877245,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-26,01-29,3.166866636255956,6.482336896491146,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-17
0,2016,03-03,03-17,2.9592922164263067,5.27584684695453,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-17
0,2016,02-22,02-23,4.576718515817283,1.959090530428668,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-29,04-14,3.4191426593350114,6.829656183565295,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-15
0,2016,03-28,03-29,4.265407186848888,3.543099321524515,L,90%,Low,High,pos_change,16_Apr_m1,03-26,03-29
0,2016,04-18,04-21,2.714082531741523,5.177257437881531,W,100%,Low,Close,pos_change,16_May_m1,04-18,05-17
0,2016,04-18,04-19,5.106067212818887,3.3409880231539777,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-07,1.9752627684853936,1.2965025096042102,L,100%,Low,High,pos_change,16_Jun_m1,06-04,06-17
0,2016,05-25,05-26,3.3834587436606824,2.3952019956867137,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-01,1.6120588550239905,10.732986727636916,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-01
0,2016,06-23,06-24,2.7480940345504057,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-05,08-08,1.8713499370374176,3.301612856916732,W,100%,Low,High,pos_change,16_Aug_m1,08-05,08-14
0,2016,07-26,07-27,3.637043571647745,2.84124557130847,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-27
0,2016,08-25,09-08,2.250398792214693,2.4763584817843958,W,100%,Low,High,pos_change,16_Sep_m1,08-23,09-10
0,2016,08-31,09-01,3.925923947934752,1.912412948147609,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-28,10-03,2.491632917447623,7.535642226003006,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-06
0,2016,11-04,11-10,2.2795506185696706,22.045586204205755,W,100%,Low,High,pos_change,16_Nov_m1,11-04,11-14
0,2016,10-24,10-25,5.708811300156234,1.5918936301178914,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-02,12-08,1.4814821879069011,7.877242842076406,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-09
0,2016,11-21,11-22,2.9862964842731925,1.490241157096141,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-13,2.5280884856348647,1.7404200074510845,L,100%,Low,High,pos_change,17_Jan_m1,01-04,01-16
0,2017,01-27,02-15,3.166866636255956,7.748432279382862,W,100%,Low,High,pos_change,17_Feb_m1,01-26,02-17
0,2017,02-02,02-03,4.314592799042814,2.7171144382994044,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
0,2017,03-06,03-16,2.9592922164263067,4.8215481791921295,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-17
0,2017,02-24,02-27,4.6886982778298805,1.9732209504573244,L,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,03-27,04-05,3.674590203011759,5.2996516420060695,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-16
0,2017,03-27,03-28,4.265407186848888,4.2595278863526325,L,90%,Low,High,pos_change,17_Apr_m1,03-26,03-29
0,2017,04-27,05-01,2.015115100228749,4.047900902296968,W,100%,Low,High,pos_change,17_May_m1,04-26,05-08
0,2017,04-27,04-28,3.252032520325204,3.832331674541542,W,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,05-26,06-05,1.729728080130912,3.855418009930346,W,100%,Low,High,pos_change,17_Jun_m1,05-26,06-07
0,2017,05-24,05-25,3.5313566474782885,2.668299126812495,L,90%,Low,Open,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-11,07-20,2.839400766892949,4.671854145667798,W,100%,Low,High,pos_change,17_Jul_m1,07-08,07-21
0,2017,07-06,07-07,3.196593903469405,1.6930321821428316,L,90%,Low,High,pos_change,17_Jul_m1,07-06,07-07
0,2017,08-07,08-08,1.8713499370374176,1.0114910958827228,L,100%,Low,High,pos_change,17_Aug_m1,08-05,08-14
0,2017,07-26,07-27,3.637043571647745,0.7003434603887154,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-23,09-01,2.250398792214693,3.2219868274099333,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-10
0,2017,08-30,09-01,3.338951912978662,2.929359343565697,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-28,10-06,2.491632917447623,2.240828105321563,L,100%,Low,High,pos_change,17_Oct_m1,09-28,10-06
0,2017,09-27,09-28,6.109457644756775,1.7304238795889717,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-26,10-27,3.7855733135451097,2.782980561547368,L,100%,Low,High,pos_change,17_Nov_m1,10-23,11-02
0,2017,10-24,10-25,5.708811300156234,0.0,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,11-20,12-04,2.674443096413712,10.531516047426727,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-05
0,2017,11-20,11-21,2.9862964842731925,3.7577266479468303,W,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-05,01-12,2.42209617364056,3.738961319803709,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-14
0,2018,02-01,02-02,2.985343749828304,1.3523336762968197,L,100%,Low,High,pos_change,18_Feb_m1,01-31,02-15
0,2018,01-25,01-26,5.570623991202031,2.22717141651684,L,90%,Low,High,pos_change,18_Feb_m1,01-25,01-26
0,2018,02-23,03-09,2.0844945866868128,4.968949311518214,W,100%,Low,High,pos_change,18_Mar_m1,02-23,03-16
0,2018,02-23,02-26,4.250003976822051,3.1314676593830693,L,90%,Low,High,pos_change,18_Mar_m1,02-23,02-26
0,2018,03-28,03-29,3.674590203011759,3.930910133553021,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-16
0,2018,04-26,04-30,2.015115100228749,4.990868408967115,W,100%,Low,High,pos_change,18_May_m1,04-26,05-08
0,2018,04-26,04-27,3.252032520325204,4.808271415124961,W,90%,Low,High,pos_change,18_May_m1,04-25,04-28
0,2018,05-29,06-07,1.729728080130912,6.80147445531872,W,100%,Low,High,pos_change,18_Jun_m1,05-26,06-07
0,2018,05-24,05-25,3.5313566474782885,1.9133015696595064,L,90%,Low,Open,pos_change,18_Jun_m1,05-23,05-25
0,2018,07-05,07-13,1.9101154008097148,3.7201848666535913,W,100%,Low,High,pos_change,18_Jul_m1,07-05,07-14
0,2018,08-10,08-16,1.830553316414138,3.351247214881975,W,100%,Low,High,pos_change,18_Aug_m1,08-07,08-16
0,2018,07-25,07-27,2.741302829815932,2.2297844087691963,L,90%,Close,High,pos_change,18_Aug_m1,07-24,07-27
0,2018,09-07,09-19,2.256842873585806,8.580967042926996,W,100%,Low,High,pos_change,18_Sep_m1,09-06,09-19
0,2018,08-20,08-21,3.864298093959345,1.988380401300568,L,90%,Low,High,pos_change,18_Sep_m1,08-20,08-21
0,2018,10-01,10-08,2.491632917447623,2.5802206366418146,W,100%,Low,High,pos_change,18_Oct_m1,09-28,10-10
0,2018,09-27,09-28,4.521348366174738,0.0323213597583104,L,90%,Low,High,pos_change,18_Oct_m1,09-27,09-28
0,2018,10-25,10-31,2.391135068346465,10.807941951174442,W,100%,Open,High,pos_change,18_Nov_m1,10-24,11-01
0,2018,10-23,10-25,5.708811300156234,6.69738250525991,W,90%,Low,High,pos_change,18_Nov_m1,10-22,10-25
0,2018,11-20,12-03,2.674443096413712,9.860496258960124,W,100%,Low,High,pos_change,18_Dec_m1,11-20,12-05
0,2019,01-03,01-07,2.42209617364056,5.864200962857852,W,100%,Low,High,pos_change,19_Jan_m1,01-03,01-14
0,2019,01-23,01-29,2.128055620949688,3.769905200373263,W,100%,Low,High,pos_change,19_Feb_m1,01-21,01-30
0,2019,02-04,02-06,3.4772634495955974,3.411010496665586,L,90%,Low,High,pos_change,19_Feb_m1,02-03,02-06
0,2019,02-26,03-01,1.9895866848478347,3.166719921626385,W,100%,Low,High,pos_change,19_Mar_m1,02-24,03-06
0,2019,03-26,04-15,3.674590203011759,11.51930537353334,W,100%,Low,High,pos_change,19_Apr_m1,03-26,04-16
0,2019,03-26,03-29,4.265407186848888,3.9539243461897264,L,90%,Low,High,pos_change,19_Apr_m1,03-26,03-29
0,2019,04-29,05-03,2.015115100228749,2.0864029522148337,W,100%,Low,High,pos_change,19_May_m1,04-26,05-08
0,2019,04-25,04-26,3.252032520325204,1.0499401653287983,L,90%,Low,High,pos_change,19_May_m1,04-25,04-28
0,2019,06-03,06-10,2.452074422003848,7.775305737209005,W,100%,Low,High,pos_change,19_Jun_m1,06-03,06-18
0,2019,05-23,05-24,4.215246084461387,2.3554618847079176,L,90%,Low,High,pos_change,19_Jun_m1,05-22,05-25
0,2019,07-08,07-12,1.9101154008097148,1.40763528997013,L,100%,Low,High,pos_change,19_Jul_m1,07-05,07-14
0,2019,07-08,07-09,3.4898428240668182,0.3734479985332977,L,90%,Low,High,pos_change,19_Jul_m1,07-06,07-09
0,2019,08-07,08-08,1.830553316414138,3.0455213531451624,W,100%,Low,High,pos_change,19_Aug_m1,08-07,08-16
0,2019,07-25,07-26,2.741302829815932,1.832452687158995,L,90%,Close,High,pos_change,19_Aug_m1,07-24,07-27
0,2019,09-06,09-13,2.256842873585806,12.892372294777736,W,100%,Low,High,pos_change,19_Sep_m1,09-06,09-19
0,2019,08-29,08-30,3.348842886991279,2.072144768203341,L,90%,Low,High,pos_change,19_Sep_m1,08-29,08-30
0,2019,09-30,10-01,2.491632917447623,1.4669929745212724,L,100%,Low,High,pos_change,19_Oct_m1,09-28,10-10
0,2019,09-24,09-25,4.591933560235325,2.1600588360323827,L,90%,Low,High,pos_change,19_Oct_m1,09-23,09-26
0,2019,10-25,10-28,2.391135068346465,6.639316382332273,W,100%,Open,High,pos_change,19_Nov_m1,10-24,11-01
0,2019,10-23,10-24,5.708811300156234,5.192884174410908,L,90%,Low,High,pos_change,19_Nov_m1,10-22,10-25
0,2019,11-22,11-25,2.674443096413712,3.016923052307948,W,100%,Low,High,pos_change,19_Dec_m1,11-20,12-05
0,2019,11-27,11-29,3.3418091294862444,1.0885382809238071,L,90%,Low,High,pos_change,19_Dec_m1,11-27,11-30
0,2020,01-06,01-07,2.42209617364056,4.933284445151269,W,100%,Low,High,pos_change,20_Jan_m1,01-03,01-14
0,2020,02-07,02-18,2.6505140741530355,8.405347108995764,W,100%,Low,High,pos_change,20_Feb_m1,02-06,02-20
0,2020,02-10,02-11,3.791954951211722,1.147147944232085,L,90%,Low,High,pos_change,20_Feb_m1,02-10,02-11
0,2020,03-05,03-06,2.9592922164263067,3.5928176855768594,W,100%,Low,High,pos_change,20_Mar_m1,03-03,03-17
0,2020,02-28,03-03,4.574389610207378,12.359547351178591,W,90%,Low,High,pos_change,20_Mar_m1,02-28,03-03
0,2020,03-26,03-27,3.674590203011759,9.909373852565516,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-16
0,2020,03-26,03-27,4.265407186848888,9.909373852565516,W,90%,Low,High,pos_change,20_Apr_m1,03-26,03-29
0,2020,04-27,04-30,2.015115100228749,21.621625185729723,W,100%,Low,High,pos_change,20_May_m1,04-26,05-08
0,2020,04-22,04-23,3.1698606962393177,3.687500953674317,W,90%,Low,High,pos_change,20_May_m1,04-22,04-23
0,2020,06-03,06-08,2.452074422003848,20.804372696312964,W,100%,Low,High,pos_change,20_Jun_m1,06-03,06-18
0,2020,05-21,05-22,3.7099540201916814,1.28276373854793,L,90%,Low,High,pos_change,20_Jun_m1,05-21,05-24
0,2020,07-07,07-15,1.8385503142769068,4.859086509753104,W,100%,Low,High,pos_change,20_Jul_m1,07-05,07-15
0,2020,07-06,07-07,2.9213552350966903,0.722193621686728,L,90%,Low,High,pos_change,20_Jul_m1,07-06,07-07
0,2020,08-07,08-12,1.830553316414138,7.674534531521032,W,100%,Low,High,pos_change,20_Aug_m1,08-07,08-16
0,2020,08-24,09-03,2.1471911614797783,6.017192916650234,W,100%,Low,High,pos_change,20_Sep_m1,08-24,09-06
0,2020,10-02,10-09,2.2547915093695337,18.21410613568246,W,100%,Low,High,pos_change,20_Oct_m1,09-29,10-11
0,2020,09-21,09-22,5.231481548332376,1.3486536043457822,L,90%,Low,High,pos_change,20_Oct_m1,09-21,09-22
0,2020,10-26,10-27,2.391135068346465,1.6644212633941269,L,100%,Open,High,pos_change,20_Nov_m1,10-24,11-01
0,2020,10-22,10-23,5.708811300156234,3.8597998959504976,L,90%,Low,High,pos_change,20_Nov_m1,10-22,10-25
0,2020,11-25,12-18,1.8343594194371775,15.444188026508582,W,100%,Low,High,pos_change,20_Dec_m1,11-25,12-18
0,2020,11-30,12-01,2.514587479453956,4.385568837773764,W,90%,Low,High,pos_change,20_Dec_m1,11-30,12-01
