,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.0,1.9250307625191496,W,100%,Open,Open,pos_change,16_Jan_m1,01-01,01-12
0,2016,02-04,02-05,2.782933192635405,3.572466622238198,W,100%,Low,High,pos_change,16_Feb_m1,02-04,02-17
0,2016,02-04,02-05,4.279280009493013,3.572466622238198,L,90%,Low,High,pos_change,16_Feb_m1,02-04,02-05
0,2016,02-29,03-04,3.0052118929643363,8.620687238501054,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-14
0,2016,04-01,04-04,2.2742485413088662,2.226491299648865,L,100%,Low,High,pos_change,16_Apr_m1,04-01,04-10
0,2016,03-29,03-30,3.587557158251556,2.9242954095711893,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-29,05-02,3.0948218030975214,2.767291758795204,L,100%,Low,High,pos_change,16_May_m1,04-26,05-15
0,2016,05-26,06-06,2.233080246384953,2.03544617572473,L,100%,Low,High,pos_change,16_Jun_m1,05-25,06-06
0,2016,05-23,05-24,3.146848307174191,3.222626099435125,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-14,1.94012304979884,13.857773737625728,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-14
0,2016,08-01,08-08,1.9299942680780688,4.423419880434456,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-19
0,2016,07-19,07-20,4.657181534619889,1.3417690615110758,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-21
0,2016,08-29,09-01,2.2023817748074945,2.8893249284207183,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-12
0,2016,08-31,09-01,4.970244148679968,1.9902904845619112,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,10-03,10-07,3.4137891430727505,3.669030228097079,W,100%,Low,High,pos_change,16_Oct_m1,10-01,10-18
0,2016,09-29,09-30,6.101934021348064,3.352251399378159,L,90%,Low,High,pos_change,16_Oct_m1,09-28,10-01
