,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.3140102515474037,3.1948009675979367,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,01-04,01-05,1.3140102515474037,3.1948009675979367,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,02-03,02-04,2.0151113896384563,5.105657049369701,W,100%,Low,High,pos_change,16_Feb_m1,02-02,02-17
0,2016,02-24,03-11,2.0433940105017734,6.176243339918583,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-13
0,2016,02-24,02-25,3.2441356547145315,2.605359307650862,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-25
0,2016,03-29,04-13,2.822605256111391,2.786118927210516,L,100%,Close,High,pos_change,16_Apr_m1,03-29,04-13
0,2016,03-31,04-01,3.364836914846008,0.9145933990010184,L,90%,Low,High,pos_change,16_Apr_m1,03-31,04-03
0,2016,04-21,04-25,1.710554499312464,3.230584865125883,W,100%,Low,High,pos_change,16_May_m1,04-21,04-26
0,2016,04-18,04-20,3.838608930868032,5.286593206675614,W,90%,Low,High,pos_change,16_May_m1,04-18,04-21
0,2016,06-01,06-08,1.7950482587511043,5.337083166618912,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-10
0,2016,05-25,05-26,3.2674423427647064,0.9059254716082318,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-28,07-01,2.375601220482708,7.562410633292416,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-14
0,2016,06-28,06-29,4.283683181654477,5.24229041823087,W,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,07-29,08-09,2.662596622519817,15.36277104634497,W,100%,Low,High,pos_change,16_Aug_m1,07-27,08-19
0,2016,08-04,08-05,3.617747724656805,6.530780161609751,W,90%,Low,High,pos_change,16_Aug_m1,08-04,08-07
0,2016,08-31,09-06,3.481801789431986,3.690931388263283,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-16
0,2016,08-31,09-01,3.6687365026912806,2.030646584827853,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-23,09-30,2.9133100584402207,4.035413901152005,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-17
0,2016,09-23,09-26,4.240280379182466,0.5945522747176448,L,90%,Low,High,pos_change,16_Oct_m1,09-23,09-26
0,2016,10-25,10-26,2.604198455810547,0.7406431217266681,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-07
0,2016,10-27,10-28,4.166666666666666,0.3829500456750855,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-29
0,2016,11-28,11-29,1.922312626289284,1.4602383196153432,L,100%,Low,High,pos_change,16_Dec_m1,11-26,12-10
0,2017,01-05,01-06,1.6024421631619286,1.3894318336257985,L,100%,Low,High,pos_change,17_Jan_m1,01-05,01-17
0,2017,01-10,01-11,1.9569452450051772,1.993090562613596,W,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,02-02,02-13,2.0151113896384563,2.6467366341730343,W,100%,Low,High,pos_change,17_Feb_m1,02-02,02-17
0,2017,01-30,01-31,3.085571381990998,1.767679251483772,L,90%,Low,High,pos_change,17_Feb_m1,01-29,01-31
