,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,0.9334954765196546,1.2933087093976996,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-12
0,2016,01-04,01-05,1.4203270531362933,3.796330787481586,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-25,02-19,2.4576267556396294,3.033208084917208,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-19
0,2016,02-01,02-02,3.6039803696369055,0.4163197388447419,L,90%,Low,High,pos_change,16_Feb_m1,01-30,02-02
0,2016,03-01,03-09,2.0824157158092755,7.687342178601273,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-17
0,2016,02-24,02-26,3.957493175060911,4.520795523954893,W,90%,Open,Open,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-24,03-29,2.2737837370579097,4.406281267092522,W,100%,Low,High,pos_change,16_Apr_m1,03-22,03-30
0,2016,03-23,03-24,2.8104814783987515,0.4818552197969681,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-18,04-28,3.389839384612344,8.092915397358395,W,100%,Low,High,pos_change,16_May_m1,04-18,05-17
0,2016,04-27,04-28,4.998185911843882,6.485930489221993,W,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,06-06,06-07,1.750201053062835,1.6891401742424337,L,100%,Low,High,pos_change,16_Jun_m1,06-04,06-15
0,2016,07-06,07-13,1.4162343233405836,5.516668713526244,W,100%,Low,High,pos_change,16_Jul_m1,07-06,07-13
0,2016,07-26,07-27,2.0109682784182783,2.550412174757452,W,100%,Low,High,pos_change,16_Aug_m1,07-25,08-13
0,2016,07-21,07-22,2.414831621585988,1.104460165272073,L,90%,Low,High,pos_change,16_Aug_m1,07-20,07-23
0,2016,08-25,08-26,2.7644253179755083,1.7820440449804833,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-10
0,2016,10-11,10-12,1.7012589669399818,2.969699435763889,W,100%,Low,High,pos_change,16_Oct_m1,10-08,10-19
0,2016,11-03,11-10,1.680674289261292,14.870261456769732,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-17
0,2016,10-27,10-28,3.9669382405261127,3.079355266462177,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,12-07,12-15,3.1165812738579115,10.007355713077509,W,100%,Low,High,pos_change,16_Dec_m1,12-05,12-16
0,2016,11-21,11-22,3.1307565134902937,0.88652479871047,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-09,01-10,1.0263254966638846,1.3411554343606689,W,100%,Low,High,pos_change,17_Jan_m1,01-08,01-20
0,2017,01-05,01-06,1.7007902851254924,1.7197781725613095,W,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-26,02-03,2.033896332532328,10.649862431283005,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-04
0,2017,01-30,01-31,3.5373584858744764,3.044201652091649,L,90%,Low,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,03-01,03-10,2.0824157158092755,3.573956902695321,W,100%,Low,High,pos_change,17_Mar_m1,03-01,03-17
0,2017,03-22,03-29,2.490333445246852,2.501361453537304,W,100%,Low,High,pos_change,17_Apr_m1,03-22,04-17
0,2017,04-10,04-11,3.439343070780408,0.4511237976085147,L,90%,Low,High,pos_change,17_Apr_m1,04-08,04-11
0,2017,05-09,05-11,1.7453413329499974,1.662100177921661,L,100%,Low,High,pos_change,17_May_m1,05-09,05-18
0,2017,06-07,06-12,1.5910960047342306,5.430564706134774,W,100%,Low,High,pos_change,17_Jun_m1,06-04,06-13
0,2017,07-06,07-10,1.7279386035712017,2.0289835442116844,W,100%,Low,High,pos_change,17_Jul_m1,07-03,07-21
0,2017,07-06,07-07,2.796311344033517,1.449273960151203,L,90%,Low,High,pos_change,17_Jul_m1,07-04,07-07
0,2017,07-27,08-08,2.0109682784182783,10.583938102545009,W,100%,Low,High,pos_change,17_Aug_m1,07-25,08-13
0,2017,07-27,07-28,2.87369135555152,6.780635202034231,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-30,09-07,2.354350220117627,7.90547696362548,W,100%,Low,High,pos_change,17_Sep_m1,08-30,09-10
0,2017,08-21,08-24,4.161075119921876,3.715555826822917,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-24
