,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.0,2.1536197450697845,W,100%,Close,Open,pos_change,16_Jan_m1,01-01,01-14
0,2016,01-07,01-08,2.5783208013423677,2.580476767133892,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,02-03,02-16,3.1249943024973503,17.268781526722314,W,100%,Low,High,pos_change,16_Feb_m1,02-03,02-16
0,2016,02-03,02-05,5.203092044511688,9.140168899578372,W,90%,Low,High,pos_change,16_Feb_m1,02-02,02-05
0,2016,02-24,03-17,2.3422771706453007,21.116822411028245,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-17
0,2016,02-22,02-23,3.10077519379845,2.4307720477764425,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,03-31,2.199252727725742,7.707339334512718,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-01
0,2016,03-31,04-01,3.910143888978985,1.2987057630845484,L,90%,Low,High,pos_change,16_Apr_m1,03-31,04-01
0,2016,04-22,04-27,2.839115220768877,5.900952930694506,W,100%,Low,High,pos_change,16_May_m1,04-20,05-18
0,2016,04-18,04-19,5.809864735844742,4.6756744384765625,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-01,06-08,1.9725756575512197,8.101502904464631,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-15
0,2016,05-24,05-25,4.192715681917942,4.515926389680094,W,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-27,07-01,1.2658227848101269,12.4999948019206,W,100%,Close,High,pos_change,16_Jul_m1,06-26,07-03
0,2016,06-27,06-30,3.722781987054501,7.30377977997015,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,07-19,07-27,1.7006802721088436,9.807018077392616,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-14
0,2016,07-25,07-26,4.128440366972478,3.2776873789094134,L,90%,Low,High,pos_change,16_Aug_m1,07-25,07-26
0,2016,08-31,09-07,1.6835016835016834,7.231037775930606,W,100%,Close,High,pos_change,16_Sep_m1,08-31,09-13
0,2016,08-22,08-23,2.795281239776007,3.0805715854079234,W,90%,Low,High,pos_change,16_Sep_m1,08-22,08-23
0,2016,09-26,09-30,1.7921146953405016,2.316152912146884,W,100%,Close,High,pos_change,16_Oct_m1,09-23,10-02
0,2016,09-28,09-29,6.116207951070336,2.247520418819486,L,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,11-01,11-18,5.681704747243207,3.0077320012889763,L,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-27,10-28,7.445258919448001,5.863383067173116,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-23,12-01,0.323739045582091,5.720760065706564,W,100%,Close,High,pos_change,16_Dec_m1,11-23,12-04
0,2016,11-29,11-30,2.7869017821226185,4.645767574385215,W,90%,Low,High,pos_change,16_Dec_m1,11-28,11-30
