,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-06,1.908393246215156,2.533498958573092,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,02-08,02-17,1.6691198154946518,10.198743020036074,W,100%,Low,High,pos_change,16_Feb_m1,02-08,02-17
0,2016,01-27,01-29,2.318320989381069,7.260136108453164,W,90%,Low,High,pos_change,16_Feb_m1,01-27,01-30
0,2016,02-29,03-14,1.613526493629902,4.547619545032633,W,100%,Low,High,pos_change,16_Mar_m1,02-26,03-14
0,2016,03-01,03-02,2.7660440725313413,1.7585515952039332,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-23,04-01,2.1069667754231203,7.605632473865527,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-02
0,2016,03-29,03-30,3.086923959939525,2.2619303428836397,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-25,05-12,1.728308773071312,5.448784658150264,W,100%,Low,High,pos_change,16_May_m1,04-25,05-15
0,2016,04-28,04-29,2.9269650325862586,0.7868805775762069,L,90%,Low,High,pos_change,16_May_m1,04-28,04-29
0,2016,06-06,06-10,1.807663530003052,2.363395540091729,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-16
0,2016,06-02,06-03,2.251263116638182,2.7228824208298072,W,90%,Low,High,pos_change,16_Jun_m1,06-02,06-03
0,2016,06-27,07-01,1.8487422131068196,5.216646674494468,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-15
0,2016,06-30,07-01,3.2628743503057764,5.878531258775679,W,90%,Low,High,pos_change,16_Jul_m1,06-30,07-01
0,2016,07-28,08-02,1.5325719070084014,3.187777992071788,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-07
0,2016,07-28,07-29,2.1194564063680312,2.707425244628742,W,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-26,09-02,1.571765311306828,1.8288741254808103,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-09
0,2016,08-31,09-01,3.765331002862796,0.9969611282793978,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-21,10-18,2.983609218438484,14.820047388358995,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-20
0,2016,10-27,11-08,1.631062002571634,3.036688268594397,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-16
0,2016,10-28,10-31,2.1739112265517573,2.022756070344231,L,90%,Low,High,pos_change,16_Nov_m1,10-28,10-31
0,2016,12-06,12-09,1.6666662498396256,4.04858307932048,W,100%,Low,High,pos_change,16_Dec_m1,12-06,12-11
0,2017,01-04,01-05,2.2740893522000696,1.414243367684246,L,100%,Low,High,pos_change,17_Jan_m1,01-01,01-20
0,2017,01-03,01-04,2.71203860211163,1.218272902657256,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,02-08,02-16,1.6691198154946518,2.6235421243744885,W,100%,Low,High,pos_change,17_Feb_m1,02-08,02-17
0,2017,01-27,01-30,2.318320989381069,0.8253796519110925,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-21,03-01,1.6242862126589297,5.119794958827248,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-04
0,2017,02-22,02-23,2.459010992278324,1.7228525706631013,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,03-27,04-18,2.8783179755335957,2.4475512483224957,L,100%,Low,High,pos_change,17_Apr_m1,03-24,04-19
0,2017,03-20,03-21,3.231340838905134,0.6614415967227619,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-21
0,2017,04-26,04-27,1.728308773071312,1.1618919913714758,L,100%,Low,High,pos_change,17_May_m1,04-25,05-13
0,2017,06-07,06-08,1.807663530003052,1.1749656872135446,L,100%,Low,High,pos_change,17_Jun_m1,06-04,06-16
0,2017,05-23,05-25,2.0656118115396627,2.3928474273512297,W,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,06-27,06-29,1.8487422131068196,1.8918939538904136,W,100%,Low,High,pos_change,17_Jul_m1,06-24,07-15
0,2017,07-27,08-03,1.5325719070084014,2.5230107553180154,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-07
0,2017,07-27,07-28,2.1194564063680312,1.9887266576241691,L,90%,Low,High,pos_change,17_Aug_m1,07-27,07-30
0,2017,08-29,09-01,1.571765311306828,2.074940074167447,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-03
0,2017,08-31,09-01,3.019018323382755,2.138204576761886,L,90%,Low,High,pos_change,17_Sep_m1,08-31,09-01
0,2017,09-22,10-13,2.983609218438484,5.407055568044608,W,100%,Low,High,pos_change,17_Oct_m1,09-21,10-20
0,2017,09-25,09-26,3.874869643482792,1.848486698035038,L,90%,Low,High,pos_change,17_Oct_m1,09-24,09-27
0,2017,10-27,11-17,1.631062002571634,8.538786217404034,W,100%,Low,High,pos_change,17_Nov_m1,10-27,11-17
0,2017,12-06,12-07,1.6666662498396256,1.6544633252593908,L,100%,Low,High,pos_change,17_Dec_m1,12-06,12-11
0,2018,01-09,01-17,1.641472735500647,1.4335914573897195,L,100%,Low,High,pos_change,18_Jan_m1,01-06,01-18
0,2018,01-02,01-03,2.2740893522000696,0.9134877523829046,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,02-06,02-07,1.5396210619476518,5.4964024385959975,W,100%,Low,High,pos_change,18_Feb_m1,02-03,02-15
0,2018,01-29,01-30,2.318320989381069,0.6019354821963152,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-22,03-02,1.6242862126589297,3.4473081045851424,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-04
0,2018,02-22,02-23,2.459010992278324,1.8217531399085116,L,90%,Low,High,pos_change,18_Mar_m1,02-22,02-23
0,2018,03-26,04-17,2.5243743529149065,5.372126689356323,W,100%,Low,High,pos_change,18_Apr_m1,03-25,04-19
0,2018,05-09,05-11,1.3991758174424642,2.3579878759679587,W,100%,Low,High,pos_change,18_May_m1,05-09,05-16
0,2018,05-24,05-30,1.3024217857740474,3.409710870711418,W,100%,Low,High,pos_change,18_Jun_m1,05-23,06-02
0,2018,05-24,05-25,2.0656118115396627,2.864155050275234,W,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-27,07-10,1.8487422131068196,4.299860037834029,W,100%,Low,High,pos_change,18_Jul_m1,06-24,07-15
0,2018,06-28,06-29,2.5694801186374607,2.817307045140223,W,90%,Low,High,pos_change,18_Jul_m1,06-26,06-29
0,2018,07-26,08-03,1.5325719070084014,3.559691185009786,W,100%,Low,High,pos_change,18_Aug_m1,07-26,08-07
0,2018,07-27,07-30,2.1194564063680312,0.0,L,90%,Low,High,pos_change,18_Aug_m1,07-27,07-30
0,2018,08-28,08-29,1.571765311306828,2.2099425972376325,W,100%,Low,High,pos_change,18_Sep_m1,08-26,09-03
0,2018,09-27,10-10,2.929690772362055,11.212676232157689,W,100%,Low,High,pos_change,18_Oct_m1,09-24,10-19
0,2018,09-25,09-26,3.8690535047999255,1.1934507902977307,L,90%,Low,High,pos_change,18_Oct_m1,09-25,09-26
0,2018,10-26,10-30,1.6864017256326411,4.79178619329895,W,100%,Low,High,pos_change,18_Nov_m1,10-24,11-05
0,2018,12-10,12-11,2.4036248614327937,3.727124351644261,W,100%,Low,High,pos_change,18_Dec_m1,12-09,12-20
0,2018,11-27,11-28,3.627365334270336,1.590762007758613,L,90%,Low,High,pos_change,18_Dec_m1,11-27,11-28
0,2019,01-07,01-08,1.4335914573897195,3.4450641847691634,W,100%,Low,High,pos_change,19_Jan_m1,01-06,01-18
0,2019,01-03,01-04,2.2740893522000696,5.941064380265832,W,90%,Low,High,pos_change,19_Jan_m1,01-03,01-05
0,2019,02-04,02-15,1.5396210619476518,15.52210348792696,W,100%,Low,High,pos_change,19_Feb_m1,02-03,02-15
0,2019,02-04,02-05,2.019352241648749,4.515517752292833,W,90%,Low,High,pos_change,19_Feb_m1,02-03,02-06
0,2019,02-22,02-26,1.6242862126589297,3.708553135428992,W,100%,Low,High,pos_change,19_Mar_m1,02-19,03-04
0,2019,02-21,02-22,2.049181184150997,0.0,L,90%,Low,High,pos_change,19_Mar_m1,02-21,02-23
0,2019,03-25,04-18,2.5243743529149065,16.129032024564044,W,100%,Low,High,pos_change,19_Apr_m1,03-25,04-19
0,2019,05-07,05-08,1.011448153318949,2.4440654405095645,W,100%,Low,High,pos_change,19_May_m1,05-05,05-16
0,2019,06-13,06-14,1.7784989489872969,2.0318268207573524,W,100%,Low,High,pos_change,19_Jun_m1,06-13,06-19
0,2019,05-21,05-22,2.736212110193722,0.8095724867005903,L,90%,Low,High,pos_change,19_Jun_m1,05-21,05-22
0,2019,06-27,07-09,1.8487422131068196,13.727057491492472,W,100%,Low,High,pos_change,19_Jul_m1,06-24,07-15
0,2019,06-27,06-28,2.5694801186374607,6.943335228250498,W,90%,Low,High,pos_change,19_Jul_m1,06-26,06-29
0,2019,07-26,08-01,1.5325719070084014,3.93258727961852,W,100%,Low,High,pos_change,19_Aug_m1,07-26,08-07
0,2019,07-29,07-30,2.1194564063680312,1.9867538662035844,L,90%,Low,High,pos_change,19_Aug_m1,07-27,07-30
0,2019,08-27,08-30,1.571765311306828,5.563638860529119,W,100%,Low,High,pos_change,19_Sep_m1,08-26,09-03
0,2019,09-24,09-26,2.2984652541277613,10.828693191874295,W,100%,Low,High,pos_change,19_Oct_m1,09-24,10-06
0,2019,09-25,09-26,3.702246430687544,7.3162511377534,W,90%,Low,High,pos_change,19_Oct_m1,09-25,09-26
0,2019,10-24,11-06,2.106912185567092,5.611672374441442,W,100%,Low,High,pos_change,19_Nov_m1,10-21,11-10
0,2019,10-22,10-23,2.368136722335697,1.991881209963972,L,90%,Low,High,pos_change,19_Nov_m1,10-21,10-24
0,2019,12-12,12-20,2.4036248614327937,24.849123442289635,W,100%,Low,High,pos_change,19_Dec_m1,12-09,12-20
0,2019,12-05,12-06,2.912090731220019,1.7421602324333527,L,90%,Open,High,pos_change,19_Dec_m1,12-05,12-06
0,2020,01-08,01-09,1.4215325780135797,1.9158310534806413,W,100%,Low,High,pos_change,20_Jan_m1,01-08,01-16
0,2020,01-02,01-03,2.2740893522000696,1.8274433518045583,L,90%,Low,High,pos_change,20_Jan_m1,01-01,01-03
0,2020,02-10,02-12,1.6691198154946518,4.427576158673547,W,100%,Low,High,pos_change,20_Feb_m1,02-08,02-17
0,2020,02-11,02-12,2.224897675340249,2.6422205073014045,W,90%,Low,High,pos_change,20_Feb_m1,02-11,02-12
0,2020,03-09,03-18,1.8775342606374787,22.79892446364161,W,100%,Low,High,pos_change,20_Mar_m1,03-07,03-19
0,2020,03-09,03-10,2.2411957386533365,8.53517606235688,W,90%,Low,High,pos_change,20_Mar_m1,03-07,03-10
0,2020,03-26,04-06,1.609494087372536,24.90241589296335,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-06
0,2020,04-27,04-28,0.9778367807774492,3.473445708426395,W,100%,Low,High,pos_change,20_May_m1,04-25,05-12
0,2020,04-28,04-29,2.2940554025573805,0.0578884463251104,L,90%,Low,Open,pos_change,20_May_m1,04-28,04-29
0,2020,06-15,06-19,1.7784989489872969,9.792187281455892,W,100%,Low,High,pos_change,20_Jun_m1,06-13,06-19
0,2020,05-21,05-22,2.736212110193722,3.31648528781144,W,90%,Low,High,pos_change,20_Jun_m1,05-21,05-22
0,2020,06-26,07-15,1.8487422131068196,13.842842443410644,W,100%,Low,High,pos_change,20_Jul_m1,06-24,07-15
0,2020,06-26,06-29,2.5694801186374607,4.08225273667631,W,90%,Low,High,pos_change,20_Jul_m1,06-26,06-29
0,2020,07-27,08-04,1.5325719070084014,4.501782530634333,W,100%,Low,High,pos_change,20_Aug_m1,07-26,08-07
0,2020,07-30,07-31,3.0578449871786315,1.778975403118921,L,90%,Low,High,pos_change,20_Aug_m1,07-30,07-31
0,2020,08-28,09-03,1.571765311306828,2.624596584652701,W,100%,Low,High,pos_change,20_Sep_m1,08-26,09-03
0,2020,08-31,09-01,3.019018323382755,1.1309844818478303,L,90%,Low,High,pos_change,20_Sep_m1,08-31,09-01
0,2020,09-24,10-06,2.2984652541277613,10.549774371719955,W,100%,Low,High,pos_change,20_Oct_m1,09-24,10-06
0,2020,09-24,09-25,3.702246430687544,4.606238237072598,W,90%,Low,High,pos_change,20_Oct_m1,09-24,09-27
0,2020,10-22,10-26,2.106912185567092,3.4997311290468804,W,100%,Low,High,pos_change,20_Nov_m1,10-21,11-10
0,2020,10-22,10-23,2.368136722335697,3.174167524611317,W,90%,Low,High,pos_change,20_Nov_m1,10-21,10-24
