,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.358487615512366,3.176610515370868,W,100%,Close,High,pos_change,16_Jan_m1,01-01,01-14
0,2016,01-25,01-27,4.750306453547905,3.1234552830825617,L,100%,Low,High,pos_change,16_Feb_m1,01-22,02-14
0,2016,02-25,03-14,2.13890741791296,3.5285434409502923,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-15
0,2016,02-22,02-23,3.810457805617221,1.125963456502775,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,04-07,2.511359011175028,5.112300451420853,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-08
0,2016,03-23,03-24,3.381574121496385,1.3575200428142458,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-29,05-03,3.141590116437192,4.311465093925581,W,100%,Low,High,pos_change,16_May_m1,04-28,05-18
0,2016,04-28,04-29,3.468210450462846,2.419044484947496,L,90%,Low,High,pos_change,16_May_m1,04-27,04-30
0,2016,05-26,06-03,1.352775503370328,4.698947992395771,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-03
0,2016,05-26,05-27,3.436819760035485,2.5654437766061395,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,07-07,07-14,1.7973105475800462,6.02439990516589,W,100%,Low,High,pos_change,16_Jul_m1,07-07,07-14
0,2016,06-29,06-30,3.308823529411765,3.276516907842481,L,90%,Low,High,pos_change,16_Jul_m1,06-29,06-30
0,2016,07-21,08-02,2.714597846954685,3.950407357010517,W,100%,Low,High,pos_change,16_Aug_m1,07-20,08-08
0,2016,07-20,07-21,3.0937630245083856,1.1868758151334036,L,90%,Low,High,pos_change,16_Aug_m1,07-20,07-23
0,2016,08-26,09-07,1.704347029976223,3.440831654353177,W,100%,Low,Close,pos_change,16_Sep_m1,08-23,09-16
0,2016,08-31,09-01,4.330319201993956,1.226142350169822,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,09-27,09-28,1.947560635318797,2.297043126789042,W,100%,Low,High,pos_change,16_Oct_m1,09-27,10-08
0,2016,10-28,11-10,1.5822715227944966,13.768579086738775,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-11
0,2016,10-27,10-28,4.464678526456449,0.0,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,11-29,12-09,2.370134223188881,4.045994286402522,W,100%,Low,High,pos_change,16_Dec_m1,11-28,12-10
0,2016,11-22,11-23,2.9325553498471586,1.7736169920646594,L,90%,Close,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-03,01-10,2.413788588159598,5.660639232892516,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-14
0,2017,01-26,02-07,3.0441401718413785,10.023473844596513,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-13
0,2017,01-30,02-01,4.329894513553781,4.5486045646018525,W,90%,Low,High,pos_change,17_Feb_m1,01-29,02-01
0,2017,02-28,03-14,2.13890741791296,4.416282811487696,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-15
0,2017,02-22,02-23,3.810457805617221,1.2118161175411637,L,90%,Low,High,pos_change,17_Mar_m1,02-22,02-23
0,2017,03-24,04-07,2.511359011175028,2.437215360727921,L,100%,Low,High,pos_change,17_Apr_m1,03-23,04-08
0,2017,03-23,03-24,3.381574121496385,0.7533661864334913,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-26
0,2017,05-01,05-04,3.141590116437192,3.8959273303910975,W,100%,Low,High,pos_change,17_May_m1,04-28,05-18
0,2017,04-27,04-28,3.468210450462846,1.0629439772440994,L,90%,Low,High,pos_change,17_May_m1,04-27,04-30
0,2017,05-24,06-01,1.352775503370328,3.4738414330481104,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-01
0,2017,06-26,06-27,3.203002884001497,1.3493059945102996,L,100%,Low,High,pos_change,17_Jul_m1,06-26,07-21
0,2017,06-29,06-30,4.353980680482578,0.9366124001444044,L,90%,Low,High,pos_change,17_Jul_m1,06-28,07-01
0,2017,08-03,08-08,1.713610722367375,2.7220848243944107,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-18
0,2017,07-31,08-01,2.379879267329896,0.9062721349000262,L,90%,Low,High,pos_change,17_Aug_m1,07-29,08-01
0,2017,08-23,09-01,0.8869536026664402,4.895320735827865,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-02
0,2017,08-30,09-01,2.9831887146297857,2.9149680287918907,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,09-29,10-02,1.947560635318797,2.733963802264705,W,100%,Low,High,pos_change,17_Oct_m1,09-27,10-08
0,2017,09-28,09-29,3.106561868637633,1.0010431284780683,L,90%,Low,High,pos_change,17_Oct_m1,09-28,10-01
0,2017,10-31,11-02,1.5822715227944966,3.657935855886026,W,100%,Low,High,pos_change,17_Nov_m1,10-28,11-11
0,2017,11-28,12-05,2.370134223188881,10.54053779120918,W,100%,Low,High,pos_change,17_Dec_m1,11-28,12-10
0,2017,11-21,11-22,4.827483953539901,5.014587878096911,W,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-02,01-12,2.413788588159598,16.06620883282581,W,100%,Low,High,pos_change,18_Jan_m1,01-01,01-14
0,2018,01-23,01-29,3.0441401718413785,4.381976462103503,W,100%,Low,High,pos_change,18_Feb_m1,01-23,02-13
0,2018,01-22,01-23,5.721390116362929,2.6520463081599672,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-23
0,2018,02-26,03-13,2.13890741791296,5.854297533813116,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-15
0,2018,02-20,02-22,3.810457805617221,2.6947343586747703,L,90%,Low,High,pos_change,18_Mar_m1,02-19,02-22
0,2018,03-23,04-02,2.437215360727921,4.695374882483462,W,100%,Low,High,pos_change,18_Apr_m1,03-22,04-08
0,2018,05-01,05-02,3.141590116437192,5.963957771282404,W,100%,Low,High,pos_change,18_May_m1,04-28,05-18
0,2018,04-30,05-01,3.468210450462846,0.0,L,90%,Low,High,pos_change,18_May_m1,04-28,05-01
0,2018,05-24,06-01,1.352775503370328,3.852139072874223,W,100%,Low,High,pos_change,18_Jun_m1,05-24,06-01
0,2018,07-06,07-13,2.205739547580108,4.218813310382521,W,100%,Low,High,pos_change,18_Jul_m1,07-05,07-17
0,2018,06-28,06-29,3.203002884001497,3.3554324514123866,W,90%,Low,High,pos_change,18_Jul_m1,06-26,06-29
0,2018,07-27,07-31,1.9512216388556185,4.062886274122528,W,100%,Low,High,pos_change,18_Aug_m1,07-24,08-01
0,2018,07-23,07-24,2.768666363599869,2.8559624934415155,W,90%,Open,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,09-11,09-20,1.7328753798044365,6.980329520401495,W,100%,Low,High,pos_change,18_Sep_m1,09-08,09-21
0,2018,09-28,10-08,1.947560635318797,2.2646436038957747,W,100%,Low,High,pos_change,18_Oct_m1,09-27,10-08
0,2018,10-29,11-09,1.5822715227944966,14.112903659971412,W,100%,Low,High,pos_change,18_Nov_m1,10-28,11-11
0,2018,11-23,12-03,2.86010287501814,8.172249679930472,W,100%,Low,High,pos_change,18_Dec_m1,11-20,12-17
0,2018,11-20,11-21,5.234549379237689,2.00343300919203,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-22
0,2019,01-03,01-10,2.413788588159598,9.630308649229791,W,100%,Low,High,pos_change,19_Jan_m1,01-01,01-14
0,2019,01-23,02-13,3.0441401718413785,14.597173591300653,W,100%,Low,High,pos_change,19_Feb_m1,01-23,02-13
0,2019,01-22,01-23,5.594403633271685,1.614569979557298,L,90%,Low,High,pos_change,19_Feb_m1,01-22,01-23
0,2019,02-27,03-01,2.13890741791296,3.7953213198218902,W,100%,Low,High,pos_change,19_Mar_m1,02-25,03-15
0,2019,02-19,02-20,3.810457805617221,2.466897485946408,L,90%,Low,High,pos_change,19_Mar_m1,02-19,02-22
0,2019,03-25,04-01,2.437215360727921,4.326610890373775,W,100%,Low,High,pos_change,19_Apr_m1,03-22,04-08
0,2019,03-25,03-26,3.683760848213967,2.926823348373677,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,04-29,05-08,2.534236803537022,6.222128468213138,W,100%,Low,High,pos_change,19_May_m1,04-29,05-08
0,2019,04-29,04-30,3.468210450462846,3.5463966097556607,W,90%,Low,High,pos_change,19_May_m1,04-28,05-01
0,2019,06-14,06-20,1.6299676148903437,3.877557728654778,W,100%,Low,High,pos_change,19_Jun_m1,06-13,06-20
0,2019,07-08,07-11,2.205739547580108,7.926570289670648,W,100%,Low,High,pos_change,19_Jul_m1,07-05,07-17
0,2019,06-26,06-28,3.203002884001497,4.450837750940307,W,90%,Low,High,pos_change,19_Jul_m1,06-26,06-29
0,2019,07-24,08-01,1.9512216388556185,7.441757483959892,W,100%,Low,High,pos_change,19_Aug_m1,07-24,08-01
0,2019,07-22,07-23,2.783667185719435,0.7434148132285007,L,90%,Low,High,pos_change,19_Aug_m1,07-22,07-23
0,2019,08-23,09-12,1.704347029976223,15.605169233152596,W,100%,Low,Close,pos_change,19_Sep_m1,08-23,09-16
0,2019,09-27,10-01,1.947560635318797,3.176967623225698,W,100%,Low,High,pos_change,19_Oct_m1,09-27,10-08
0,2019,09-30,10-01,2.767684546121312,3.0451455133196785,W,90%,Low,High,pos_change,19_Oct_m1,09-30,10-01
0,2019,10-31,11-07,1.5822715227944966,11.595676914807788,W,100%,Low,High,pos_change,19_Nov_m1,10-28,11-11
0,2019,11-21,11-25,3.2514696018385143,2.9712013306242446,L,100%,Low,High,pos_change,19_Dec_m1,11-18,12-17
0,2019,11-18,11-19,5.234549379237689,1.0034000086259591,L,90%,Low,High,pos_change,19_Dec_m1,11-18,11-21
0,2020,01-03,01-14,2.413788588159598,6.756206219090006,W,100%,Low,High,pos_change,20_Jan_m1,01-01,01-14
0,2020,01-21,02-12,5.179121814486634,13.439249769549502,W,100%,Low,High,pos_change,20_Feb_m1,01-20,02-14
0,2020,01-21,01-22,5.992758114038569,3.719629305545415,L,90%,Low,High,pos_change,20_Feb_m1,01-20,01-23
0,2020,02-28,03-04,2.13890741791296,13.336023944797656,W,100%,Low,High,pos_change,20_Mar_m1,02-25,03-15
0,2020,02-28,03-02,2.9649022062789068,9.15336153901948,W,90%,Low,High,pos_change,20_Mar_m1,02-28,03-02
0,2020,03-23,04-07,2.437215360727921,30.012807809686752,W,100%,Low,High,pos_change,20_Apr_m1,03-23,04-08
0,2020,03-25,03-26,3.683760848213967,8.919622791674225,W,90%,Low,High,pos_change,20_Apr_m1,03-25,03-26
0,2020,04-21,04-27,2.566681214252911,10.474799523838085,W,100%,Low,High,pos_change,20_May_m1,04-20,05-04
0,2020,04-28,04-29,3.468210450462846,1.8185379669050763,L,90%,Low,High,pos_change,20_May_m1,04-28,05-01
0,2020,05-20,06-08,2.341228271521299,16.496861320360573,W,100%,Low,High,pos_change,20_Jun_m1,05-20,06-17
0,2020,05-26,05-27,3.860697343608994,2.4980957429388635,L,90%,Low,High,pos_change,20_Jun_m1,05-26,05-27
0,2020,07-10,07-15,2.78166577472424,8.352329076262953,W,100%,Low,High,pos_change,20_Jul_m1,07-08,07-15
0,2020,06-26,06-29,3.203002884001497,3.0537396514139794,L,90%,Low,High,pos_change,20_Jul_m1,06-26,06-29
0,2020,07-20,08-05,2.714597846954685,12.281037141510524,W,100%,Low,High,pos_change,20_Aug_m1,07-20,08-08
0,2020,08-05,08-06,3.018427448240097,0.0,L,90%,Low,High,pos_change,20_Aug_m1,08-05,08-06
0,2020,09-08,09-09,1.1330393782338104,2.4989783456153254,W,100%,Low,High,pos_change,20_Sep_m1,09-08,09-18
0,2020,09-01,09-02,3.492027381316132,5.579574019971515,W,90%,Low,High,pos_change,20_Sep_m1,09-01,09-02
0,2020,09-30,10-08,1.947560635318797,5.157529956363123,W,100%,Low,High,pos_change,20_Oct_m1,09-27,10-08
0,2020,09-30,10-01,2.767684546121312,1.855849390418129,L,90%,Low,High,pos_change,20_Oct_m1,09-30,10-01
0,2020,10-29,11-16,2.026130143960434,31.767589135008016,W,100%,Low,High,pos_change,20_Nov_m1,10-27,11-20
0,2020,10-27,10-28,3.987488986142956,0.0,L,90%,Low,High,pos_change,20_Nov_m1,10-27,10-28
0,2020,11-27,12-04,2.01933856855526,6.543278912270025,W,100%,Low,High,pos_change,20_Dec_m1,11-27,12-10
0,2020,11-24,11-25,3.421456988845422,3.301525747822601,L,90%,Low,High,pos_change,20_Dec_m1,11-24,11-25
