,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.0456764164585854,4.138772322247417,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-14
0,2016,01-04,01-05,1.903446297427448,4.138772322247417,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-05
0,2016,01-27,02-03,3.433882620256344,10.685693504140067,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-03
0,2016,01-25,01-27,5.864202424483513,3.687675086585243,L,90%,Low,High,pos_change,16_Feb_m1,01-24,01-27
0,2016,03-03,03-18,2.3758633779294045,10.880534829467251,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-18
0,2016,03-01,03-04,2.6123939207097298,9.83071444400586,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-04
0,2016,04-01,04-15,2.4156719633897783,6.843445474298636,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-15
0,2016,03-29,03-30,4.454960215893868,4.124541660462235,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-22,04-28,3.127842814394329,2.55181515359889,L,100%,Low,High,pos_change,16_May_m1,04-21,05-04
0,2016,04-21,04-22,6.320751837964328,1.266143794421048,L,90%,Low,High,pos_change,16_May_m1,04-21,04-24
0,2016,06-01,06-08,1.7268613778131132,10.42514473851686,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-10
0,2016,05-31,06-01,2.490421455938697,0.7505224995572937,L,90%,Low,High,pos_change,16_Jun_m1,05-29,06-01
0,2016,06-28,07-14,1.580081015511306,13.2708678230642,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-15
0,2016,06-23,06-24,3.887853889821845,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-26,08-17,3.8092472374965407,7.607322397350777,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-18
0,2016,07-26,07-27,5.439330543933055,7.048518163995943,W,90%,Low,High,pos_change,16_Aug_m1,07-26,07-27
0,2016,08-22,08-23,2.9941828552597025,2.0240967532238328,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-11
0,2016,08-30,08-31,4.272245186952048,0.0364460942615383,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,10-12,10-14,2.2468740584635998,1.6088273728868914,L,100%,Low,High,pos_change,16_Oct_m1,10-09,10-21
0,2016,09-27,09-28,4.982456408048932,6.109961558761847,W,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-01,11-14,2.620770638847512,16.96264325204127,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-18
0,2016,10-26,10-27,4.265402843601896,1.7615819653184723,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-29,12-08,1.9261637239165328,4.026491918243983,W,100%,Low,High,pos_change,16_Dec_m1,11-29,12-12
0,2016,11-21,11-23,3.951002332125346,3.923258716899957,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-06,01-11,1.0456764164585854,2.5321894223126056,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-14
0,2017,01-09,01-11,2.4999991945318376,2.7657300826043345,W,90%,Low,High,pos_change,17_Jan_m1,01-09,01-12
0,2017,01-24,01-27,3.433882620256344,4.915607471205073,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-03
0,2017,01-24,01-25,5.753517404447508,3.9978830845222606,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,03-02,03-07,1.5422161677650834,3.651451047784468,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-16
0,2017,03-31,04-10,2.4156719633897783,6.379051250513525,W,100%,Low,High,pos_change,17_Apr_m1,03-30,04-15
0,2017,05-08,05-11,2.2396415807968237,3.011922027497281,W,100%,Low,High,pos_change,17_May_m1,05-05,05-12
0,2017,04-24,04-25,4.065934065934066,9.488513620380134,W,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-31,06-05,1.7268613778131132,3.445945702128549,W,100%,Low,High,pos_change,17_Jun_m1,05-29,06-06
0,2017,05-25,05-26,2.0202020202020203,1.4102084140717832,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-28
0,2017,07-11,07-12,2.1252796420581657,2.7557186960713005,W,100%,Low,High,pos_change,17_Jul_m1,07-11,07-21
0,2017,06-22,06-23,4.168223443432389,0.7536948452966797,L,90%,Low,High,pos_change,17_Jul_m1,06-22,06-25
0,2017,07-26,08-09,3.8092472374965407,2.1047021709229936,L,100%,Low,High,pos_change,17_Aug_m1,07-26,08-18
0,2017,07-26,07-27,5.345501955671447,1.158469700549643,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-24,09-06,1.856493026713786,4.196173684211228,W,100%,Low,High,pos_change,17_Sep_m1,08-23,09-09
0,2017,08-30,08-31,4.2075206683489785,2.5457409799426847,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,10-02,10-13,2.047705199191126,6.018561434077537,W,100%,Low,High,pos_change,17_Oct_m1,10-02,10-15
0,2017,09-27,09-28,4.982456408048932,0.7559936215952737,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-31,11-07,2.016905926804623,2.827947892840106,W,100%,Low,High,pos_change,17_Nov_m1,10-29,11-15
0,2017,11-20,12-04,3.748570576027957,6.561469681766055,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-05
0,2017,11-20,11-21,4.979524474420394,1.2844036697247707,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-03,01-12,1.0456764164585854,9.826257961523892,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-14
0,2018,01-03,01-05,2.5211013603304826,4.279285338777533,W,90%,Low,High,pos_change,18_Jan_m1,01-02,01-05
0,2018,01-25,01-26,3.433882620256344,4.025602004099003,W,100%,Low,High,pos_change,18_Feb_m1,01-24,02-03
0,2018,01-30,01-31,4.975355319215224,3.741940941677644,L,90%,Low,High,pos_change,18_Feb_m1,01-30,02-02
0,2018,03-02,03-12,1.5026835950961692,9.241735685679409,W,100%,Low,High,pos_change,18_Mar_m1,02-28,03-15
0,2018,02-20,02-23,2.859670946242883,5.321832649060028,W,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,04-02,04-05,2.4156719633897783,5.022580877451446,W,100%,Low,High,pos_change,18_Apr_m1,03-30,04-09
0,2018,03-26,03-27,6.557374715435679,4.034146242567696,L,90%,Low,High,pos_change,18_Apr_m1,03-26,03-27
0,2018,05-07,05-11,2.2396415807968237,5.905409117002745,W,100%,Low,High,pos_change,18_May_m1,05-05,05-12
0,2018,04-23,04-24,4.065934065934066,5.861488932213593,W,90%,Low,High,pos_change,18_May_m1,04-23,04-24
0,2018,05-31,06-06,1.7268613778131132,3.326728241671823,W,100%,Low,High,pos_change,18_Jun_m1,05-29,06-06
0,2018,07-11,07-18,2.3109243697478994,4.166669474895,W,100%,Low,High,pos_change,18_Jul_m1,07-11,07-20
0,2018,06-22,06-25,4.168223443432389,0.0,L,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,07-25,07-30,3.0858648068596306,7.338844599162313,W,100%,Low,High,pos_change,18_Aug_m1,07-25,08-08
0,2018,08-03,08-06,4.042672347136164,2.6263884528811023,L,90%,Low,High,pos_change,18_Aug_m1,08-03,08-06
0,2018,08-23,08-28,1.856493026713786,5.387777600182362,W,100%,Low,High,pos_change,18_Sep_m1,08-23,09-09
0,2018,08-30,08-31,4.2075206683489785,1.2784429840923952,L,90%,Low,High,pos_change,18_Sep_m1,08-30,09-01
0,2018,10-02,10-03,2.047705199191126,5.194716248968647,W,100%,Low,High,pos_change,18_Oct_m1,10-02,10-15
0,2018,09-27,09-28,4.982456408048932,1.1309568441674942,L,90%,Low,High,pos_change,18_Oct_m1,09-27,09-28
0,2018,10-29,11-07,2.016905926804623,20.667503272074864,W,100%,Low,High,pos_change,18_Nov_m1,10-29,11-15
0,2018,10-23,10-24,6.040687388564906,5.206708614478363,L,90%,Low,High,pos_change,18_Nov_m1,10-23,10-24
0,2018,11-20,12-03,4.956785043856234,17.470922806804012,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-15
0,2018,11-19,11-20,5.702480599899923,0.0,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-03,01-10,1.0456764164585854,10.52805747156144,W,100%,Low,High,pos_change,19_Jan_m1,01-03,01-14
0,2019,01-03,01-04,2.5211013603304826,6.7668496606427135,W,90%,Low,High,pos_change,19_Jan_m1,01-02,01-05
0,2019,01-24,01-25,3.433882620256344,4.336892205608001,W,100%,Low,High,pos_change,19_Feb_m1,01-24,02-03
0,2019,01-25,01-28,4.023254749386809,0.0,L,90%,Low,High,pos_change,19_Feb_m1,01-25,01-28
0,2019,03-01,03-04,1.4758442320618812,2.066599810574405,W,100%,Low,High,pos_change,19_Mar_m1,03-01,03-14
