,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-11,2.687412342393352,1.7689914918553131,L,100%,Low,High,pos_change,16_Jan_m1,01-07,01-14
0,2016,02-05,02-18,4.140131083447536,5.979902295824795,W,100%,Low,High,pos_change,16_Feb_m1,02-04,02-18
0,2016,02-03,02-04,5.008939630199572,13.020565683227488,W,90%,Low,High,pos_change,16_Feb_m1,02-02,02-05
0,2016,02-25,03-17,3.1798241830268346,9.750352046433294,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-18
0,2016,02-29,03-01,4.739336407207897,2.71028006563062,L,90%,Low,High,pos_change,16_Mar_m1,02-28,03-01
0,2016,03-21,03-30,2.9486131831857336,4.949186393144603,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-09
0,2016,03-29,03-30,4.236344516484478,4.0753738720983135,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,05-02,05-03,2.2277229405562102,1.5138341756768674,L,100%,Low,High,pos_change,16_May_m1,04-30,05-08
0,2016,04-20,04-22,5.957842175027824,1.7971761284186694,L,90%,Low,High,pos_change,16_May_m1,04-19,04-22
0,2016,06-03,06-07,3.2344982297902662,3.4511098903940627,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-10
0,2016,05-24,05-25,4.632766437734553,4.083299344001349,L,90%,Low,Open,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-24,06-30,1.6093655142718373,2.6537534717320725,W,100%,Low,High,pos_change,16_Jul_m1,06-21,06-30
0,2016,06-20,06-21,2.3809462537933155,1.0237510205525795,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-22
0,2016,07-28,08-19,4.368650446326453,4.123280973264152,L,100%,Low,High,pos_change,16_Aug_m1,07-25,08-19
0,2016,07-21,07-22,5.508145998729668,1.357109196186072,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-22
0,2016,08-29,09-07,3.4440311073777443,3.310990214632724,L,100%,Low,High,pos_change,16_Sep_m1,08-27,09-13
0,2016,08-29,08-30,4.792332385184008,1.0642433641448692,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,09-22,10-10,2.8951478348197246,6.825527134229505,W,100%,Low,High,pos_change,16_Oct_m1,09-22,10-11
0,2016,09-29,09-30,6.683483244404904,1.9062729802178109,L,90%,Low,High,pos_change,16_Oct_m1,09-29,09-30
0,2016,10-25,10-27,3.476619184696457,3.961583754243736,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-09
0,2016,10-27,10-28,5.5632141814834775,1.5816512615651388,L,90%,Close,High,pos_change,16_Nov_m1,10-27,10-30
0,2016,11-25,11-30,3.3884973947555728,0.9056595136534492,L,100%,Low,High,pos_change,16_Dec_m1,11-24,12-10
0,2016,11-22,11-23,5.0903109197429055,0.3373319023929361,L,90%,Low,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-12,01-13,2.8342978427416026,2.5440373592499843,L,100%,Low,High,pos_change,17_Jan_m1,01-10,01-16
0,2017,01-03,01-04,4.305950398344097,1.9809825853173904,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-26,02-10,3.436623156910211,14.687738579419417,W,100%,Low,High,pos_change,17_Feb_m1,01-26,02-12
0,2017,01-26,01-27,4.965752641710448,1.1565120697151352,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-27
0,2017,02-21,02-28,3.2702247692202517,5.1683933185685005,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-08
0,2017,02-21,02-24,4.81245788866497,4.3347821084718525,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-24
0,2017,03-22,03-24,2.9486131831857336,5.502471351906698,W,100%,Low,High,pos_change,17_Apr_m1,03-20,04-05
0,2017,03-20,03-21,4.949186393144603,1.5457345488218062,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-21
0,2017,05-03,05-09,2.422142930860512,1.8751940769816025,L,100%,Low,High,pos_change,17_May_m1,04-30,05-10
0,2017,06-01,06-09,3.2344982297902662,2.8233925902773245,L,100%,Low,High,pos_change,17_Jun_m1,06-01,06-10
0,2017,05-23,05-25,3.579097998874569,4.683270772377104,W,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-14,07-19,2.361401450877449,2.9369065256060587,W,100%,Low,High,pos_change,17_Jul_m1,07-14,07-21
0,2017,07-25,07-27,3.650512530059861,6.381168766607484,W,100%,Low,High,pos_change,17_Aug_m1,07-25,08-11
0,2017,07-27,07-28,4.783883312204158,2.249656180139106,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-28,09-01,3.4440311073777443,5.588235474112793,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-13
0,2017,08-24,08-25,4.463925568247731,1.8643676646826324,L,90%,Low,High,pos_change,17_Sep_m1,08-24,08-27
0,2017,09-25,10-11,2.8951478348197246,8.503401088955304,W,100%,Low,High,pos_change,17_Oct_m1,09-22,10-11
0,2017,10-25,11-07,3.589424712788189,6.738350770951712,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-10
0,2017,10-27,10-30,5.5632141814834775,4.498187857287696,L,90%,Close,High,pos_change,17_Nov_m1,10-27,10-30
0,2017,12-01,12-08,3.043475421480001,2.7342793734803394,L,100%,Low,High,pos_change,17_Dec_m1,11-29,12-08
0,2017,11-20,11-22,5.5463114914947385,2.087074229161083,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-23
0,2018,01-10,01-19,2.622309574561956,2.6250886059091605,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-19
0,2018,01-03,01-04,3.882724053578361,4.470870635494103,W,90%,Low,High,pos_change,18_Jan_m1,01-03,01-04
0,2018,01-26,01-29,3.436623156910211,2.41773421832264,L,100%,Low,High,pos_change,18_Feb_m1,01-26,02-12
