,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.1110941569010415,2.068374373700896,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-09
0,2016,01-26,02-17,3.866713204135295,13.558041113905006,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-19
0,2016,03-02,03-17,1.3604655654633289,2.632166506534681,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-18
0,2016,02-22,02-23,3.5997436706429324,1.6618311431089197,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,04-15,2.449816972227136,4.283353943730683,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-15
0,2016,03-23,03-24,3.24344356814989,0.7222627292043262,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-22,05-19,2.554687781789685,19.011197982409517,W,100%,Low,High,pos_change,16_May_m1,04-20,05-20
0,2016,04-18,04-19,4.373645265306048,2.9543213619296305,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-13,1.5573814510498898,2.0439314735422767,W,100%,Low,High,pos_change,16_Jun_m1,06-05,06-16
0,2016,06-06,06-07,1.90719655159196,0.925364750861546,L,90%,Low,High,pos_change,16_Jun_m1,06-04,06-07
0,2016,06-27,07-05,2.332814819297265,7.120906440874107,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-14
0,2016,06-28,06-29,3.700557915615021,2.9774632181419487,L,90%,Low,High,pos_change,16_Jul_m1,06-28,06-29
0,2016,08-03,08-05,2.1388018647490585,4.84436687307658,W,100%,Low,High,pos_change,16_Aug_m1,07-31,08-10
0,2016,07-22,07-25,3.9358825714947,1.537843311188225,L,90%,Low,High,pos_change,16_Aug_m1,07-22,07-25
0,2016,09-02,09-06,1.5336629422054049,1.1835509942777245,L,100%,Low,High,pos_change,16_Sep_m1,09-02,09-12
0,2016,08-24,08-25,3.7190031930636462,1.6466789914712547,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-29,10-18,2.3068028547310937,2.5047410722953005,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,09-26,09-27,3.085268399405655,1.1330275225686246,L,90%,Low,High,pos_change,16_Oct_m1,09-26,09-27
0,2016,11-07,11-08,1.8838807604371373,4.545454545454546,W,100%,Low,High,pos_change,16_Nov_m1,11-06,11-15
0,2016,11-04,11-07,4.003888838035687,1.6685703822544644,L,90%,Low,High,pos_change,16_Nov_m1,11-04,11-07
0,2016,11-21,11-22,2.234654301419272,1.7520188034069393,L,100%,Low,High,pos_change,16_Dec_m1,11-21,12-11
0,2016,11-21,11-22,2.9203836415267985,1.7520188034069393,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-10,01-20,1.8430301597192813,5.093337440792627,W,100%,Low,High,pos_change,17_Jan_m1,01-07,01-20
0,2017,01-12,01-13,2.7577483632315163,1.433201041696336,L,90%,Low,High,pos_change,17_Jan_m1,01-11,01-14
0,2017,02-01,02-10,2.8508447400228905,7.673489397669811,W,100%,Low,High,pos_change,17_Feb_m1,01-29,02-11
0,2017,01-24,01-25,5.918608419405472,2.9346907325919087,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-25
0,2017,03-03,03-17,1.3249766506045932,1.6304375368665764,W,100%,Low,High,pos_change,17_Mar_m1,03-02,03-17
0,2017,02-21,02-22,3.4917036881922665,0.4847539620343994,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,03-24,04-18,2.559212192823654,1.8396361018201544,L,100%,Low,High,pos_change,17_Apr_m1,03-22,04-21
0,2017,03-23,03-24,3.24344356814989,0.61777873934975,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-26
0,2017,04-28,05-04,1.9621972546119173,3.9116341694509553,W,100%,Low,High,pos_change,17_May_m1,04-25,05-19
0,2017,05-01,05-02,4.116182140514227,0.4460689822879552,L,90%,Low,High,pos_change,17_May_m1,05-01,05-02
0,2017,06-05,06-15,1.5573814510498898,2.98850102642394,W,100%,Low,High,pos_change,17_Jun_m1,06-05,06-16
0,2017,06-05,06-06,1.8567946006849971,1.762448573752676,L,90%,Low,High,pos_change,17_Jun_m1,06-03,06-06
0,2017,06-27,06-28,2.332814819297265,0.7403177437151994,L,100%,Low,High,pos_change,17_Jul_m1,06-25,07-14
0,2017,06-26,06-27,4.082785959794368,0.5096271425001129,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-03,08-04,2.1388018647490585,1.7716565736133332,L,100%,Low,High,pos_change,17_Aug_m1,07-31,08-10
0,2017,07-31,08-01,3.500267254777821,0.3002436567147619,L,90%,Low,High,pos_change,17_Aug_m1,07-31,08-01
0,2017,08-24,09-01,1.505376072666669,1.8982201494741968,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-04
0,2017,08-29,08-30,2.916269638805052,0.5864528029384508,L,90%,Open,High,pos_change,17_Sep_m1,08-29,08-30
0,2017,09-29,10-02,1.6291771099686576,1.0598548369720275,L,100%,Low,High,pos_change,17_Oct_m1,09-29,10-17
0,2017,09-21,09-22,2.838244015739804,0.9295615871882908,L,90%,Low,High,pos_change,17_Oct_m1,09-21,09-22
0,2017,11-06,11-14,1.8838807604371373,6.364267665509398,W,100%,Low,High,pos_change,17_Nov_m1,11-06,11-15
0,2017,11-06,11-07,4.003888838035687,1.5505716219358603,L,90%,Low,High,pos_change,17_Nov_m1,11-04,11-07
0,2017,11-22,12-12,2.1118905343824568,9.497080052285504,W,100%,Low,High,pos_change,17_Dec_m1,11-22,12-14
0,2017,11-29,11-30,3.0769423761325525,3.8204113384687792,W,90%,Low,High,pos_change,17_Dec_m1,11-29,12-02
0,2018,01-03,01-08,1.764876967238567,3.888656748766196,W,100%,Low,High,pos_change,18_Jan_m1,01-01,01-15
0,2018,01-11,01-12,2.7577483632315163,0.5888343462484137,L,90%,Low,High,pos_change,18_Jan_m1,01-11,01-14
0,2018,01-30,01-31,2.8508447400228905,1.458502629461092,L,100%,Low,High,pos_change,18_Feb_m1,01-29,02-11
0,2018,01-24,01-25,5.015763916921162,1.142626795489955,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-25
0,2018,02-21,03-09,2.501015727132643,6.549860855849716,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-16
0,2018,04-13,04-18,1.915663331335307,3.8683150764218888,W,100%,Low,High,pos_change,18_Apr_m1,04-10,04-18
0,2018,04-25,05-10,1.5408676826763332,6.237606122282364,W,100%,Low,High,pos_change,18_May_m1,04-25,05-18
0,2018,05-01,05-02,3.981750022407584,2.1098880977421017,L,90%,Low,High,pos_change,18_May_m1,05-01,05-02
0,2018,06-06,06-13,1.331144311096213,7.5561313105774675,W,100%,Low,High,pos_change,18_Jun_m1,06-05,06-13
