,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.9409985742559152,1.6859903799147808,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-10
0,2016,01-07,01-08,1.3096562987342404,1.9989206460515925,W,90%,Low,High,pos_change,16_Jan_m1,01-06,01-08
0,2016,01-26,02-08,2.0512791608400294,12.463182061484323,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-08
0,2016,01-25,01-26,3.293622950861545,2.0144153396652653,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,02-29,03-14,1.777986352826724,4.9522364057824735,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-15
0,2016,02-24,02-25,3.3104981322426896,3.066497020583481,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,04-01,04-04,1.2195104437878987,1.304478861801183,W,100%,Low,High,pos_change,16_Apr_m1,04-01,04-12
0,2016,03-21,03-22,2.6343519070632038,1.3949187425688192,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,05-06,05-20,2.0665314730787934,4.099351873544128,W,100%,Low,High,pos_change,16_May_m1,05-06,05-20
0,2016,05-23,05-27,1.156788628498523,2.758826254623524,W,100%,Low,High,pos_change,16_Jun_m1,05-23,05-29
0,2016,05-24,05-25,2.978007075585872,1.736060444289594,L,90%,Low,High,pos_change,16_Jun_m1,05-24,05-25
0,2016,06-27,07-07,1.1516359047810532,9.608120421740518,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-07
0,2016,06-23,06-24,3.051729323457711,0.3960938882820965,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-24
0,2016,07-27,08-08,1.768049215457819,2.9141877397116662,W,100%,Low,High,pos_change,16_Aug_m1,07-25,08-18
0,2016,08-26,09-06,1.8553249259963065,2.871812107248517,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-10
0,2016,08-31,09-01,3.525487275785441,1.1086454863975466,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-27,09-28,2.023787219960393,2.919410891281182,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-13
0,2016,10-26,10-27,2.379032946526095,2.45250312600755,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,12-06,12-13,1.9995396620128965,4.957808963331824,W,100%,Low,High,pos_change,16_Dec_m1,12-04,12-15
0,2016,11-21,11-22,3.5389223017743645,1.4909343933529475,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-09,01-10,1.1811006412273926,0.8054752199327438,L,100%,Low,High,pos_change,17_Jan_m1,01-06,01-16
0,2017,01-11,01-12,2.182164818925241,1.1323757541586523,L,90%,Low,High,pos_change,17_Jan_m1,01-11,01-12
0,2017,01-27,02-03,2.0512791608400294,2.513211719133689,W,100%,Low,High,pos_change,17_Feb_m1,01-26,02-08
0,2017,01-25,01-26,3.293622950861545,1.4488588365888848,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-28,03-02,1.777986352826724,3.7164444480849914,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-15
0,2017,04-07,04-17,1.559675362257117,2.1249255639000397,W,100%,Low,High,pos_change,17_Apr_m1,04-04,04-19
0,2017,04-27,04-28,1.6425610806320317,2.532173298251782,W,100%,Low,High,pos_change,17_May_m1,04-26,05-07
0,2017,04-28,05-01,2.70377859041701,0.4858390750598336,L,90%,Low,High,pos_change,17_May_m1,04-28,05-01
0,2017,05-23,05-25,1.156788628498523,1.7457785703278077,W,100%,Low,High,pos_change,17_Jun_m1,05-23,05-29
0,2017,05-25,05-26,2.438056538425041,1.018065824807698,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-23,07-21,2.1397115522193424,5.070420386086048,W,100%,Low,High,pos_change,17_Jul_m1,06-23,07-21
