,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-26,02-05,4.074627902717666,19.621692361033222,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-06
0,2016,01-28,01-29,7.1714782900007545,5.414268156626379,L,90%,Low,Open,pos_change,16_Feb_m1,01-28,01-31
0,2016,02-24,03-07,2.7777777777777777,13.584224567763744,W,100%,Low,High,pos_change,16_Mar_m1,02-24,03-08
0,2016,02-22,02-23,3.8371415612973863,1.4357517128581077,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-24
0,2016,03-24,03-30,1.8575851393188851,6.028240695325751,W,100%,Close,High,pos_change,16_Apr_m1,03-22,04-01
0,2016,03-28,03-29,4.278688068564005,3.31144355518339,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-21,04-29,3.4353241793648506,3.5162714927451857,W,100%,Low,High,pos_change,16_May_m1,04-20,04-29
0,2016,06-01,06-08,2.4957293979720534,6.8716639247537685,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-11
0,2016,05-26,05-27,5.562130177514793,0.9968218483890712,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-29,07-12,1.5151515151515151,10.782671757468377,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-12
0,2016,06-23,06-24,3.3950617283950617,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-29,08-09,3.204471794637679,5.407644239503381,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-10
0,2016,07-21,07-22,4.785643070787637,0.8000020777925532,L,90%,Low,High,pos_change,16_Aug_m1,07-21,07-24
0,2016,08-29,09-02,1.6472398548013425,1.9413594924750228,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-02
0,2016,08-31,09-01,4.480874316939891,1.2521111115193513,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-13,10-19,2.743927904032707,3.1984011969251,W,100%,Low,High,pos_change,16_Oct_m1,10-12,10-20
0,2016,09-30,10-03,4.908391355558206,2.795750404780234,L,90%,Low,High,pos_change,16_Oct_m1,09-30,10-03
0,2016,10-26,10-28,1.5197568389057752,2.342875709559328,W,100%,Low,High,pos_change,16_Nov_m1,10-25,10-30
0,2016,10-26,10-28,5.505761843790013,2.342875709559328,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,11-22,12-07,2.3032766873719264,7.21575027367395,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-10
0,2016,11-28,11-29,3.601108033240997,1.2616766685628873,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
