,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-26,01-29,3.443364383573557,11.167510396825346,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-14
0,2016,01-26,01-29,5.04262420721175,11.167510396825346,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,03-08,03-11,3.425038379009984,4.572857686611944,W,100%,Low,High,pos_change,16_Mar_m1,03-05,03-15
0,2016,03-03,03-04,4.677320973941693,2.4748826435001425,L,90%,Low,High,pos_change,16_Mar_m1,03-03,03-04
0,2016,03-24,04-15,2.9411722707015144,4.878049861108019,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-15
0,2016,03-21,03-22,4.311154258201012,0.9988540667132182,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-25,04-26,3.6361479139258273,2.040811727386831,L,100%,Low,High,pos_change,16_May_m1,04-24,05-14
0,2016,05-27,05-31,1.94604335883803,2.7927507146821697,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-07
0,2016,05-26,05-27,4.978174600089775,2.158579300470949,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-21,07-14,1.798559454347344,9.362707843227764,W,100%,Low,High,pos_change,16_Jul_m1,06-20,07-15
0,2016,06-27,06-28,3.555552164713541,2.9984520335498788,L,90%,Low,Close,pos_change,16_Jul_m1,06-26,06-28
0,2016,08-01,08-16,2.2949125086371187,3.419314290434847,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-19
0,2016,07-18,07-19,5.169227013221154,0.4276038290066161,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-29,09-08,2.3272988683111624,5.138628170839079,W,100%,Low,High,pos_change,16_Sep_m1,08-27,09-11
0,2016,09-06,09-07,5.79991719560944,1.78622358927857,L,90%,Low,High,pos_change,16_Sep_m1,09-06,09-07
0,2016,09-26,10-05,2.7448087241487986,4.9150159995755205,W,100%,Low,High,pos_change,16_Oct_m1,09-23,10-09
0,2016,11-01,11-14,3.141363191028152,15.741510375745058,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-14
0,2016,10-26,10-27,3.77841058493326,3.989038771549249,W,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-30,12-08,2.1630167462549026,9.673544872917743,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-11
0,2016,11-21,11-22,3.614457831325301,2.2054314186964694,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-05,01-13,2.143552542342643,2.4429217202334077,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-19
0,2017,01-26,02-14,3.443364383573557,3.063086370706044,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-14
0,2017,01-26,01-27,5.04262420721175,2.482350618027003,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-07,03-08,3.425038379009984,2.097526744744573,L,100%,Low,High,pos_change,17_Mar_m1,03-05,03-15
0,2017,03-02,03-03,4.565217179211753,0.3818419760423413,L,90%,Low,High,pos_change,17_Mar_m1,03-02,03-05
0,2017,03-27,03-30,3.172493987351395,7.304479173263344,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-17
0,2017,03-29,03-30,5.218924924953138,3.843869336969924,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-28,05-04,2.44701586263696,4.129639933839757,W,100%,Low,High,pos_change,17_May_m1,04-28,05-19
