,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,2.307692307692308,1.666012732764416,L,100%,Low,Close,pos_change,16_Jan_m1,01-05,01-15
0,2016,01-04,01-05,3.788692638702872,1.802352654917376,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-22,02-17,2.5128411057422606,11.87445103973944,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-17
0,2016,01-29,02-01,4.210522300318668,4.269539465439676,W,90%,Low,High,pos_change,16_Feb_m1,01-29,02-01
0,2016,02-25,03-04,3.067484662576687,10.56018684407068,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-07
0,2016,02-22,02-23,6.080099055012151,0.5388885438659624,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,04-01,04-06,2.737353200713535,4.655741707223361,W,100%,Low,High,pos_change,16_Apr_m1,03-31,04-12
0,2016,03-21,03-22,3.457667473212578,1.100892378472048,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-23
0,2016,05-09,05-16,2.9098728529262297,5.99685003714692,W,100%,Low,High,pos_change,16_May_m1,05-07,05-16
0,2016,05-23,06-03,3.064516129032258,8.451059278365511,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-06
0,2016,05-26,05-27,4.55539698018934,1.2411567627996896,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-05,2.389078498293516,10.042722910263372,W,100%,Low,Open,pos_change,16_Jul_m1,06-22,07-05
0,2016,06-23,06-24,3.223398291050692,2.6127823961208154,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-26,08-10,2.9260062980431747,4.886384196138403,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-18
0,2016,07-18,07-19,5.362784066139216,1.0146290463101053,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-22,08-31,2.697484248570724,4.007441102963326,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-02
0,2016,08-31,09-01,7.976653696498054,0.5982540964307147,L,90%,Low,Open,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,10-10,2.587195220823305,4.233795121947817,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-16
0,2016,10-10,10-11,4.193013678374584,0.6543240315694656,L,90%,Low,High,pos_change,16_Oct_m1,10-08,10-11
0,2016,11-01,11-10,1.8544670732398307,6.80661831893005,W,100%,Low,High,pos_change,16_Nov_m1,10-30,11-10
