,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.6384436142961276,3.1249968955915413,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-11
0,2016,02-05,02-08,2.3145671795174176,9.211775350921354,W,100%,Low,High,pos_change,16_Feb_m1,02-04,02-15
0,2016,01-26,01-27,3.5993704531737274,12.828950633092614,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,03-01,03-07,2.237635848545472,27.324536798613163,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-13
0,2016,02-25,02-26,3.6585358411532334,8.883334754249429,W,90%,Low,High,pos_change,16_Mar_m1,02-25,02-28
0,2016,04-01,04-11,1.30326251274912,8.223765278211303,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-11
0,2016,03-28,03-29,3.2538647250900645,1.8195773350673812,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,05-05,05-12,2.369825297956877,4.513564969444506,W,100%,Low,High,pos_change,16_May_m1,05-02,05-15
0,2016,04-18,04-19,3.819730260677239,12.036149972406056,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-01,06-08,1.89295018035152,12.126826636174984,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-12
0,2016,05-26,05-27,4.545458681062528,0.0,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-22,06-23,1.7886722010271157,3.939875992366435,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-12
0,2016,07-08,07-11,2.686207962134846,3.219606407921666,W,90%,Low,High,pos_change,16_Jul_m1,07-08,07-11
0,2016,08-01,08-09,2.5640997676051422,6.367331945255705,W,100%,Low,High,pos_change,16_Aug_m1,07-29,08-13
0,2016,07-28,07-29,4.430383034249482,3.1257921242797075,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-22,09-09,2.003253310504693,2.6471257280359866,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-11
0,2016,08-31,09-01,4.104350934863255,0.809413815678733,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,10-10,2.594669562555082,7.314747690094984,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-18
0,2016,09-22,09-23,4.424780537644834,1.1288321091353528,L,90%,Low,High,pos_change,16_Oct_m1,09-22,09-23
0,2016,10-26,11-09,2.1212166611904784,12.351076791718183,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-11
0,2016,10-26,10-28,3.79522974981647,11.451492735612735,W,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,12-02,12-13,1.794261420687265,11.397441187685583,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-15
0,2016,11-21,11-22,2.30474480110726,2.525247448533838,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-05,1.6384436142961276,3.5256454342687595,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-11
0,2017,01-10,01-12,2.136753257788268,4.375126380683615,W,90%,Low,High,pos_change,17_Jan_m1,01-10,01-13
0,2017,02-07,02-10,2.3145671795174176,2.9747331499667187,W,100%,Low,High,pos_change,17_Feb_m1,02-04,02-15
