,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-12,1.0268282890312292,5.935892254957031,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-12
0,2016,01-04,01-05,1.581676485579616,1.973817026328196,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-20,02-17,2.1027252862420074,16.358141428139394,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-17
0,2016,01-26,01-27,3.0097459935572206,1.9629490780938048,L,90%,Low,High,pos_change,16_Feb_m1,01-26,01-27
0,2016,03-07,03-18,1.441721603380524,5.674214289321858,W,100%,Low,High,pos_change,16_Mar_m1,03-06,03-18
0,2016,03-07,03-08,2.043298808359485,2.576223657566212,W,90%,Low,High,pos_change,16_Mar_m1,03-07,03-08
0,2016,03-24,04-05,2.761165318854062,4.052126234533139,W,100%,Open,High,pos_change,16_Apr_m1,03-21,04-15
0,2016,03-28,03-29,2.90380836235607,2.042110104352536,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-22,05-12,2.2640533160936065,11.734178313657376,W,100%,Low,High,pos_change,16_May_m1,04-19,05-15
0,2016,04-18,04-19,3.3472886348696176,1.5751824897099815,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-10,1.6901408450704225,3.2743941389064384,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-17
0,2016,05-23,05-24,2.832490889339419,2.0080334615857227,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-29,07-06,1.20886710916132,9.447042923862504,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-08
0,2016,06-24,06-27,2.710511588976143,4.5208880765308885,W,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,07-22,07-26,1.2088290239781794,1.666930003304779,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-01
0,2016,08-24,08-25,2.755634453831521,2.5029200606736093,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-15
0,2016,08-24,08-25,2.891566265060241,2.5029200606736093,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-26,10-18,2.094241698833716,1.526580554276857,L,100%,Low,High,pos_change,16_Oct_m1,09-26,10-21
0,2016,09-29,09-30,2.5093821532454306,0.9748070708225188,L,90%,Low,High,pos_change,16_Oct_m1,09-29,10-02
0,2016,10-27,10-28,2.130136138303018,3.0783777991106245,W,100%,Low,High,pos_change,16_Nov_m1,10-26,11-07
0,2016,10-26,10-27,3.278057738009596,0.8631996182582619,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-21,11-28,1.669195751138088,7.447990917846342,W,100%,Low,High,pos_change,16_Dec_m1,11-21,11-30
0,2016,11-21,11-22,2.412642536750312,7.429420484144882,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
