,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-28,02-17,3.5038294075981,10.545685328161625,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-17
0,2016,02-29,03-09,2.1126769644194976,6.659597314104857,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-09
0,2016,03-03,03-04,2.858696569960853,2.0668573658458333,L,90%,Low,High,pos_change,16_Mar_m1,03-03,03-06
0,2016,04-05,04-13,1.4978287276165654,5.352674872814004,W,100%,Low,High,pos_change,16_Apr_m1,04-02,04-13
0,2016,03-29,03-30,2.842524136797341,4.790569096014316,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,05-09,05-11,2.5450367703205434,2.5749027216506923,W,100%,Open,High,pos_change,16_May_m1,05-07,05-19
0,2016,04-18,04-19,5.6204978554779,1.3339718422997957,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-31,06-09,3.542492805378273,2.7703720531502487,L,100%,Low,High,pos_change,16_Jun_m1,05-30,06-16
0,2016,05-31,06-01,4.607552076272044,2.400989112730216,L,90%,Low,High,pos_change,16_Jun_m1,05-30,06-02
0,2016,06-24,07-12,2.4719132186338117,7.599231521917627,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-15
0,2016,06-20,06-23,3.949844024919421,1.5406737783447757,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-23
0,2016,08-03,08-11,1.923080282031436,2.7644253179755083,W,100%,Low,High,pos_change,16_Aug_m1,08-03,08-13
0,2016,07-19,07-20,4.0285070301193215,2.097765022410376,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-20
0,2016,08-26,08-29,2.9784674906457798,1.6800168654484922,L,100%,Low,High,pos_change,16_Sep_m1,08-25,09-09
0,2016,08-25,08-26,5.757197137974358,0.7153884825057928,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-28
0,2016,09-22,09-28,3.3914705042325157,2.819836627865382,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-06
0,2016,09-29,09-30,5.674424282340116,2.1817521264531274,L,90%,Low,Open,pos_change,16_Oct_m1,09-28,10-01
0,2016,10-27,11-17,2.733771685796444,10.3032721486231,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-18
0,2016,10-26,10-27,5.767041861641584,0.4964715324295528,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-23,12-08,2.9470835324147058,5.930121519178849,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-08
0,2016,11-22,11-23,4.707075371918442,2.461945867000194,L,90%,Open,High,pos_change,16_Dec_m1,11-22,11-23
0,2017,01-30,02-16,3.5038294075981,6.759409552622481,W,100%,Low,High,pos_change,17_Feb_m1,01-27,02-17
0,2017,01-30,01-31,4.35229761645481,1.7478144240596298,L,90%,Low,High,pos_change,17_Feb_m1,01-28,01-31
0,2017,02-28,03-08,2.1126769644194976,3.8095267134884,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-09
0,2017,03-31,04-03,2.725721326518145,1.1642969258191282,L,100%,Low,High,pos_change,17_Apr_m1,03-31,04-18
0,2017,04-03,04-04,3.6960000930542902,0.214311026116464,L,90%,Low,High,pos_change,17_Apr_m1,04-03,04-04
0,2017,05-08,05-09,2.5450367703205434,0.7886946063465631,L,100%,Open,High,pos_change,17_May_m1,05-07,05-19
0,2017,04-26,04-27,4.134975732071921,1.9143418508436023,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
