,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.5979215704535432,3.6283886953084585,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-13
0,2016,01-21,02-04,3.84055487029003,8.264090125659804,W,100%,Low,High,pos_change,16_Feb_m1,01-21,02-07
0,2016,01-21,01-22,5.682435559743453,7.202216011597843,W,90%,Low,High,pos_change,16_Feb_m1,01-21,01-24
0,2016,03-03,03-17,3.178846314197601,9.570561020298168,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-17
0,2016,03-03,03-04,4.5454479774497685,4.2944834092255295,L,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-29,03-30,2.44565169223099,5.713141696992405,W,100%,Low,High,pos_change,16_Apr_m1,03-27,04-05
0,2016,03-21,03-22,3.7830986178035846,0.6053612514891012,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-21,04-27,4.823522825670492,5.547167419835484,W,100%,Low,High,pos_change,16_May_m1,04-21,05-14
0,2016,04-18,04-19,7.677908817214786,4.529476244014307,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-08,2.3606873275940146,6.193997179769415,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-11
0,2016,05-25,05-26,4.385965538559396,1.7254885505227482,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-08,1.9595016699889536,9.29184822782877,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-09
0,2016,06-23,06-24,3.457461257713691,0.0,L,90%,Low,Open,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-28,08-08,2.576979278744543,3.032470007997187,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-18
0,2016,07-18,07-19,4.00449161441779,0.1057479230103486,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,08-29,09-16,3.2217720011122823,5.073240757076356,W,100%,Low,High,pos_change,16_Sep_m1,08-28,09-16
0,2016,08-31,09-01,4.703738127899223,0.5669732313895376,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-28,10-05,2.8392692330648064,3.952706131384745,W,100%,Low,High,pos_change,16_Oct_m1,09-28,10-05
0,2016,09-27,09-28,5.3753011001568645,1.5545923627023142,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-25,11-04,3.03030705585434,4.045093744035583,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-04
0,2016,10-25,10-26,5.489440848488243,2.221485675343712,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,12-01,12-09,2.3701260421364587,3.85789443008154,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-16
0,2016,11-28,11-29,3.0079469084227326,2.1777004352676084,L,90%,Low,High,pos_change,16_Dec_m1,11-28,11-29
0,2017,01-04,01-06,1.5979215704535432,4.951328784081093,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-10
0,2017,01-10,01-11,3.225764512906742,3.6160902434140856,W,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,01-31,02-10,3.227024923537556,6.230998593278633,W,100%,Low,High,pos_change,17_Feb_m1,01-28,02-15
0,2017,01-25,01-26,5.022832660862318,4.754800570838135,L,90%,Low,Open,pos_change,17_Feb_m1,01-25,01-26
0,2017,03-03,03-07,3.178846314197601,4.312664050558063,W,100%,Low,High,pos_change,17_Mar_m1,03-02,03-17
0,2017,02-27,03-01,4.077260785079877,3.750777779122474,L,90%,Low,High,pos_change,17_Mar_m1,02-26,03-01
0,2017,04-13,04-20,2.691526801532349,11.381396155528533,W,100%,Low,High,pos_change,17_Apr_m1,04-13,04-20
0,2017,03-21,03-22,3.7830986178035846,2.862799558415837,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-23
0,2017,04-24,05-08,3.859943502093981,5.152778163475887,W,100%,Low,High,pos_change,17_May_m1,04-24,05-13
0,2017,04-25,04-26,5.263169610356144,2.9341302319312987,L,90%,Low,High,pos_change,17_May_m1,04-25,04-26
0,2017,05-26,06-02,3.0149183349793827,2.973623156146464,L,100%,Low,High,pos_change,17_Jun_m1,05-26,06-13
0,2017,05-25,05-26,4.385965538559396,4.893621966457965,W,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-27,07-13,2.220768559320814,4.758308932344696,W,100%,Low,High,pos_change,17_Jul_m1,06-27,07-16
0,2017,06-28,06-29,4.742001297061081,2.470987557389161,L,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,07-28,08-16,2.576979278744543,5.157593995669703,W,100%,Low,High,pos_change,17_Aug_m1,07-28,08-18
0,2017,07-26,07-27,3.032470007997187,2.457734657046819,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,08-29,09-14,3.208907879935217,7.382410781130681,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-15
0,2017,08-31,09-01,4.703738127899223,1.5866696899234871,L,90%,Low,High,pos_change,17_Sep_m1,08-31,09-01
0,2017,10-05,10-13,2.866759782600829,4.717527445213716,W,100%,Low,High,pos_change,17_Oct_m1,10-03,10-14
0,2017,09-27,09-28,5.3753011001568645,0.8014917208447894,L,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,10-26,10-27,3.03030705585434,4.972376563909201,W,100%,Low,High,pos_change,17_Nov_m1,10-24,11-03
0,2017,10-31,11-01,4.5052022254065225,1.1311799712273871,L,90%,Low,High,pos_change,17_Nov_m1,10-29,11-01
0,2017,12-01,12-13,2.186108401345475,6.4781078488719945,W,100%,Low,High,pos_change,17_Dec_m1,12-01,12-15
0,2017,11-28,11-29,3.0079469084227326,8.485326593934065,W,90%,Low,High,pos_change,17_Dec_m1,11-28,11-29
0,2018,01-04,01-09,1.5979215704535432,5.508479670319623,W,100%,Low,High,pos_change,18_Jan_m1,01-04,01-11
0,2018,01-08,01-09,3.1905520819457864,4.220443072377496,W,90%,Low,High,pos_change,18_Jan_m1,01-08,01-11
0,2018,01-25,01-26,3.678147694536179,3.830319367389766,W,100%,Low,High,pos_change,18_Feb_m1,01-22,02-07
0,2018,01-23,01-24,5.345557843791416,1.6675443785901092,L,90%,Low,High,pos_change,18_Feb_m1,01-23,01-24
0,2018,03-05,03-13,3.053239493944484,8.590559411393192,W,100%,Low,High,pos_change,18_Mar_m1,03-03,03-16
0,2018,02-21,02-22,4.747034466063313,2.240593487040065,L,90%,Low,High,pos_change,18_Mar_m1,02-21,02-22
0,2018,03-28,03-29,2.7464161911027163,4.989760297312002,W,100%,Low,High,pos_change,18_Apr_m1,03-27,04-07
0,2018,03-22,03-23,3.7830986178035846,1.9213400685525392,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-24
0,2018,04-24,05-11,3.859943502093981,9.066077469489828,W,100%,Low,High,pos_change,18_May_m1,04-24,05-13
0,2018,04-23,04-24,5.106031872945037,1.9349486905725688,L,90%,Low,High,pos_change,18_May_m1,04-23,04-24
0,2018,05-29,06-12,2.973623156146464,6.3973587568931904,W,100%,Low,High,pos_change,18_Jun_m1,05-26,06-13
0,2018,06-28,07-10,2.220768559320814,6.329711895185845,W,100%,Low,High,pos_change,18_Jul_m1,06-27,07-16
0,2018,06-21,06-22,4.450627755355955,2.145319176541512,L,90%,Low,High,pos_change,18_Jul_m1,06-21,06-22
0,2018,08-06,08-14,1.5398105733487348,3.758766246637997,W,100%,Low,High,pos_change,18_Aug_m1,08-05,08-14
0,2018,07-23,07-24,3.1647579490695,3.142729455041103,L,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,08-31,09-06,3.2217720011122823,1.4903135318443763,L,100%,Low,High,pos_change,18_Sep_m1,08-28,09-16
0,2018,10-02,10-03,2.978238745877789,2.077707883693011,L,100%,Low,High,pos_change,18_Oct_m1,09-29,10-13
0,2018,10-01,10-02,4.963738525866314,0.9952973786179724,L,90%,Low,High,pos_change,18_Oct_m1,09-29,10-02
0,2018,10-26,11-02,3.03030705585434,10.746271635446082,W,100%,Low,High,pos_change,18_Nov_m1,10-24,11-03
0,2018,10-29,10-31,4.5052022254065225,8.261141634885146,W,90%,Low,High,pos_change,18_Nov_m1,10-29,11-01
