,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.719600382102549,1.866413681487147,W,100%,Low,Close,pos_change,16_Jan_m1,01-03,01-09
0,2016,01-04,01-05,3.880597014925373,1.866413681487147,L,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-29,02-17,3.207509007214053,5.407146191429295,W,100%,Low,High,pos_change,16_Feb_m1,01-29,02-19
0,2016,02-24,03-09,2.2829232564786586,5.972820131378607,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-09
0,2016,02-22,02-23,4.407719896547089,0.5154639175257731,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-24,04-01,2.456140742248608,5.0,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-09
0,2016,03-21,03-22,3.3987842763599203,1.552149946752635,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-29,05-09,2.5974025974025974,6.808846736109662,W,100%,Low,High,pos_change,16_May_m1,04-27,05-20
0,2016,04-18,04-19,3.875968992248062,1.598506652843923,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-09,2.2880173329979003,2.7919578756312493,W,100%,Low,High,pos_change,16_Jun_m1,06-04,06-14
0,2016,05-23,05-24,3.8522169587400814,0.9189237023174538,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-24,07-01,1.7725384932805115,4.675750316651056,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-02
0,2016,07-19,08-02,2.7516922416070533,2.4400437785141795,L,100%,Low,High,pos_change,16_Aug_m1,07-18,08-07
0,2016,08-22,08-23,3.191303148464302,2.2116134739974767,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-11
0,2016,08-23,08-24,4.651455130506641,1.0195652722212798,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-26
0,2016,09-28,09-29,2.5787965616045847,0.891467651885019,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-15
0,2016,10-31,11-03,3.779317613312001,2.154032428875175,L,100%,Low,High,pos_change,16_Nov_m1,10-29,11-07
0,2016,10-31,11-01,5.169407939114072,1.9133622099647971,L,90%,Low,High,pos_change,16_Nov_m1,10-31,11-01
0,2016,11-28,12-14,2.4390243902439024,10.141180043344406,W,100%,Low,High,pos_change,16_Dec_m1,11-26,12-16
0,2016,12-05,12-07,3.75,4.851721501287858,W,90%,Low,High,pos_change,16_Dec_m1,12-04,12-07
0,2017,01-05,01-06,1.719600382102549,4.644664836257515,W,100%,Low,Close,pos_change,17_Jan_m1,01-03,01-09
0,2017,01-27,01-31,2.5540259294483376,2.946909396902444,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-11
0,2017,02-02,02-03,4.677178096208404,3.200533449716368,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
