,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.3014312685041804,2.375244762251181,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-07
0,2016,01-07,01-08,1.8617332630556915,1.4152633299377744,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-09
0,2016,02-08,02-18,2.1953944429607843,10.049323895461676,W,100%,Low,High,pos_change,16_Feb_m1,02-06,02-18
0,2016,03-02,03-18,2.2366418512266084,16.007111246423385,W,100%,Low,High,pos_change,16_Mar_m1,03-02,03-18
0,2016,02-29,03-01,3.008448641065141,4.1651608248269145,W,90%,Open,High,pos_change,16_Mar_m1,02-28,03-01
0,2016,03-29,04-11,1.5909090909090908,4.691199156251703,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-29,03-30,3.803131991051454,4.034861094784429,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-19,04-28,2.7378425866085787,6.214342141957098,W,100%,Low,High,pos_change,16_May_m1,04-19,05-05
0,2016,04-18,04-20,4.43609022556391,7.349250962280582,W,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-07,06-08,2.355460385438972,2.430864290784674,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-16
0,2016,05-25,05-26,3.3395556501434305,1.5373964059210217,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,07-07,07-14,1.2427506213753108,5.326025527622607,W,100%,Low,High,pos_change,16_Jul_m1,07-04,07-14
0,2016,06-27,06-30,2.479106829582923,5.506434427030689,W,90%,Low,High,pos_change,16_Jul_m1,06-27,06-30
0,2016,07-21,07-22,1.7710281532215657,1.0775219069542727,L,100%,Low,High,pos_change,16_Aug_m1,07-19,07-29
0,2016,07-27,07-28,3.0374514393260483,0.4125718628237902,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-28
0,2016,08-22,09-08,2.4195441836469507,3.071909004321037,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-10
0,2016,08-30,08-31,3.723875620513776,0.0,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,10-04,10-10,1.9483694755097865,3.632389792694151,W,100%,Low,High,pos_change,16_Oct_m1,10-02,10-18
0,2016,10-31,11-10,2.6923076923076925,4.548083711911471,W,100%,Low,High,pos_change,16_Nov_m1,10-30,11-11
0,2016,10-26,10-27,3.309285845704344,2.112747123583889,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-29,12-09,1.1299435028248588,7.0018415415599655,W,100%,Low,High,pos_change,16_Dec_m1,11-26,12-09
0,2017,01-05,01-06,1.410276917713717,0.7368065467420682,L,100%,Low,High,pos_change,17_Jan_m1,01-05,01-20
0,2017,01-09,01-10,2.066999287241625,1.111978779002602,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,02-08,02-13,1.7136880271118555,3.3266843537867548,W,100%,Low,High,pos_change,17_Feb_m1,02-06,02-17
0,2017,02-02,02-03,3.012485800139819,3.224640704856549,W,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
0,2017,03-06,03-07,2.0612213227687537,1.0739319287627027,L,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
0,2017,04-17,04-18,2.1962385361688628,0.974916009863547,L,100%,Low,Close,pos_change,17_Apr_m1,04-14,04-21
0,2017,03-29,03-30,4.188785006590765,1.684134635117844,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
0,2017,04-27,04-28,2.544865736757254,2.7992742490035574,W,100%,Open,High,pos_change,17_May_m1,04-24,05-04
0,2017,04-24,04-26,2.936383542412216,2.002468022541649,L,90%,Open,High,pos_change,17_May_m1,04-24,04-27
0,2017,06-05,06-13,1.450166234909397,5.709832180821191,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-14
0,2017,05-24,05-25,3.3395556501434305,0.9268851758480492,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,07-07,07-12,1.2427506213753108,1.8869783945871597,W,100%,Low,High,pos_change,17_Jul_m1,07-04,07-14
0,2017,06-27,06-29,2.479106829582923,1.0766151684363223,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-30
0,2017,08-08,08-10,1.0516816713743655,1.5213681783831312,W,100%,Low,High,pos_change,17_Aug_m1,08-08,08-16
0,2017,08-03,08-04,2.7935898482084,1.054556500964571,L,90%,Low,High,pos_change,17_Aug_m1,08-02,08-05
0,2017,08-22,09-07,2.4195441836469507,6.672342265274797,W,100%,Low,High,pos_change,17_Sep_m1,08-22,09-10
0,2017,08-30,09-01,3.723875620513776,1.9234409125468352,L,90%,Low,High,pos_change,17_Sep_m1,08-30,09-01
0,2017,10-02,10-16,1.9483694755097865,4.639488156310863,W,100%,Low,High,pos_change,17_Oct_m1,10-02,10-18
0,2017,10-31,11-07,2.572898889100792,3.672465574049602,W,100%,Low,High,pos_change,17_Nov_m1,10-31,11-10
0,2017,10-23,10-24,3.8582710750017575,1.2410310329897734,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-24
0,2017,11-30,12-04,1.6985309331030387,4.324831143600195,W,100%,Low,High,pos_change,17_Dec_m1,11-30,12-10
0,2017,11-30,12-01,3.135048231511254,2.755263699604785,L,90%,Low,High,pos_change,17_Dec_m1,11-30,12-03
0,2018,01-02,01-03,1.3014312685041804,2.708301339082099,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-07
0,2018,01-08,01-09,1.8617332630556915,1.0264085373183685,L,90%,Low,High,pos_change,18_Jan_m1,01-06,01-09
0,2018,02-02,02-07,1.5558394077812792,1.385580807442097,L,100%,Low,High,pos_change,18_Feb_m1,01-30,02-12
0,2018,01-31,02-01,3.012485800139819,1.273675262225451,L,90%,Low,High,pos_change,18_Feb_m1,01-31,02-03
0,2018,03-05,03-12,1.3852340513103534,6.602415828403354,W,100%,Low,High,pos_change,18_Mar_m1,03-05,03-12
0,2018,02-22,02-23,3.6767313017325978,3.5261673866717915,L,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,03-28,04-19,1.7746818554404056,11.547387759526051,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-20
0,2018,04-25,04-30,2.544865736757254,5.597753158479188,W,100%,Open,High,pos_change,18_May_m1,04-24,05-04
0,2018,04-23,04-24,2.9074550164511668,2.66009670163368,L,90%,Low,High,pos_change,18_May_m1,04-23,04-24
0,2018,06-05,06-12,1.450166234909397,5.619088160899816,W,100%,Low,High,pos_change,18_Jun_m1,06-03,06-14
0,2018,05-24,05-25,3.3395556501434305,0.0,L,90%,Low,High,pos_change,18_Jun_m1,05-24,05-25
0,2018,07-06,07-10,1.6189313643906724,4.318525821898635,W,100%,Low,High,pos_change,18_Jul_m1,07-05,07-12
0,2018,06-28,06-29,2.479106829582923,2.184002685546875,L,90%,Low,High,pos_change,18_Jul_m1,06-27,06-30
0,2018,08-10,08-13,1.0516816713743655,1.7942389343010547,W,100%,Low,High,pos_change,18_Aug_m1,08-08,08-16
0,2018,08-02,08-03,2.1916545830027028,0.7704760135678229,L,90%,Low,High,pos_change,18_Aug_m1,08-02,08-05
0,2018,08-20,08-28,2.4195441836469507,3.4177059952747566,W,100%,Low,High,pos_change,18_Sep_m1,08-20,09-09
0,2018,10-04,10-10,1.9483694755097865,2.745789488428189,W,100%,Low,High,pos_change,18_Oct_m1,10-02,10-18
0,2018,10-05,10-08,2.6694002283074023,0.5772015656834061,L,90%,Low,High,pos_change,18_Oct_m1,10-05,10-08
0,2018,11-02,11-08,2.868102991705702,7.7351483270401395,W,100%,Low,High,pos_change,18_Nov_m1,11-02,11-13
0,2018,10-30,11-02,3.632148377125193,8.284788680588823,W,90%,Low,High,pos_change,18_Nov_m1,10-30,11-02
0,2018,11-20,12-03,2.063273727647868,6.42385199133894,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-03
0,2019,01-02,01-07,1.3014312685041804,5.443512524851632,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-07
0,2019,01-07,01-09,1.8617332630556915,3.711792120651048,W,90%,Low,High,pos_change,19_Jan_m1,01-06,01-09
0,2019,01-30,02-05,1.385580807442097,7.036968223961081,W,100%,Low,High,pos_change,19_Feb_m1,01-30,02-12
0,2019,01-31,02-01,2.815753902588343,5.177282491427361,W,90%,Low,High,pos_change,19_Feb_m1,01-31,02-03
0,2019,03-08,03-12,1.3852340513103534,4.832216680954714,W,100%,Low,High,pos_change,19_Mar_m1,03-05,03-12
0,2019,02-21,02-22,3.6767313017325978,1.7484582359117835,L,90%,Low,High,pos_change,19_Mar_m1,02-20,02-23
0,2019,03-27,04-08,1.7746818554404056,4.359940863124519,W,100%,Low,High,pos_change,19_Apr_m1,03-26,04-11
0,2019,04-26,04-30,2.544865736757254,5.421527505698626,W,100%,Open,High,pos_change,19_May_m1,04-24,05-04
0,2019,04-22,04-23,2.9609222673269224,1.5193041738648163,L,90%,Low,High,pos_change,19_May_m1,04-22,04-23
0,2019,06-06,06-11,1.5622472809397607,4.563541920070094,W,100%,Low,High,pos_change,19_Jun_m1,06-06,06-11
0,2019,07-05,07-12,1.6189313643906724,2.9435752024769406,W,100%,Low,High,pos_change,19_Jul_m1,07-05,07-12
0,2019,06-27,06-28,2.479106829582923,1.2938432542779306,L,90%,Low,High,pos_change,19_Jul_m1,06-27,06-30
0,2019,08-08,08-09,1.0516816713743655,3.743092689031317,W,100%,Low,High,pos_change,19_Aug_m1,08-08,08-16
0,2019,08-23,09-09,2.4195441836469507,4.617401705074625,W,100%,Low,High,pos_change,19_Sep_m1,08-20,09-09
0,2019,10-03,10-15,1.982642867265735,6.520562123738251,W,100%,Low,High,pos_change,19_Oct_m1,10-03,10-18
0,2019,10-07,10-08,2.6694002283074023,0.0,L,90%,Low,High,pos_change,19_Oct_m1,10-05,10-08
0,2019,11-04,11-05,2.868102991705702,4.640232832802355,W,100%,Low,High,pos_change,19_Nov_m1,11-02,11-13
0,2019,11-19,11-22,2.063273727647868,3.118534683050848,W,100%,Low,High,pos_change,19_Dec_m1,11-19,12-03
0,2020,01-02,01-03,1.3014312685041804,1.614643232457746,W,100%,Low,High,pos_change,20_Jan_m1,01-02,01-07
0,2020,01-07,01-08,1.8617332630556915,1.120828506792636,L,90%,Low,High,pos_change,20_Jan_m1,01-06,01-09
0,2020,02-07,02-12,2.1953944429607843,3.807501804129875,W,100%,Low,High,pos_change,20_Feb_m1,02-06,02-18
0,2020,01-30,01-31,2.815753902588343,0.8619131326325427,L,90%,Low,High,pos_change,20_Feb_m1,01-30,02-02
0,2020,03-09,03-10,2.2958246180606325,7.875003814697265,W,100%,Low,High,pos_change,20_Mar_m1,03-08,03-20
0,2020,02-25,02-26,3.1167345651407543,1.6100006103515627,L,90%,Low,High,pos_change,20_Mar_m1,02-24,02-27
0,2020,03-26,04-09,1.7746818554404056,32.43482761883549,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-11
0,2020,04-24,04-30,2.544865736757254,11.624112872702431,W,100%,Open,High,pos_change,20_May_m1,04-24,05-04
0,2020,04-21,04-24,3.1154203410779244,12.037856044829455,W,90%,Low,High,pos_change,20_May_m1,04-21,04-24
0,2020,06-08,06-09,1.5622472809397607,2.042230100626772,W,100%,Low,High,pos_change,20_Jun_m1,06-06,06-11
0,2020,07-07,07-08,1.6189313643906724,1.9152658115545784,W,100%,Low,High,pos_change,20_Jul_m1,07-05,07-12
0,2020,06-29,06-30,2.479106829582923,3.914549017759487,W,90%,Low,High,pos_change,20_Jul_m1,06-27,06-30
0,2020,08-10,08-11,1.0516816713743655,6.175803374822666,W,100%,Low,High,pos_change,20_Aug_m1,08-08,08-16
0,2020,07-27,07-28,2.594568261130488,2.6689133285346047,W,90%,Low,High,pos_change,20_Aug_m1,07-27,07-28
0,2020,09-03,09-04,1.3986008526105236,2.3620123935878725,W,100%,Low,High,pos_change,20_Sep_m1,09-02,09-18
0,2020,08-31,09-01,3.723875620513776,0.0,L,90%,Low,High,pos_change,20_Sep_m1,08-30,09-01
0,2020,10-02,10-09,1.8720257321982463,10.5637847650458,W,100%,Low,High,pos_change,20_Oct_m1,10-02,10-16
0,2020,10-05,10-08,2.579043920694303,6.844864983668176,W,90%,Low,High,pos_change,20_Oct_m1,10-05,10-08
0,2020,10-30,11-04,2.8847430382153214,8.0934112200957,W,100%,Low,High,pos_change,20_Nov_m1,10-30,11-07
0,2020,10-19,10-20,3.323790614753945,1.54515864081682,L,90%,Low,High,pos_change,20_Nov_m1,10-19,10-20
0,2020,12-07,12-10,1.9586431144810024,5.206943088772524,W,100%,Low,High,pos_change,20_Dec_m1,12-05,12-18
0,2020,11-30,12-01,3.93630856091604,3.2335989749746203,L,90%,Low,High,pos_change,20_Dec_m1,11-30,12-01
