,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,2.3809459052604622,4.415758197954666,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-12
0,2016,01-04,01-05,4.069753962590774,4.415758197954666,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,01-26,01-29,4.475184641513513,6.09662636978239,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-17
0,2016,01-28,01-29,7.681400447999855,4.691637369657295,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,03-03,03-18,3.5714158011836985,9.136329136757984,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-18
0,2016,03-01,03-02,4.830473168933968,4.312267151903729,L,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,04-05,04-14,2.9338092037246186,7.74193113830434,W,100%,Low,High,pos_change,16_Apr_m1,04-05,04-14
0,2016,03-22,03-23,5.579404235951313,0.878082484033927,L,90%,Low,High,pos_change,16_Apr_m1,03-22,03-23
0,2016,05-02,05-03,3.523310962121968,1.4622815946372634,L,100%,Low,High,pos_change,16_May_m1,04-30,05-10
0,2016,04-18,04-19,5.961067581513337,1.9311245167784064,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,06-07,2.24761962890625,9.81867593852582,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-11
0,2016,06-24,07-11,3.131208421910809,14.773862256970402,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-13
0,2016,06-20,06-21,5.8244054851588265,1.448344922302707,L,90%,Low,High,pos_change,16_Jul_m1,06-20,06-21
0,2016,07-29,08-01,5.138321404252613,1.2538221340862556,L,100%,Low,High,pos_change,16_Aug_m1,07-27,08-19
0,2016,07-26,07-27,6.756780524898473,2.78443192421773,L,90%,Close,High,pos_change,16_Aug_m1,07-25,07-28
0,2016,09-01,09-07,3.441297051109703,2.2878910996637867,L,100%,Low,High,pos_change,16_Sep_m1,08-31,09-11
0,2016,08-30,09-01,7.60719487252982,1.41643297593811,L,90%,Low,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-06,10-07,3.809520176478794,2.889786974923941,L,100%,Low,High,pos_change,16_Oct_m1,10-05,10-17
0,2016,09-28,09-29,5.386216981566332,2.236315409773112,L,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,11-02,11-07,7.36382819401932,3.95480526589868,L,100%,Low,High,pos_change,16_Nov_m1,10-30,11-14
