,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,1.825603249954828,1.7241398990806396,L,100%,Low,High,pos_change,16_Jan_m1,01-05,01-12
0,2016,01-04,01-05,2.1505329014991226,1.3196997449844337,L,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-27,02-17,3.4599695374013395,4.542730823463345,W,100%,Low,High,pos_change,16_Feb_m1,01-27,02-17
0,2016,01-26,01-27,4.00542905693193,5.316927659917571,W,90%,Low,High,pos_change,16_Feb_m1,01-24,01-27
0,2016,03-01,03-18,2.7033364152899435,6.30298699028675,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-18
0,2016,02-29,03-01,3.199345654431011,2.4373723154230764,L,90%,Low,High,pos_change,16_Mar_m1,02-28,03-01
0,2016,03-29,03-30,0.9917156750709666,1.5783827738128575,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-11
0,2016,04-22,05-11,2.878922643128468,3.44539014207525,W,100%,Low,High,pos_change,16_May_m1,04-22,05-15
0,2016,04-20,04-21,4.212829393874597,3.4387591646735065,L,90%,Low,High,pos_change,16_May_m1,04-19,04-22
0,2016,05-24,05-25,1.7586376463797428,1.823707710846641,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-05
0,2016,05-26,05-27,3.303920235153658,0.3938977809086776,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,07-11,07-14,1.7632298511482052,2.237221431989924,W,100%,Low,High,pos_change,16_Jul_m1,07-09,07-14
0,2016,06-27,06-29,2.975872669856485,3.603880992296853,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,07-27,08-01,2.690223512477615,1.512335748599008,L,100%,Low,High,pos_change,16_Aug_m1,07-27,08-11
0,2016,07-27,07-29,3.732757597599429,1.351188783966979,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-29,08-30,2.079499188343886,1.785930415864479,L,100%,Low,High,pos_change,16_Sep_m1,08-28,09-15
0,2016,08-24,08-25,3.304351815483684,0.2609656782490867,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-26,10-10,2.499998031118651,3.101681721764851,W,100%,Low,High,pos_change,16_Oct_m1,09-26,10-17
0,2016,09-20,09-21,4.670325163918186,1.2535897904397253,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-26,11-11,4.762478516171307,4.889692699099778,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-15
0,2016,10-26,10-27,5.538466054384102,2.6448140444638857,L,90%,Low,High,pos_change,16_Nov_m1,10-25,10-28
0,2016,12-02,12-08,1.7523987731160686,2.223089997521719,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-11
0,2016,11-21,11-22,2.7608622567802983,0.9692570735119032,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-10,01-11,1.619982137276027,1.7545993305196856,W,100%,Low,High,pos_change,17_Jan_m1,01-10,01-16
0,2017,01-05,01-06,2.1505329014991226,1.9964642952238292,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-30,02-01,3.4599695374013395,6.283700358580571,W,100%,Low,High,pos_change,17_Feb_m1,01-27,02-17
0,2017,01-25,01-26,4.00542905693193,1.060245096089262,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-28
0,2017,03-06,03-10,2.1163434149396108,2.76740163880536,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
0,2017,03-01,03-02,2.811244033131228,0.8578690533775459,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-02
0,2017,04-06,04-17,1.6048632162421546,2.047538003100777,W,100%,Low,High,pos_change,17_Apr_m1,04-06,04-17
0,2017,04-27,05-05,3.002830373843965,1.9449149964885248,L,100%,Low,High,pos_change,17_May_m1,04-26,05-12
0,2017,04-24,04-25,3.810344606630698,1.729174526853526,L,90%,Close,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-25,06-02,1.7586376463797428,3.992345435915095,W,100%,Low,High,pos_change,17_Jun_m1,05-24,06-05
0,2017,07-11,07-14,1.7632298511482052,3.494718026256003,W,100%,Low,High,pos_change,17_Jul_m1,07-09,07-14
0,2017,06-29,06-30,3.655353770136984,0.9056269695102404,L,90%,Low,Open,pos_change,17_Jul_m1,06-27,06-30
0,2017,07-28,07-31,1.6383265481246054,1.611307693158765,L,100%,Low,High,pos_change,17_Aug_m1,07-25,08-18
0,2017,08-29,09-08,1.7380283527081437,6.950563167315272,W,100%,Low,High,pos_change,17_Sep_m1,08-27,09-09
