,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-13,1.1718762272877004,3.41047576617841,W,100%,Close,High,pos_change,16_Jan_m1,01-06,01-14
0,2016,01-26,02-04,4.69973691165787,1.724689328218507,L,100%,Low,High,pos_change,16_Feb_m1,01-23,02-16
0,2016,01-26,01-27,7.49103856214504,1.6195193762077134,L,90%,Low,High,pos_change,16_Feb_m1,01-24,01-27
0,2016,02-29,03-04,1.6835078646506705,4.179350611405059,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-06
0,2016,02-24,02-26,4.290110738504995,3.2071197641409963,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,03-29,03-31,2.6378896882494005,3.091620909368028,W,100%,Low,High,pos_change,16_Apr_m1,03-29,04-09
0,2016,03-21,03-22,3.346455218461301,0.6345985321887835,L,90%,Low,Close,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-29,05-10,2.96942480787078,4.2480453215830725,W,100%,Low,High,pos_change,16_May_m1,04-29,05-17
0,2016,04-18,04-19,5.338343246869101,4.160803406681847,L,90%,Low,High,pos_change,16_May_m1,04-18,04-20
0,2016,06-03,06-17,1.772892640703511,1.4427463258802902,L,100%,Low,High,pos_change,16_Jun_m1,06-01,06-17
0,2016,05-26,05-27,2.7397289299308474,0.9641449105302732,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-24,07-14,2.53987180995102,5.949131488774429,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-14
0,2016,06-24,06-27,2.935077651652879,0.0946016059097736,L,90%,Low,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,08-09,08-10,2.8517082760845818,4.165785376892878,W,100%,Low,High,pos_change,16_Aug_m1,08-06,08-19
0,2016,07-18,07-19,3.4805571488868923,0.1201513105912142,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-01,09-02,2.093356183652752,1.1180868719174923,L,100%,Low,High,pos_change,16_Sep_m1,08-29,09-09
0,2016,08-29,08-30,4.263682674399263,0.8786807528046263,L,90%,Low,High,pos_change,16_Sep_m1,08-27,08-30
0,2016,10-03,10-06,2.8826512378312774,1.6621387599917714,L,100%,Low,High,pos_change,16_Oct_m1,09-30,10-10
0,2016,09-27,09-28,4.544743702359039,0.8743202751451502,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-01,11-03,2.487858727828511,2.6947343362693377,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-06
0,2016,10-27,10-28,4.802408417183889,1.1681534624418903,L,90%,Low,High,pos_change,16_Nov_m1,10-27,10-28
0,2016,12-02,12-09,2.4352680301191763,7.399487677421279,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-14
0,2016,11-21,11-22,3.9978068624648095,0.9587632012121456,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-10,01-11,1.483987756023443,1.9934787331779311,W,100%,Low,High,pos_change,17_Jan_m1,01-09,01-17
0,2017,01-10,01-11,2.1588645583054564,1.9934787331779311,L,90%,Low,High,pos_change,17_Jan_m1,01-08,01-11
0,2017,01-26,02-01,3.904353073507287,3.713645473394448,L,100%,Low,High,pos_change,17_Feb_m1,01-26,02-15
