,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-08,1.7594408547863278,1.9227416804242008,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-14
0,2016,01-07,01-08,2.9170656930936816,1.9227416804242008,L,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,02-03,02-04,2.709353754166337,9.860166135790957,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-15
0,2016,01-25,01-26,6.085195151546493,8.935034583179032,W,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,03-04,03-18,2.624487349856276,7.092315954541868,W,100%,Low,High,pos_change,16_Mar_m1,03-04,03-18
0,2016,03-02,03-04,3.359996591026733,3.585915677728814,W,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-29,03-30,1.8565004204894453,3.0846706896676026,W,100%,Low,High,pos_change,16_Apr_m1,03-27,04-04
0,2016,03-30,03-31,3.020141661686325,0.8584332231885841,L,90%,Low,High,pos_change,16_Apr_m1,03-30,03-31
0,2016,04-26,04-27,2.419359457614215,1.420153359125072,L,100%,Low,High,pos_change,16_May_m1,04-24,05-09
0,2016,04-18,04-19,4.061865366536832,4.927091176387227,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-01,06-08,1.7986244651748866,9.902795878230206,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-14
0,2016,05-26,05-27,3.0188290175505776,0.7226736686025135,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-08,1.5075330826216442,10.229932683260584,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-08
0,2016,07-29,08-15,3.117445232998386,5.879018872317323,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-19
0,2016,07-28,07-29,3.117445232998386,0.7155854715826273,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-29
0,2016,08-22,08-23,1.662051765377086,1.600653578483774,L,100%,Low,High,pos_change,16_Sep_m1,08-22,09-16
0,2016,10-13,10-19,1.7915286174908451,7.591862221260398,W,100%,Low,High,pos_change,16_Oct_m1,10-11,10-21
0,2016,10-18,10-19,3.33923904049126,5.336700952459045,W,90%,Low,High,pos_change,16_Oct_m1,10-16,10-19
0,2016,10-27,11-11,3.619907910833007,7.024300369367406,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-15
0,2016,10-26,10-27,4.941536031857026,2.0879633543951432,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,12-01,12-12,1.976286837243028,6.693016893706588,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-15
0,2016,11-21,11-22,3.0032375198526475,2.649853058829001,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-23
0,2017,01-09,01-13,1.7594408547863278,6.619565926538068,W,100%,Low,High,pos_change,17_Jan_m1,01-06,01-14
0,2017,01-05,01-06,2.9124715602476785,4.430632472354455,W,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-31,02-13,2.709353754166337,4.616388940406868,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-15
0,2017,03-06,03-07,2.2556371835537914,1.7949622428189955,L,100%,Low,High,pos_change,17_Mar_m1,03-03,03-16
0,2017,03-02,03-03,3.26530436853892,0.7334582359146429,L,90%,Low,High,pos_change,17_Mar_m1,03-02,03-05
0,2017,04-13,04-20,3.010526527654778,5.216170007165504,W,100%,Low,High,pos_change,17_Apr_m1,04-12,04-21
0,2017,04-28,05-10,2.234643778473507,2.82887831981286,W,100%,Low,High,pos_change,17_May_m1,04-26,05-12
0,2017,04-24,04-25,3.1515632058529857,2.3887024368025074,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,05-31,06-01,1.7986244651748866,3.11122058255442,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-14
0,2017,07-11,07-19,2.2840117903164816,3.1809433790045105,W,100%,Low,High,pos_change,17_Jul_m1,07-10,07-21
0,2017,06-26,06-27,4.05156306147461,1.0991804148471536,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,07-26,08-07,2.3122082535731026,5.527461118208653,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-18
0,2017,08-24,09-01,1.4640849597638734,1.877600654417588,W,100%,Low,High,pos_change,17_Sep_m1,08-24,09-04
0,2017,08-30,08-31,2.307699424928112,1.9131846633511935,L,90%,Low,High,pos_change,17_Sep_m1,08-30,08-31
0,2017,10-11,10-20,1.7372396374586705,1.8292629326506824,W,100%,Low,High,pos_change,17_Oct_m1,10-11,10-20
0,2017,09-18,09-19,3.540480599466489,1.7725789802711347,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-19
0,2017,10-25,10-26,3.619907910833007,3.5917243239833003,L,100%,Low,High,pos_change,17_Nov_m1,10-25,11-15
0,2017,10-25,10-26,4.941536031857026,3.5917243239833003,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-26
0,2017,11-20,12-08,3.0032375198526475,5.042905120015658,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-13
0,2017,11-20,11-21,3.529992844096548,0.7839838229975925,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-08,01-12,1.7594408547863278,2.419426764203127,W,100%,Low,High,pos_change,18_Jan_m1,01-06,01-14
0,2018,01-05,01-08,2.9124715602476785,0.8926788658544891,L,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,02-02,02-05,2.709353754166337,1.632967681069848,L,100%,Low,High,pos_change,18_Feb_m1,01-31,02-15
0,2018,01-29,01-30,4.1540249410558205,3.8268171288721695,L,90%,Low,High,pos_change,18_Feb_m1,01-29,01-30
0,2018,03-05,03-09,1.7039395165984697,6.100576872987885,W,100%,Low,High,pos_change,18_Mar_m1,03-04,03-15
0,2018,03-01,03-02,2.377172734941804,0.9445578007330592,L,90%,Low,High,pos_change,18_Mar_m1,02-28,03-02
0,2018,04-04,04-05,2.8797784266904203,4.436679021556716,W,100%,Low,High,pos_change,18_Apr_m1,04-02,04-20
0,2018,04-27,05-09,2.234643778473507,10.36301351078987,W,100%,Low,High,pos_change,18_May_m1,04-26,05-12
0,2018,04-24,04-27,2.741939250054668,5.524142342596249,W,90%,Low,High,pos_change,18_May_m1,04-24,04-27
0,2018,05-31,06-07,1.7986244651748866,4.004173429167633,W,100%,Low,High,pos_change,18_Jun_m1,05-31,06-14
0,2018,07-11,07-20,1.7997484251326756,11.340340409208228,W,100%,Low,High,pos_change,18_Jul_m1,07-11,07-20
0,2018,06-26,06-27,4.05156306147461,2.1912955082463914,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-03,08-17,2.105778136598915,3.3991954167082903,W,100%,Low,High,pos_change,18_Aug_m1,08-03,08-17
0,2018,08-03,08-06,3.271628242386159,1.718004126370639,L,90%,Low,High,pos_change,18_Aug_m1,08-03,08-06
0,2018,08-24,08-29,1.4640849597638734,3.823248117526844,W,100%,Low,High,pos_change,18_Sep_m1,08-24,09-04
0,2018,08-23,08-24,3.1292573995714377,1.258543746754215,L,90%,Low,High,pos_change,18_Sep_m1,08-23,08-24
0,2018,10-04,10-05,1.6129033896148202,1.3950843490883027,L,100%,Low,High,pos_change,18_Oct_m1,10-04,10-11
0,2018,09-24,09-26,3.0157785555850047,2.018147925487974,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-26
0,2018,10-26,11-08,3.551733142177792,8.653002268454278,W,100%,Low,High,pos_change,18_Nov_m1,10-23,11-13
