,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.87040566450681,3.0493759572517565,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-15
0,2016,01-04,01-05,3.5151106309182083,3.0493759572517565,L,90%,Low,High,pos_change,16_Jan_m1,01-03,01-06
0,2016,01-21,02-18,1.9177200642445484,8.422174330646202,W,100%,Low,High,pos_change,16_Feb_m1,01-21,02-18
0,2016,01-19,01-20,3.350515463917526,0.3107269546891589,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,02-25,03-04,1.4367816091954022,6.408999176686078,W,100%,Low,High,pos_change,16_Mar_m1,02-25,03-05
0,2016,02-24,02-25,2.636532353940332,3.7294877038140894,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,04-07,04-08,0.5645725001786878,2.7514686885537145,W,100%,Low,High,pos_change,16_Apr_m1,04-05,04-13
0,2016,03-28,03-29,3.238863298842639,4.1360276151822495,W,90%,Low,High,pos_change,16_Apr_m1,03-27,03-29
0,2016,04-29,05-10,2.844441731770833,8.940085523048594,W,100%,Low,High,pos_change,16_May_m1,04-28,05-10
0,2016,04-26,04-27,4.200000762939453,0.8562353408571172,L,90%,Low,High,pos_change,16_May_m1,04-26,04-27
0,2016,05-26,06-03,1.680672268907563,5.22678622790452,W,100%,Low,High,pos_change,16_Jun_m1,05-26,06-07
0,2016,05-25,05-26,2.73972602739726,1.3310410208516028,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-01,2.9535864978902957,7.074342227737422,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-06
0,2016,06-27,06-28,4.100946372239748,4.556352393249846,W,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,07-28,07-29,2.3391812865497075,6.151594060889191,W,100%,Low,High,pos_change,16_Aug_m1,07-28,08-18
0,2016,07-28,07-29,2.81919472142679,6.151594060889191,W,90%,Low,Close,pos_change,16_Aug_m1,07-28,07-31
0,2016,08-26,09-02,2.5739282993605577,4.369995640742746,W,100%,Low,High,pos_change,16_Sep_m1,08-24,09-02
0,2016,08-23,08-24,3.973867767481234,0.6421633728782108,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,10-06,10-07,1.2777440182910502,3.613978698900404,W,100%,Low,High,pos_change,16_Oct_m1,10-03,10-15
0,2016,09-29,09-30,4.644808743169399,2.128440086994696,L,90%,Open,High,pos_change,16_Oct_m1,09-29,09-30
0,2016,10-28,10-31,2.4,3.716878579201047,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-04
0,2016,10-24,10-25,4.098360655737705,1.042070472225956,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-05,12-09,1.6866703180360012,5.457406103141359,W,100%,Low,High,pos_change,16_Dec_m1,12-03,12-16
0,2016,11-21,11-22,2.6567219615527238,2.0156305301636874,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-05,1.87040566450681,3.647420223983025,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-15
0,2017,01-27,02-03,1.6997436834048985,3.7696763480546314,W,100%,Low,Open,pos_change,17_Feb_m1,01-24,02-05
0,2017,01-25,01-26,2.948720279085865,1.0408579215738554,L,90%,Low,High,pos_change,17_Feb_m1,01-24,01-27
0,2017,03-01,03-03,1.9455252340732316,3.064828117540637,W,100%,Low,High,pos_change,17_Mar_m1,02-26,03-17
0,2017,02-21,02-22,3.762379259166151,1.9514128204208896,L,90%,Low,High,pos_change,17_Mar_m1,02-21,02-22
0,2017,04-10,04-18,1.66741290211726,3.848970713459539,W,100%,Low,High,pos_change,17_Apr_m1,04-10,04-19
0,2017,05-01,05-08,2.844441731770833,2.062227595553752,L,100%,Low,High,pos_change,17_May_m1,04-28,05-10
0,2017,04-26,04-27,4.200000762939453,3.2258032940497365,L,90%,Low,High,pos_change,17_May_m1,04-26,04-27
0,2017,05-26,06-02,1.96078431372549,2.4518416169720494,W,100%,Low,High,pos_change,17_Jun_m1,05-26,06-08
0,2017,05-24,05-25,3.991509828069726,0.6583458859693693,L,90%,Low,High,pos_change,17_Jun_m1,05-24,05-25
0,2017,06-23,07-18,3.2058474286356096,2.326412333950935,L,100%,Low,High,pos_change,17_Jul_m1,06-22,07-18
0,2017,06-26,06-27,5.195905601734355,0.5738944030740879,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,07-31,08-16,2.3391812865497075,2.602883444160373,W,100%,Low,High,pos_change,17_Aug_m1,07-28,08-18
0,2017,07-28,07-31,2.6154771211028445,0.6601758935924817,L,90%,Low,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,08-25,08-31,2.5739282993605577,2.0129654156884538,L,100%,Low,High,pos_change,17_Sep_m1,08-24,09-02
0,2017,08-24,08-25,3.530213672258707,0.8526603090112987,L,90%,Low,High,pos_change,17_Sep_m1,08-24,08-27
0,2017,10-06,10-10,1.2777440182910502,2.3759551987677807,W,100%,Low,High,pos_change,17_Oct_m1,10-03,10-15
0,2017,09-21,09-22,4.257533664142901,0.8873728179247552,L,90%,Low,High,pos_change,17_Oct_m1,09-21,09-24
0,2017,10-30,11-03,2.4,2.6093080225395338,W,100%,Low,High,pos_change,17_Nov_m1,10-27,11-04
0,2017,10-25,10-26,2.971255151490208,3.7894734165124726,W,90%,Low,Close,pos_change,17_Nov_m1,10-25,10-28
0,2017,11-24,11-28,1.6616602252018275,0.961210761113318,L,100%,Low,High,pos_change,17_Dec_m1,11-22,12-10
0,2017,11-21,11-22,2.6567219615527238,1.38264643729959,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-03,01-04,1.87040566450681,2.290070445226118,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-18
0,2018,01-02,01-03,2.34375,0.1862862771098978,L,90%,Low,High,pos_change,18_Jan_m1,01-01,01-03
0,2018,01-25,02-01,1.6997436834048985,6.449105913647792,W,100%,Low,High,pos_change,18_Feb_m1,01-24,02-05
0,2018,02-28,03-05,1.4367816091954022,1.4539604483994797,W,100%,Low,High,pos_change,18_Mar_m1,02-25,03-05
0,2018,02-20,02-21,3.5742637316222647,0.3143415375552812,L,90%,Low,High,pos_change,18_Mar_m1,02-19,02-21
0,2018,03-23,04-18,3.70106403580168,5.791356782398826,W,100%,Low,High,pos_change,18_Apr_m1,03-20,04-20
0,2018,03-19,03-20,4.471538327781519,1.4671856127880438,L,90%,Low,High,pos_change,18_Apr_m1,03-19,03-21
0,2018,04-30,05-11,2.499089501831773,7.732341833466908,W,100%,Low,High,pos_change,18_May_m1,04-29,05-15
0,2018,04-26,04-27,4.200000762939453,3.5181647790236283,L,90%,Low,High,pos_change,18_May_m1,04-26,04-27
0,2018,05-29,06-04,1.96078431372549,3.997114456988087,W,100%,Low,High,pos_change,18_Jun_m1,05-26,06-07
0,2018,06-22,07-06,3.2058474286356096,3.041954266715493,L,100%,Low,High,pos_change,18_Jul_m1,06-22,07-19
0,2018,06-26,06-27,5.0417098477856905,1.3176115074760262,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-02,08-06,1.749271137026239,1.3058390233169106,L,100%,Low,High,pos_change,18_Aug_m1,08-02,08-16
0,2018,07-30,07-31,2.392878806935871,3.0942304649846277,W,90%,Low,High,pos_change,18_Aug_m1,07-29,07-31
