,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-05,01-14,0.8240379117840332,4.883990179342489,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-14
0,2016,01-04,01-05,1.5771679969002823,2.142309821634031,W,90%,Low,High,pos_change,16_Jan_m1,01-02,01-05
0,2016,02-05,02-08,2.2490910261610595,3.2572984986927414,W,100%,Low,High,pos_change,16_Feb_m1,02-04,02-19
0,2016,03-03,03-11,1.3157897840906652,7.54236748247221,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-12
0,2016,02-22,02-25,2.074107129053837,2.774825705413569,W,90%,Low,High,pos_change,16_Mar_m1,02-22,02-25
0,2016,03-28,04-01,1.6222229725873365,2.57563873725331,W,100%,Open,High,pos_change,16_Apr_m1,03-28,04-03
0,2016,03-30,03-31,3.3018934544233955,0.7534682334991649,L,90%,Low,Open,pos_change,16_Apr_m1,03-30,03-31
0,2016,04-22,04-29,1.6129084730000025,4.823376183427439,W,100%,Low,High,pos_change,16_May_m1,04-22,04-30
0,2016,06-09,06-14,1.4447783921447108,1.79967794882905,W,100%,Low,High,pos_change,16_Jun_m1,06-09,06-17
0,2016,05-25,05-26,3.025932162159872,1.7428703203757396,L,90%,Open,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-06,1.14167611521456,5.3376700792265535,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-07
0,2016,07-21,07-22,1.7094031539715802,2.8259098830893263,W,100%,Low,High,pos_change,16_Aug_m1,07-20,08-03
0,2016,08-24,08-26,1.2820515767435356,1.96161877774539,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-04
0,2016,09-01,09-02,2.4944756339146754,1.543982676421187,L,90%,Low,Open,pos_change,16_Sep_m1,08-31,09-02
0,2016,09-29,09-30,3.322259861811097,2.033135427508501,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-18
0,2016,09-27,09-28,3.6866364456856178,0.600317247423061,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-27,10-31,2.007801596097091,3.7283792033494834,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-05
0,2016,10-31,11-01,3.087175319158263,1.9432876104122296,L,90%,Low,High,pos_change,16_Nov_m1,10-30,11-02
0,2016,12-05,12-14,1.5358304029287668,6.569966425049918,W,100%,Low,High,pos_change,16_Dec_m1,12-04,12-15
0,2016,12-05,12-06,1.979707886021464,2.2717589885369405,W,90%,Low,High,pos_change,16_Dec_m1,12-04,12-06
0,2017,01-12,01-17,1.183053030000642,1.66564907943089,W,100%,Low,Open,pos_change,17_Jan_m1,01-12,01-18
0,2017,01-10,01-13,1.808909978625008,1.9157558627983269,W,90%,Low,High,pos_change,17_Jan_m1,01-10,01-13
0,2017,02-01,02-02,1.4124310018358603,2.253551061478673,W,100%,Low,High,pos_change,17_Feb_m1,01-31,02-08
0,2017,02-06,02-07,2.099449632524676,0.7762186201092977,L,90%,Low,High,pos_change,17_Feb_m1,02-04,02-07
0,2017,03-03,03-06,1.3157897840906652,1.4730769851919605,W,100%,Low,High,pos_change,17_Mar_m1,03-03,03-12
0,2017,02-22,02-24,2.074107129053837,3.108808809237291,W,90%,Low,High,pos_change,17_Mar_m1,02-22,02-25
0,2017,03-29,04-18,2.4484561709223334,3.87397207128358,W,100%,Low,High,pos_change,17_Apr_m1,03-26,04-20
0,2017,04-24,04-27,2.2500624893200856,2.152925959470904,L,100%,Low,High,pos_change,17_May_m1,04-24,05-06
0,2017,04-24,04-26,2.981028866623218,1.5253909436349655,L,90%,Low,High,pos_change,17_May_m1,04-24,04-26
0,2017,06-09,06-16,1.0677995265019848,2.743138779034357,W,100%,Low,High,pos_change,17_Jun_m1,06-07,06-16
0,2017,05-25,05-26,3.025932162159872,1.4684013770397344,L,90%,Open,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-30,07-03,1.6548474629720051,0.5863959629816192,L,100%,Low,High,pos_change,17_Jul_m1,06-30,07-15
0,2017,06-26,06-27,2.9641211479755807,0.7554858038343515,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-02,08-09,1.3816217388840286,3.3911051782875776,W,100%,Low,High,pos_change,17_Aug_m1,07-31,08-15
0,2017,07-26,07-28,1.936422047176848,1.5784450474654506,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-21,09-01,1.7902778116815743,1.891395876766724,W,100%,Low,High,pos_change,17_Sep_m1,08-21,09-04
0,2017,10-03,10-20,2.1552167867842,5.7715896960725095,W,100%,Low,High,pos_change,17_Oct_m1,09-30,10-20
0,2017,09-20,09-21,3.874423398105171,1.005811770504179,L,90%,Low,High,pos_change,17_Oct_m1,09-18,09-21
0,2017,10-27,11-03,2.007801596097091,1.964526192554696,L,100%,Low,High,pos_change,17_Nov_m1,10-27,11-05
0,2017,10-31,11-01,2.990350192203553,1.7596666708623236,L,90%,Low,High,pos_change,17_Nov_m1,10-30,11-02
0,2017,12-05,12-12,1.5358304029287668,2.693398999397878,W,100%,Low,High,pos_change,17_Dec_m1,12-04,12-15
0,2017,11-21,11-22,2.643758738770997,0.5877684541643352,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-12,01-16,1.183053030000642,1.3950791614257003,W,100%,Low,Open,pos_change,18_Jan_m1,01-12,01-18
0,2018,01-30,02-01,1.8509006019376308,2.446772351674497,W,100%,Low,High,pos_change,18_Feb_m1,01-30,02-09
0,2018,01-26,01-29,2.2872178350958494,0.52626671608557,L,90%,Low,High,pos_change,18_Feb_m1,01-26,01-29
0,2018,03-05,03-06,1.8501799531930556,2.2749909321483184,W,100%,Low,High,pos_change,18_Mar_m1,03-03,03-15
0,2018,02-20,02-21,2.456136671985976,1.195448987122134,L,90%,Low,High,pos_change,18_Mar_m1,02-19,02-21
0,2018,03-26,04-02,2.4484561709223334,4.095123889141196,W,100%,Low,High,pos_change,18_Apr_m1,03-26,04-20
0,2018,04-25,04-27,2.5390986908467457,4.146650390301461,W,100%,Low,High,pos_change,18_May_m1,04-23,05-18
0,2018,04-24,04-25,2.670086003179592,2.329207455637503,L,90%,Low,High,pos_change,18_May_m1,04-23,04-25
0,2018,05-23,05-29,1.2022433381327424,2.7318068353757674,W,100%,Low,High,pos_change,18_Jun_m1,05-23,05-29
0,2018,05-23,05-24,2.164499476534981,2.1535360010239057,L,90%,Low,High,pos_change,18_Jun_m1,05-23,05-24
0,2018,07-02,07-19,1.413130651776554,4.184794436804808,W,100%,Low,High,pos_change,18_Jul_m1,06-30,07-20
0,2018,06-28,06-29,2.4844802115319387,0.7143505564564709,L,90%,Low,High,pos_change,18_Jul_m1,06-28,06-29
0,2018,08-01,08-15,1.3816217388840286,6.182368429976635,W,100%,Low,High,pos_change,18_Aug_m1,07-31,08-15
0,2018,07-23,07-24,2.1377669118133293,1.1436649438597912,L,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,08-24,09-06,2.2814463680717165,3.2890549762666934,W,100%,Low,High,pos_change,18_Sep_m1,08-22,09-21
0,2018,09-27,10-10,1.998288599674674,7.922189049244138,W,100%,Low,High,pos_change,18_Oct_m1,09-27,10-13
0,2018,10-01,10-02,3.7891963063057,2.524970244646835,L,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,10-30,11-06,2.007801596097091,1.815920524433032,L,100%,Low,High,pos_change,18_Nov_m1,10-27,11-06
0,2018,11-01,11-02,2.990350192203553,1.4678110493168302,L,90%,Low,High,pos_change,18_Nov_m1,10-30,11-02
0,2018,12-06,12-12,1.5358304029287668,3.128737299790316,W,100%,Low,High,pos_change,18_Dec_m1,12-04,12-15
