,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.063725399058414,2.4234256228885136,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-08
0,2016,02-09,02-17,1.91583754624079,8.169453623828076,W,100%,Low,High,pos_change,16_Feb_m1,02-06,02-18
0,2016,02-29,03-04,1.6343744661191242,4.456362319675118,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-14
0,2016,02-24,02-25,3.9662724534900606,5.140944588951489,W,90%,Open,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,03-31,1.6528925619834711,3.960395693350943,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-02
0,2016,03-23,03-24,3.312193664040355,0.9032003086003412,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-24
0,2016,04-28,05-12,2.36346658104752,2.6680595461291983,W,100%,Low,High,pos_change,16_May_m1,04-25,05-15
0,2016,04-28,04-29,3.3743532488995065,0.5929028604940394,L,90%,Low,High,pos_change,16_May_m1,04-28,05-01
0,2016,06-01,06-08,2.191444565106462,4.800820821216372,W,100%,Low,High,pos_change,16_Jun_m1,05-29,06-17
0,2016,05-24,05-25,2.959504075071344,3.894977819236144,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-25
0,2016,06-29,07-12,1.48907547590176,4.448279019059806,W,100%,Low,High,pos_change,16_Jul_m1,06-29,07-13
0,2016,06-23,06-24,3.1360220693169816,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-29,08-09,2.0966300052341684,4.957063005526041,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-14
0,2016,07-21,07-22,3.228238588162665,1.440848567640323,L,90%,Low,High,pos_change,16_Aug_m1,07-20,07-23
0,2016,08-25,09-02,1.860693292138484,2.423738448512029,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-02
0,2016,09-28,09-30,2.733261843986353,1.7504363197078128,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-12
0,2016,09-20,09-21,5.2310689220064575,1.2034789933783945,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,10-27,11-10,2.898252421764208,2.040991109243412,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-14
0,2016,10-24,10-25,3.653891606845214,0.3615997963217714,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
