,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-11,1.1578299819710416,6.27067220890621,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-12
0,2016,01-04,01-07,1.5834348355663823,3.923109840680647,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-21,01-22,1.3109835081770451,3.2024212149730675,W,100%,Low,High,pos_change,16_Feb_m1,01-20,01-25
0,2016,01-19,01-20,2.127663237565546,2.069477449077881,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,02-26,03-04,1.327433628318584,1.852647977313396,W,100%,Low,Close,pos_change,16_Mar_m1,02-24,03-04
0,2016,03-02,03-03,1.9791682561238608,3.199875414800936,W,90%,Low,High,pos_change,16_Mar_m1,02-28,03-03
0,2016,03-30,04-01,1.1669306498467895,1.5382669417501829,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-05
0,2016,03-21,03-22,3.0667843254940235,1.7269275929106749,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-21,05-03,1.9471488178025036,7.309483845003243,W,100%,Close,High,pos_change,16_May_m1,04-21,05-03
0,2016,04-21,04-22,2.4592047844303724,1.7531426621203117,L,90%,Low,High,pos_change,16_May_m1,04-21,04-24
0,2016,06-07,06-15,1.1849538590645246,5.27729319290412,W,100%,Low,High,pos_change,16_Jun_m1,06-05,06-17
0,2016,05-25,05-26,2.708951709361156,2.002801505063663,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-23,06-27,1.6967560552197538,4.954126642344598,W,100%,Low,High,pos_change,16_Jul_m1,06-23,06-29
0,2016,06-21,06-22,2.960823431141994,0.7418107123694295,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,07-21,07-25,1.8665214676971928,3.7401077893063817,W,100%,Low,High,pos_change,16_Aug_m1,07-21,08-11
0,2016,07-19,07-20,3.489645238966456,0.7626776256338352,L,90%,Low,High,pos_change,16_Aug_m1,07-19,07-20
0,2016,09-02,09-06,1.2987085515337249,2.3975263840513983,W,100%,Low,High,pos_change,16_Sep_m1,09-02,09-15
0,2016,08-24,08-25,1.7328861285844748,1.666008438435485,L,90%,Low,High,pos_change,16_Sep_m1,08-24,08-25
0,2016,09-26,09-27,2.5455194605508726,1.570684963964238,L,100%,Low,High,pos_change,16_Oct_m1,09-25,10-19
0,2016,11-02,11-08,1.8744721950907544,3.645838398421084,W,100%,Low,High,pos_change,16_Nov_m1,10-31,11-10
0,2016,10-24,10-25,2.531646648264469,1.3888918031851252,L,90%,Low,Close,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-01,12-14,1.8445804357433293,6.945453638208837,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-14
0,2016,11-28,11-29,2.894732826634457,3.4473050063402235,W,90%,Low,High,pos_change,16_Dec_m1,11-28,12-01
0,2017,01-03,01-04,1.1578299819710416,2.0071475492850617,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-12
0,2017,01-11,01-12,1.6952809388407573,1.836754777511652,W,90%,Low,High,pos_change,17_Jan_m1,01-11,01-12
0,2017,02-03,02-09,1.199570490865443,2.0286718291477945,W,100%,Low,High,pos_change,17_Feb_m1,02-03,02-10
0,2017,01-27,01-30,1.8685153444112967,0.8776733484902859,L,90%,Low,High,pos_change,17_Feb_m1,01-27,01-30
0,2017,02-21,03-15,2.315688916122991,6.678502196290292,W,100%,Close,High,pos_change,17_Mar_m1,02-20,03-15
0,2017,04-11,04-18,1.5751824897099815,2.561122001631078,W,100%,Low,High,pos_change,17_Apr_m1,04-11,04-21
0,2017,03-21,03-22,3.0667843254940235,3.0374720130144124,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,05-01,05-05,1.6625923711653667,1.8281103247108037,W,100%,Low,High,pos_change,17_May_m1,04-29,05-10
0,2017,04-24,04-25,2.6075198551399508,1.158207541865781,L,90%,Low,High,pos_change,17_May_m1,04-24,04-25
0,2017,06-08,06-15,1.1633938970761548,2.158097365241246,W,100%,Low,High,pos_change,17_Jun_m1,06-08,06-15
0,2017,05-25,05-26,2.708951709361156,1.3405534374781842,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-23,06-26,1.6967560552197538,1.0151659381854143,L,100%,Low,High,pos_change,17_Jul_m1,06-23,06-29
0,2017,06-21,06-22,2.983081494233625,0.6046261356921535,L,90%,Low,High,pos_change,17_Jul_m1,06-21,06-22
0,2017,08-02,08-09,1.7512141602184566,2.446746316367721,W,100%,Low,High,pos_change,17_Aug_m1,08-02,08-12
0,2017,07-26,07-27,3.04826293025732,1.3047823927393405,L,90%,Low,High,pos_change,17_Aug_m1,07-26,07-27
0,2017,09-05,09-11,1.2987085515337249,2.6936854530728134,W,100%,Low,High,pos_change,17_Sep_m1,09-02,09-15
0,2017,08-22,08-24,1.7159971577136863,1.476417468465901,L,90%,Low,High,pos_change,17_Sep_m1,08-22,08-24
0,2017,09-22,10-19,2.069998310006099,4.020591696099095,W,100%,Low,High,pos_change,17_Oct_m1,09-21,10-19
0,2017,11-01,11-08,1.8744721950907544,3.2954207794222685,W,100%,Low,High,pos_change,17_Nov_m1,10-31,11-10
0,2017,10-24,10-25,2.531646648264469,0.352364404402718,L,90%,Low,Close,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-04,12-11,1.8445804357433293,1.5854969967144354,L,100%,Low,High,pos_change,17_Dec_m1,12-01,12-14
0,2017,11-29,12-01,3.0670772264086814,2.4008213613972704,L,90%,Low,High,pos_change,17_Dec_m1,11-28,12-01
0,2018,01-05,01-08,1.1578299819710416,2.3201344084097903,W,100%,Low,High,pos_change,18_Jan_m1,01-02,01-12
0,2018,01-04,01-05,1.6284971536017114,0.8341515372641002,L,90%,Low,High,pos_change,18_Jan_m1,01-04,01-07
0,2018,02-06,02-09,1.199570490865443,3.929194471190467,W,100%,Low,High,pos_change,18_Feb_m1,02-03,02-10
0,2018,01-29,01-30,1.8685153444112967,1.0112540078189962,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-21,02-26,2.315688916122991,3.4190324176475806,W,100%,Close,High,pos_change,18_Mar_m1,02-19,03-15
0,2018,02-20,02-21,2.751485783850169,1.5548824807827524,L,90%,Low,High,pos_change,18_Mar_m1,02-20,02-21
0,2018,04-12,04-18,1.328529958601816,4.101489100958043,W,100%,Low,High,pos_change,18_Apr_m1,04-11,04-20
0,2018,03-21,03-22,3.0667843254940235,2.4760897999605387,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-22
0,2018,05-02,05-04,1.6625923711653667,1.0631518987207318,L,100%,Low,High,pos_change,18_May_m1,04-29,05-10
0,2018,04-24,04-25,2.0873099096581416,1.495803980743429,L,90%,Low,High,pos_change,18_May_m1,04-24,04-25
0,2018,06-11,06-15,1.1633938970761548,3.550875479714912,W,100%,Low,High,pos_change,18_Jun_m1,06-08,06-15
0,2018,06-27,07-13,1.3387899535994343,3.2801847514383136,W,100%,Low,Close,pos_change,18_Jul_m1,06-27,07-19
0,2018,06-21,06-22,2.781641168289291,1.6726882695690697,L,90%,Open,High,pos_change,18_Jul_m1,06-21,06-22
0,2018,08-02,08-10,1.7512141602184566,3.268912170413901,W,100%,Low,High,pos_change,18_Aug_m1,08-02,08-12
0,2018,07-26,07-27,3.04826293025732,1.4515156133087612,L,90%,Low,High,pos_change,18_Aug_m1,07-26,07-27
0,2018,09-04,09-06,1.2987085515337249,3.149513749122803,W,100%,Low,High,pos_change,18_Sep_m1,09-02,09-15
0,2018,08-22,08-23,3.0373875987508856,1.2336274381097732,L,90%,Low,High,pos_change,18_Sep_m1,08-21,08-24
0,2018,09-27,10-10,1.5445662300639071,6.553630610392651,W,100%,Low,High,pos_change,18_Oct_m1,09-25,10-15
0,2018,10-01,10-02,2.840237129056977,2.412193198725664,L,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,11-02,11-09,1.8744721950907544,7.209524968284814,W,100%,Low,High,pos_change,18_Nov_m1,10-31,11-10
0,2018,10-23,10-24,2.531646648264469,3.556381247044263,W,90%,Low,Close,pos_change,18_Nov_m1,10-22,10-25
0,2018,12-03,12-13,1.8445804357433293,5.969586550481001,W,100%,Low,High,pos_change,18_Dec_m1,12-02,12-14
0,2018,11-29,11-30,3.289473684210526,2.747957035508182,L,90%,Low,High,pos_change,18_Dec_m1,11-28,12-01
0,2019,01-02,01-10,1.1578299819710416,2.527074965252541,W,100%,Low,High,pos_change,19_Jan_m1,01-02,01-12
0,2019,01-03,01-04,1.6284971536017114,2.311602674488258,W,90%,Low,High,pos_change,19_Jan_m1,01-03,01-06
0,2019,01-22,01-25,1.40611611551286,2.550946396006592,W,100%,Low,High,pos_change,19_Feb_m1,01-21,01-30
0,2019,01-24,01-25,1.9853308781888277,2.1480018630312308,W,90%,Low,High,pos_change,19_Feb_m1,01-24,01-27
0,2019,02-21,03-12,2.315688916122991,8.499809920407325,W,100%,Close,High,pos_change,19_Mar_m1,02-21,03-12
0,2019,02-20,02-21,2.751485783850169,2.4430749875405096,L,90%,Low,High,pos_change,19_Mar_m1,02-20,02-21
0,2019,04-01,04-05,1.1669306498467895,1.543977545199709,W,100%,Low,High,pos_change,19_Apr_m1,03-30,04-05
