,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.4811474859585132,2.233500879580832,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-07,01-08,1.899562975362596,0.7513799886945056,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-08
0,2016,01-22,02-01,3.421994462957564,3.5483563182547044,W,100%,Low,High,pos_change,16_Feb_m1,01-22,02-13
0,2016,01-28,01-29,5.289547863214842,4.141661604796769,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,03-14,03-18,1.706415685007313,5.124630123010509,W,100%,Low,High,pos_change,16_Mar_m1,03-13,03-18
0,2016,03-28,04-01,1.3215859030837005,5.301122412440453,W,100%,Low,High,pos_change,16_Apr_m1,03-27,04-07
0,2016,04-22,04-28,2.669514213668266,6.574489371627555,W,100%,Low,High,pos_change,16_May_m1,04-20,05-03
0,2016,04-18,04-19,4.894302059516792,1.494603332124055,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,05-27,1.98019801980198,3.7647670900755417,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-04
0,2016,05-25,05-26,3.345070422535211,0.5294005549073463,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-08,2.530510480082885,12.384578347513903,W,100%,Low,High,pos_change,16_Jul_m1,06-25,07-10
0,2016,06-23,06-24,3.4420022981055363,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-21,07-26,2.3853794513075384,1.912207917359121,L,100%,Low,High,pos_change,16_Aug_m1,07-21,08-10
0,2016,07-25,07-26,3.699009473825011,1.1968932723568024,L,90%,Low,High,pos_change,16_Aug_m1,07-23,07-26
0,2016,08-30,09-07,1.9382865441877384,3.5189764845160414,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-09
0,2016,09-01,09-02,3.7446821496841753,2.243685004641583,L,90%,Low,High,pos_change,16_Sep_m1,09-01,09-03
0,2016,09-29,09-30,2.672703676132198,1.5877798329765984,L,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,10-04,10-05,4.6957447843636215,0.7984915695621468,L,90%,Low,High,pos_change,16_Oct_m1,10-04,10-05
0,2016,10-27,11-08,4.791671648772148,3.8815968709465145,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-18
0,2016,10-24,10-25,6.423137620581018,1.9938504375478523,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-22,11-23,2.4853801169590644,0.7263945653891746,L,100%,Low,High,pos_change,16_Dec_m1,11-21,12-15
0,2016,11-21,11-22,3.4220532319391634,0.3794745750209522,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-04,01-09,1.4811474859585132,2.945909961775525,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-15
0,2017,01-03,01-04,2.857144230983453,1.0750904105554708,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-24,02-10,3.421994462957564,12.966119083638649,W,100%,Low,High,pos_change,17_Feb_m1,01-23,02-13
0,2017,02-27,03-02,1.3450265327804625,3.2587594825594604,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-05
0,2017,03-27,04-21,1.8383965804521447,2.924510313400562,W,100%,Low,High,pos_change,17_Apr_m1,03-24,04-21
0,2017,03-21,03-22,3.7971099966684903,2.852017318053127,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
