,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.041671594299374,1.665517476048595,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-10
0,2016,01-20,01-29,2.0941304557294997,7.039832341964019,W,100%,Low,High,pos_change,16_Feb_m1,01-19,01-29
0,2016,01-19,01-20,2.806904753961334,1.8618795531974623,L,90%,Low,High,pos_change,16_Feb_m1,01-18,01-20
0,2016,03-03,03-11,1.7543859649122806,6.628505133980473,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-13
0,2016,02-25,02-26,3.4076543977424443,1.5802683640407735,L,90%,Low,High,pos_change,16_Mar_m1,02-25,02-26
0,2016,03-23,04-01,2.1631279336983047,2.418680039150558,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-11
0,2016,03-28,03-30,2.9691211132391966,2.2762518090552377,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-31
0,2016,04-21,05-05,2.962169557981152,8.181953907008372,W,100%,Low,High,pos_change,16_May_m1,04-18,05-19
0,2016,06-10,06-13,1.6792075037906762,1.3336903684920556,L,100%,Low,High,pos_change,16_Jun_m1,06-10,06-17
0,2016,05-25,05-27,3.606998916687632,2.8468226988168484,L,90%,Low,Open,pos_change,16_Jun_m1,05-25,05-27
0,2016,06-24,07-06,2.2471956014182424,7.526297234169892,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-13
0,2016,06-23,06-24,2.6488284637835373,2.697919843848467,W,90%,Low,High,pos_change,16_Jul_m1,06-23,06-25
0,2016,08-08,08-12,2.941175123685721,2.184690041661545,L,100%,Low,High,pos_change,16_Aug_m1,08-05,08-14
0,2016,08-26,09-06,1.7391287521814438,3.8182800755327047,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-10
0,2016,08-24,08-25,3.314245726205354,1.2411397516326144,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-26
0,2016,09-29,09-30,4.57836169171267,1.7716246080233564,L,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,09-26,09-27,5.818707074199764,1.3549472489383911,L,90%,Low,High,pos_change,16_Oct_m1,09-25,09-28
0,2016,10-27,10-31,2.048740100975541,4.133747769063988,W,100%,Low,High,pos_change,16_Nov_m1,10-26,11-05
0,2016,10-24,10-25,3.7755089628354095,1.4289786811963383,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-01,12-09,1.5340800932581853,3.8387691499426575,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-09
0,2017,01-11,01-18,1.1677245837191397,2.6452754488401697,W,100%,Low,High,pos_change,17_Jan_m1,01-11,01-19
0,2017,02-14,02-17,1.9509035858961503,2.1245377406307484,W,100%,Low,High,pos_change,17_Feb_m1,02-11,02-17
0,2017,01-30,01-31,2.4173643811166654,2.172393952215716,L,90%,Low,High,pos_change,17_Feb_m1,01-30,02-02
0,2017,02-21,03-02,1.984961947104088,6.191538297327471,W,100%,Low,Open,pos_change,17_Mar_m1,02-20,03-08
0,2017,03-23,03-27,2.418680039150558,2.250441155297888,L,100%,Low,High,pos_change,17_Apr_m1,03-22,04-11
0,2017,04-24,04-25,2.614265041206261,1.3249969482421875,L,100%,Low,High,pos_change,17_May_m1,04-24,05-19
0,2017,04-26,04-27,3.172762673001997,1.111526655477142,L,90%,Low,High,pos_change,17_May_m1,04-26,04-27
0,2017,05-31,06-02,1.6196519497209332,2.7288475233095406,W,100%,Low,High,pos_change,17_Jun_m1,05-31,06-08
0,2017,05-25,05-26,3.606998916687632,1.595333569614648,L,90%,Low,Open,pos_change,17_Jun_m1,05-25,05-27
0,2017,06-23,06-26,2.2471956014182424,1.4407435859129376,L,100%,Low,High,pos_change,17_Jul_m1,06-22,07-13
0,2017,06-23,06-26,2.7275034662921533,1.4407435859129376,L,90%,Low,High,pos_change,17_Jul_m1,06-23,06-26
0,2017,08-04,08-14,1.8026418548852268,2.466000364255835,W,100%,Low,High,pos_change,17_Aug_m1,08-04,08-14
0,2017,08-07,08-08,2.9884617709799723,1.089435753425399,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-28,08-29,1.7391287521814438,0.905823787201702,L,100%,Low,High,pos_change,17_Sep_m1,08-26,09-10
0,2017,08-23,08-25,2.766354284553884,1.5242393887410004,L,90%,Low,High,pos_change,17_Sep_m1,08-23,08-26
0,2017,10-03,10-13,3.5622023583572147,4.35009022717954,W,100%,Low,High,pos_change,17_Oct_m1,10-02,10-20
0,2017,10-27,10-31,2.048740100975541,2.6084783652922043,W,100%,Low,High,pos_change,17_Nov_m1,10-26,11-05
0,2017,10-24,10-25,3.7755089628354095,0.3908778180950659,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-25
0,2017,12-01,12-04,1.5340800932581853,0.8822055850616308,L,100%,Low,High,pos_change,17_Dec_m1,12-01,12-09
0,2017,11-21,11-22,2.94760329979648,0.311759561527226,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-12,01-18,1.1677245837191397,2.2693867586096936,W,100%,Low,High,pos_change,18_Jan_m1,01-11,01-19
0,2018,02-06,02-16,1.8983369094611653,4.441798306510674,W,100%,Low,High,pos_change,18_Feb_m1,02-04,02-16
0,2018,01-31,02-01,2.4173643811166654,10.248039987589785,W,90%,Low,High,pos_change,18_Feb_m1,01-29,02-01
0,2018,02-22,02-27,2.5227902062696,6.369967841071168,W,100%,Low,High,pos_change,18_Mar_m1,02-21,03-03
0,2018,02-20,02-21,4.409728209795829,1.3197475901641225,L,90%,Low,High,pos_change,18_Mar_m1,02-20,02-21
0,2018,03-26,04-02,2.1631279336983047,4.294776862244936,W,100%,Low,High,pos_change,18_Apr_m1,03-23,04-11
0,2018,05-03,05-04,1.762448573752676,2.4304391122722606,W,100%,Low,High,pos_change,18_May_m1,05-02,05-14
0,2018,04-26,04-27,2.969433696520838,2.568095760122812,L,90%,Low,High,pos_change,18_May_m1,04-26,04-27
0,2018,06-01,06-04,1.6196519497209332,1.7842422812406884,W,100%,Low,High,pos_change,18_Jun_m1,05-31,06-08
0,2018,06-26,07-06,1.7151763390425248,7.253384805920823,W,100%,Low,High,pos_change,18_Jul_m1,06-26,07-08
0,2018,06-22,06-25,2.6488284637835373,3.2396679082192668,W,90%,Low,High,pos_change,18_Jul_m1,06-22,06-25
0,2018,08-07,08-10,2.1155283978929185,1.7422589378388853,L,100%,Low,High,pos_change,18_Aug_m1,08-05,08-14
0,2018,08-07,08-08,2.9884617709799723,1.5169637714921915,L,90%,Low,High,pos_change,18_Aug_m1,08-05,08-08
0,2018,08-24,09-21,2.2454820535829008,5.350419191256564,W,100%,Low,High,pos_change,18_Sep_m1,08-21,09-21
0,2018,08-23,08-24,2.766354284553884,0.4303961521943116,L,90%,Low,High,pos_change,18_Sep_m1,08-23,08-26
0,2018,10-02,10-09,3.5622023583572147,5.154033664027075,W,100%,Low,High,pos_change,18_Oct_m1,10-02,10-19
0,2018,10-01,10-02,4.57836169171267,2.6351113900718595,L,90%,Low,High,pos_change,18_Oct_m1,10-01,10-02
0,2018,10-26,10-31,2.048740100975541,3.523833611424798,W,100%,Low,High,pos_change,18_Nov_m1,10-26,11-05
0,2018,10-24,10-25,3.80299640830231,1.1229467169273817,L,90%,Low,High,pos_change,18_Nov_m1,10-24,10-25
0,2018,11-20,12-13,2.263824437562563,14.506002139077198,W,100%,Low,High,pos_change,18_Dec_m1,11-19,12-20
0,2019,01-07,01-10,1.041671594299374,6.639154482919595,W,100%,Low,High,pos_change,19_Jan_m1,01-04,01-10
