,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-06,01-07,2.4739502877414115,3.4632763023674453,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-13
0,2016,01-06,01-07,3.3593673165890645,3.4632763023674453,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-20,02-04,3.3602913744462746,24.91688098612091,W,100%,Low,High,pos_change,16_Feb_m1,01-19,02-06
0,2016,01-26,01-29,7.006369426751593,14.271952575027788,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,03-01,03-11,3.535353535353535,21.36574583586101,W,100%,Low,High,pos_change,16_Mar_m1,02-27,03-16
0,2016,03-01,03-02,4.209254066086895,7.340483059156664,W,90%,Low,High,pos_change,16_Mar_m1,02-27,03-02
0,2016,03-24,03-30,3.614457831325301,5.779867703006827,W,100%,Close,High,pos_change,16_Apr_m1,03-22,04-02
0,2016,03-29,03-30,6.190476190476191,4.593930323203018,L,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-25,04-27,3.709103773181508,8.084513304190926,W,100%,Low,High,pos_change,16_May_m1,04-22,05-13
0,2016,04-22,04-25,5.682407194397061,1.2830146453665487,L,90%,Low,High,pos_change,16_May_m1,04-22,04-25
0,2016,06-07,06-08,2.654177594753486,6.05542529937292,W,100%,Low,High,pos_change,16_Jun_m1,06-07,06-17
0,2016,05-25,05-26,3.930033725090367,2.005105732800601,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-27
0,2016,07-07,07-12,0.9489907569390834,5.966464711559143,W,100%,Low,High,pos_change,16_Jul_m1,07-07,07-15
0,2016,06-21,06-22,4.024767801857585,2.728473327147288,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-24
0,2016,07-20,08-05,2.359879649119885,12.172514455025322,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-07
0,2016,08-01,08-04,4.885178007481649,7.7178644909991965,W,90%,Low,High,pos_change,16_Aug_m1,08-01,08-04
0,2016,09-09,09-12,2.6198749314797007,0.9825048647479396,L,100%,Low,High,pos_change,16_Sep_m1,09-08,09-16
0,2016,08-31,09-01,5.9199951171875,0.7043885142329992,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-23,10-05,3.111624241992197,9.977626416889056,W,100%,Low,High,pos_change,16_Oct_m1,09-21,10-17
0,2016,09-20,09-21,7.253886010362693,4.164815595146573,L,90%,Low,High,pos_change,16_Oct_m1,09-20,09-21
0,2016,11-01,11-04,4.430848080539515,6.785315206435373,W,100%,Low,High,pos_change,16_Nov_m1,10-29,11-12
0,2016,10-28,10-31,6.867876373267468,0.6065318150714869,L,90%,Low,High,pos_change,16_Nov_m1,10-28,10-31
0,2016,11-30,12-12,2.454258533875464,12.648065580263058,W,100%,Low,High,pos_change,16_Dec_m1,11-30,12-12
0,2016,12-08,12-09,3.3112582781456954,4.523248559798994,W,90%,Close,High,pos_change,16_Dec_m1,12-08,12-11
0,2017,01-05,01-12,2.4739502877414115,2.987820558880085,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-13
0,2017,01-11,01-12,3.8911623055830655,3.679547022074297,L,90%,Low,High,pos_change,17_Jan_m1,01-11,01-12
0,2017,02-14,02-16,2.033274244305629,2.484353461184895,W,100%,Low,High,pos_change,17_Feb_m1,02-12,02-17
0,2017,01-26,01-27,7.006369426751593,0.2502426683465531,L,90%,Low,Close,pos_change,17_Feb_m1,01-26,01-29
0,2017,02-28,03-07,3.957391513372344,5.50949727102429,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-16
0,2017,02-22,02-23,5.487804878048781,1.7750906763646976,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
