,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-05,01-14,1.7538937265006982,3.819181866648698,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-14
0,2016,01-05,01-06,1.966134817138152,2.521262825874062,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,01-28,02-04,1.9837618541932296,7.754630204520085,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-18
0,2016,03-03,03-11,2.522215773888271,6.882143390104193,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-13
0,2016,03-03,03-04,2.8726724324145017,3.468929933289032,W,90%,Low,High,pos_change,16_Mar_m1,03-03,03-06
0,2016,03-23,04-01,2.242342339279626,3.396612738024446,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-07
0,2016,04-28,05-04,1.715686274509804,5.957569481507279,W,100%,Close,High,pos_change,16_May_m1,04-25,05-06
0,2016,04-18,04-19,3.575459173071635,1.3474297405300262,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-14,06-15,1.301281241940305,1.061916789625898,L,100%,Low,High,pos_change,16_Jun_m1,06-11,06-17
0,2016,05-26,05-27,4.475080792206608,1.815012306219988,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-23,07-05,1.761252446183953,5.854980765781344,W,100%,Low,High,pos_change,16_Jul_m1,06-23,07-05
0,2016,06-23,06-24,3.3713528143133136,2.067982961512531,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-21,07-25,1.477832512315271,3.089919182687769,W,100%,Low,High,pos_change,16_Aug_m1,07-21,08-01
0,2016,07-27,07-29,2.923216791368328,2.5550742437584444,L,90%,Low,High,pos_change,16_Aug_m1,07-26,07-29
0,2016,08-31,09-08,1.6976319612499082,4.929031864289315,W,100%,Low,High,pos_change,16_Sep_m1,08-31,09-13
0,2016,08-31,09-01,2.4800713878887244,1.2258025138608872,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-29,09-30,2.096983499510139,0.9190926659840212,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-09
