,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-11,0.7518796992481203,1.525260733109191,W,100%,Low,Open,pos_change,16_Jan_m1,01-07,01-15
0,2016,01-07,01-08,1.2200653773288206,1.4268782394876964,W,90%,Low,High,pos_change,16_Jan_m1,01-07,01-08
0,2016,02-01,02-03,1.9760037506254071,7.54672629790381,W,100%,Low,High,pos_change,16_Feb_m1,01-31,02-18
0,2016,02-01,02-02,2.809212814198116,4.68497275216354,W,90%,Low,High,pos_change,16_Feb_m1,02-01,02-02
0,2016,03-07,03-10,1.5999984741210938,13.522382717051546,W,100%,Low,High,pos_change,16_Mar_m1,03-05,03-17
0,2016,03-02,03-04,2.4718295147881224,3.5808069273227763,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-04
0,2016,03-24,04-01,1.0147569661333011,6.250002508612972,W,100%,Low,High,pos_change,16_Apr_m1,03-24,04-07
0,2016,03-21,03-22,3.6042645199980834,2.4348963307748828,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-22
0,2016,04-21,05-12,2.548453226554674,12.151237863886724,W,100%,Low,High,pos_change,16_May_m1,04-20,05-15
0,2016,04-18,04-19,3.608841215782632,2.173479799448097,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-01,06-02,0.9090900552502552,1.4821461268833704,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-17
0,2016,05-25,05-26,2.3255845565714885,1.6095040710692958,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-21,07-05,2.290426027244418,1.401363243685206,L,100%,Low,High,pos_change,16_Jul_m1,06-20,07-06
0,2016,06-24,06-27,3.7649204268712655,0.7922193364350013,L,90%,Open,High,pos_change,16_Jul_m1,06-24,06-27
0,2016,07-29,08-01,1.6986928792636091,0.5229010463661121,L,100%,Low,High,pos_change,16_Aug_m1,07-29,08-14
0,2016,07-18,07-19,2.8477240574290312,0.4627951586345041,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-09,09-13,0.9221261751478864,1.406393530161958,W,100%,Low,High,pos_change,16_Sep_m1,09-07,09-13
0,2016,08-25,08-26,2.3267157979231072,1.328408479466618,L,90%,Low,High,pos_change,16_Sep_m1,08-25,08-26
0,2016,09-30,10-18,3.0434782608695654,1.57271494477587,L,100%,Close,Close,pos_change,16_Oct_m1,09-30,10-21
0,2016,09-28,09-29,3.9582420899165136,0.7794483981616741,L,90%,Low,High,pos_change,16_Oct_m1,09-28,09-29
0,2016,10-27,11-08,3.0729356411427737,1.1969728722722417,L,100%,Low,High,pos_change,16_Nov_m1,10-24,11-11
0,2016,10-26,10-27,3.3827597072157967,0.562198734742886,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-23,11-29,1.6751264514002746,1.0045817376853152,L,100%,Low,High,pos_change,16_Dec_m1,11-23,12-06
0,2016,11-29,11-30,2.34100819787846,0.315790009080318,L,90%,Low,High,pos_change,16_Dec_m1,11-29,11-30
0,2017,01-06,01-19,1.7178984916339224,2.6769326365320976,W,100%,Low,High,pos_change,17_Jan_m1,01-05,01-19
0,2017,01-05,01-06,2.1538461538461537,0.0546525407732695,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-31,02-01,1.6326530612244898,1.047415524991245,L,100%,Low,High,pos_change,17_Feb_m1,01-30,02-14
0,2017,02-02,02-03,2.770195142683152,0.7910233634064713,L,90%,Low,High,pos_change,17_Feb_m1,02-01,02-04
0,2017,03-02,03-06,1.9696611245081863,1.3058725641312223,L,100%,Low,High,pos_change,17_Mar_m1,03-02,03-16
0,2017,03-06,03-07,2.7307657095102167,0.0913130995078023,L,90%,Low,High,pos_change,17_Mar_m1,03-04,03-07
0,2017,03-28,04-19,2.083333333333333,3.2016459265268304,W,100%,Close,High,pos_change,17_Apr_m1,03-28,04-21
0,2017,03-21,03-22,3.972048188646667,1.5324996923801633,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-22
0,2017,05-04,05-05,2.267630265713092,2.204175101976031,L,100%,Low,High,pos_change,17_May_m1,05-03,05-18
0,2017,04-24,04-26,2.763076466962446,1.793718371072978,L,90%,Low,Close,pos_change,17_May_m1,04-24,04-27
0,2017,05-30,06-02,1.601490871756344,1.7673894413788238,W,100%,Low,High,pos_change,17_Jun_m1,05-27,06-03
0,2017,06-23,06-26,2.232621251943236,1.5120000744049815,L,100%,Low,High,pos_change,17_Jul_m1,06-23,07-10
0,2017,08-11,08-16,1.279707495429616,1.65386914244195,W,100%,Low,High,pos_change,17_Aug_m1,08-08,08-18
0,2017,07-28,07-31,2.2474959434442567,1.2554823919565687,L,90%,Low,High,pos_change,17_Aug_m1,07-28,07-31
0,2017,08-24,08-29,1.50093808630394,1.4450335709753457,L,100%,Close,High,pos_change,17_Sep_m1,08-24,09-11
0,2017,09-22,10-12,2.1739130434782608,5.735565239654582,W,100%,Low,High,pos_change,17_Oct_m1,09-21,10-13
0,2017,11-10,11-15,1.7590648541928864,3.5434568514119893,W,100%,Low,High,pos_change,17_Nov_m1,11-07,11-15
0,2017,10-25,10-26,3.2870327404334327,2.1956919193952675,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-26
0,2017,11-20,12-01,1.304190768204304,4.1424395737131325,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-14
0,2017,11-20,11-21,2.905739402387552,1.0719479338188846,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-05,01-09,1.7178984916339224,1.7509682577120336,W,100%,Low,High,pos_change,18_Jan_m1,01-05,01-19
0,2018,01-05,01-08,2.1538461538461537,1.147860184966798,L,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,01-25,01-26,0.8902054310647431,1.7468093745266724,W,100%,Low,Close,pos_change,18_Feb_m1,01-24,01-30
0,2018,01-29,01-30,2.084069811790972,1.6055451860146923,L,90%,Low,High,pos_change,18_Feb_m1,01-27,01-30
0,2018,02-22,02-26,1.8424863557045292,4.61917479427183,W,100%,Low,High,pos_change,18_Mar_m1,02-19,03-14
0,2018,03-06,03-07,2.469131926335165,0.9508420347994848,L,90%,Low,High,pos_change,18_Mar_m1,03-06,03-07
0,2018,03-29,04-02,1.9302098741893323,1.441753159169892,L,100%,Low,High,pos_change,18_Apr_m1,03-29,04-10
0,2018,03-21,03-22,3.972048188646667,2.0598080139767965,L,90%,Low,High,pos_change,18_Apr_m1,03-21,03-22
0,2018,05-04,05-07,2.034874759280415,1.4048099032646335,L,100%,Low,High,pos_change,18_May_m1,05-04,05-15
0,2018,04-24,04-27,2.763076466962446,3.7051157450243553,W,90%,Low,Close,pos_change,18_May_m1,04-24,04-27
0,2018,05-29,05-31,1.878204696760149,3.5888148537223565,W,100%,Low,High,pos_change,18_Jun_m1,05-26,06-15
0,2018,05-23,05-25,2.2872163802270524,5.154065687306946,W,90%,Low,High,pos_change,18_Jun_m1,05-23,05-25
0,2018,06-20,07-03,1.401363243685206,7.073171691796791,W,100%,Low,High,pos_change,18_Jul_m1,06-20,07-05
0,2018,06-25,06-26,2.8233479175331966,3.3684984933251623,W,90%,Open,High,pos_change,18_Jul_m1,06-25,06-26
0,2018,08-24,08-27,1.4450335709753457,2.031439142877089,W,100%,Low,High,pos_change,18_Sep_m1,08-24,08-31
0,2018,10-05,10-19,2.089655671180039,3.8126332685361177,W,100%,Low,High,pos_change,18_Oct_m1,10-05,10-19
0,2018,09-24,09-25,3.986054591796975,0.5243122285838825,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-25
0,2018,11-08,11-14,1.7590648541928864,7.1873349605574814,W,100%,Low,High,pos_change,18_Nov_m1,11-07,11-15
0,2018,10-22,10-23,4.125362637169594,1.291812738659072,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-23
0,2018,11-30,12-11,2.030454837762093,4.309166343176249,W,100%,Low,High,pos_change,18_Dec_m1,11-30,12-20
0,2018,11-20,11-21,2.905739402387552,0.4873964966846113,L,90%,Low,High,pos_change,18_Dec_m1,11-20,11-21
0,2019,01-07,01-10,1.6274805124076388,3.17747274891537,W,100%,Low,High,pos_change,19_Jan_m1,01-05,01-18
0,2019,01-24,01-25,0.8902054310647431,1.0591323176699332,W,100%,Low,Close,pos_change,19_Feb_m1,01-24,01-30
0,2019,01-29,01-30,2.084069811790972,1.5469397331434849,L,90%,Low,High,pos_change,19_Feb_m1,01-27,01-30
0,2019,02-22,03-14,1.8424863557045292,5.735754234230103,W,100%,Low,High,pos_change,19_Mar_m1,02-19,03-14
0,2019,03-06,03-07,2.4680451862564983,1.3338197484781114,L,90%,Low,High,pos_change,19_Mar_m1,03-06,03-07
0,2019,03-21,03-27,1.828926370283558,4.587646686582718,W,100%,Low,High,pos_change,19_Apr_m1,03-21,04-19
0,2019,03-18,03-19,3.915395437075992,0.4061443367441967,L,90%,Low,High,pos_change,19_Apr_m1,03-18,03-19
0,2019,04-22,05-07,2.203069972749943,2.964669118872004,W,100%,Low,High,pos_change,19_May_m1,04-22,05-08
0,2019,04-22,04-23,3.068898466986524,1.189416203029383,L,90%,Low,High,pos_change,19_May_m1,04-22,04-23
0,2019,05-29,06-07,1.91614903011447,6.176470141776724,W,100%,Low,High,pos_change,19_Jun_m1,05-26,06-19
