,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-13,1.7138564897821118,7.925923665364583,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-14
0,2016,01-07,01-08,2.0408163265306123,6.913578363112462,W,90%,Low,Close,pos_change,16_Jan_m1,01-07,01-09
0,2016,02-08,02-16,1.6853932584269662,3.682342014166845,W,100%,Low,High,pos_change,16_Feb_m1,02-06,02-16
0,2016,02-09,02-10,4.232670841305012,1.9850055642920776,L,90%,Low,High,pos_change,16_Feb_m1,02-09,02-10
0,2016,03-01,03-17,3.2900244230150624,7.914295581648322,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-18
0,2016,02-24,02-25,4.332204670924316,3.094172904324139,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-29,03-30,1.6067541747663183,1.8001218682465336,W,100%,Low,High,pos_change,16_Apr_m1,03-27,04-12
0,2016,03-21,03-24,4.246816660093318,5.062478202316036,W,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-25,05-02,3.419664557952176,4.348723393332,W,100%,Low,Open,pos_change,16_May_m1,04-24,05-08
0,2016,04-20,04-21,7.066791100389091,0.0,L,90%,Open,High,pos_change,16_May_m1,04-20,04-21
0,2016,05-24,05-25,1.7632780601595517,1.7060595895683834,L,100%,Low,Open,pos_change,16_Jun_m1,05-24,06-05
0,2016,07-06,07-13,1.6136151970652803,3.945465510085544,W,100%,Low,High,pos_change,16_Jul_m1,07-03,07-13
0,2016,06-21,06-22,5.841726872183019,1.5534383159960026,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-22
0,2016,08-04,08-15,4.002998311874826,2.79441430841973,L,100%,Low,High,pos_change,16_Aug_m1,08-03,08-19
0,2016,08-01,08-02,5.9405919738973605,6.674783636473674,W,90%,Low,High,pos_change,16_Aug_m1,07-31,08-03
0,2016,08-31,09-07,3.747872742293852,2.9149339912898125,L,100%,Low,High,pos_change,16_Sep_m1,08-29,09-10
0,2016,08-29,08-30,4.146475338813734,1.5643582485689973,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-31
0,2016,10-07,10-10,3.3736971125997863,1.367456108065257,L,100%,Low,High,pos_change,16_Oct_m1,10-06,10-20
0,2016,10-06,10-07,5.283503292191954,0.7968898762532985,L,90%,Low,High,pos_change,16_Oct_m1,10-05,10-08
0,2016,10-26,11-07,2.873440159917732,4.709197458762078,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-07
0,2016,11-03,11-04,5.798298009732248,0.9261107797105912,L,90%,Low,High,pos_change,16_Nov_m1,11-01,11-04
0,2016,12-12,12-13,2.551989222218196,2.387463821381229,L,100%,Low,High,pos_change,16_Dec_m1,12-10,12-16
0,2017,01-06,01-13,3.070052510929307,2.640074737633607,L,100%,Low,High,pos_change,17_Jan_m1,01-05,01-19
0,2017,01-03,01-04,2.574471650760053,2.036542969507253,L,90%,Low,High,pos_change,17_Jan_m1,01-01,01-04
0,2017,02-07,02-16,1.6853932584269662,6.694479063041473,W,100%,Low,High,pos_change,17_Feb_m1,02-06,02-16
0,2017,02-07,02-10,3.5513552635403527,3.906697119617781,W,90%,Low,High,pos_change,17_Feb_m1,02-07,02-10
0,2017,03-01,03-02,3.222511983125574,1.9736784539949488,L,100%,Low,High,pos_change,17_Mar_m1,03-01,03-17
0,2017,04-07,04-10,2.335635763742541,1.489326821949192,L,100%,Low,High,pos_change,17_Apr_m1,04-05,04-17
0,2017,03-21,03-23,4.246816660093318,1.8044028023089176,L,90%,Low,High,pos_change,17_Apr_m1,03-21,03-24
0,2017,04-24,04-25,3.419664557952176,1.995763139230457,L,100%,Low,Open,pos_change,17_May_m1,04-24,05-08
0,2017,05-22,06-05,1.7632780601595517,5.074406247662206,W,100%,Low,Open,pos_change,17_Jun_m1,05-22,06-05
0,2017,05-23,05-24,3.771004872347768,1.719251543860514,L,90%,Low,High,pos_change,17_Jun_m1,05-23,05-25
0,2017,07-06,07-18,1.8129232837947236,5.387085950380493,W,100%,Low,High,pos_change,17_Jul_m1,07-04,07-18
