,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.5363358967027665,2.347737028255152,W,100%,Low,High,pos_change,16_Jan_m1,01-01,01-08
0,2016,01-04,01-05,1.7952717245789906,2.347737028255152,W,90%,Low,High,pos_change,16_Jan_m1,01-03,01-05
0,2016,02-08,02-19,2.031351406372453,6.962098795982195,W,100%,Low,High,pos_change,16_Feb_m1,02-07,02-19
0,2016,01-28,01-29,4.686988837915814,4.841035680837914,W,90%,Low,High,pos_change,16_Feb_m1,01-28,01-31
0,2016,03-01,03-17,1.3642280947506031,4.913770644680653,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-17
0,2016,02-24,02-25,3.9630120487999063,3.798004129935344,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,04-01,3.2014328515441823,4.53351961052496,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-12
0,2016,03-23,03-24,3.9193552723113063,0.9540037465091956,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-29,05-11,2.283540971192175,10.161927846863458,W,100%,Low,High,pos_change,16_May_m1,04-29,05-18
0,2016,04-18,04-19,5.051979648542879,1.7281234218812236,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-01,06-08,2.203279069091173,2.359428896525784,W,100%,Low,High,pos_change,16_Jun_m1,06-01,06-15
0,2016,05-25,05-26,4.240962874937249,0.5007745481508563,L,90%,Low,High,pos_change,16_Jun_m1,05-25,05-26
0,2016,06-27,07-06,1.9829804330855527,7.807126392310158,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-06
0,2016,06-23,06-24,3.752365107695203,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-28,08-01,2.9874838814798066,1.3976420592270162,L,100%,Close,High,pos_change,16_Aug_m1,07-26,08-19
0,2016,08-09,08-10,3.428980623088409,1.3715813635547658,L,90%,Low,High,pos_change,16_Aug_m1,08-09,08-12
0,2016,08-30,09-02,3.1884918965705467,2.047380793964321,L,100%,Low,High,pos_change,16_Sep_m1,08-29,09-16
0,2016,08-29,08-30,4.07203733404549,0.4167073311389305,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-30
0,2016,09-30,10-18,3.246135500020498,2.071756558850738,L,100%,Low,High,pos_change,16_Oct_m1,09-27,10-20
0,2016,09-29,09-30,4.583339691162109,0.5329375816544701,L,90%,Low,High,pos_change,16_Oct_m1,09-29,09-30
0,2016,10-27,11-10,2.357996392079356,8.813705980340641,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-13
0,2016,10-24,10-25,4.429838498431675,0.9123758588327914,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,11-25,11-28,1.91310511172159,0.8515777910511186,L,100%,Open,High,pos_change,16_Dec_m1,11-25,12-01
0,2016,11-21,11-22,2.830991790710684,3.775236597931661,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-12,01-17,1.6033172380130505,3.393920425072749,W,100%,Low,High,pos_change,17_Jan_m1,01-12,01-19
0,2017,01-09,01-10,2.4629520119681647,0.7327714807691981,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,01-24,01-25,1.6824507852219843,1.1937821068595362,L,100%,Low,High,pos_change,17_Feb_m1,01-24,02-02
0,2017,02-01,02-02,3.566716890996407,1.174556639802533,L,90%,Low,High,pos_change,17_Feb_m1,01-30,02-02
0,2017,03-01,03-10,1.3642280947506031,2.0091418526593343,W,100%,Low,High,pos_change,17_Mar_m1,03-01,03-17
0,2017,03-22,04-05,3.2014328515441823,3.248301064027449,W,100%,Low,High,pos_change,17_Apr_m1,03-22,04-12
0,2017,03-23,03-24,4.051255960509438,1.2862883611481994,L,90%,Low,High,pos_change,17_Apr_m1,03-23,03-26
0,2017,05-02,05-04,2.283540971192175,2.4431476602255078,W,100%,Low,High,pos_change,17_May_m1,04-29,05-18
0,2017,04-26,04-27,3.385711568066088,3.138378409523779,L,90%,Low,High,pos_change,17_May_m1,04-26,04-29
0,2017,06-01,06-05,2.203279069091173,1.527578041353184,L,100%,Low,High,pos_change,17_Jun_m1,06-01,06-15
0,2017,05-25,05-26,4.240962874937249,1.620255551794625,L,90%,Low,High,pos_change,17_Jun_m1,05-25,05-26
0,2017,06-29,07-03,1.9829804330855527,2.5837007056476726,W,100%,Low,High,pos_change,17_Jul_m1,06-27,07-03
0,2017,06-26,06-27,4.936077181870833,0.0,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-03,08-04,1.8617020912330104,1.3194353825447305,L,100%,Low,High,pos_change,17_Aug_m1,08-03,08-12
0,2017,08-07,08-08,3.2521969330655334,1.0008978460758315,L,90%,Low,High,pos_change,17_Aug_m1,08-05,08-08
0,2017,08-25,09-01,1.9954673436817452,2.4245949059196,W,100%,Low,High,pos_change,17_Sep_m1,08-25,09-04
0,2017,08-28,08-29,3.2530467016440725,0.5632672991071429,L,90%,Low,High,pos_change,17_Sep_m1,08-26,08-29
0,2017,10-06,10-10,2.3095611336142525,1.1637931499950864,L,100%,Low,High,pos_change,17_Oct_m1,10-05,10-18
0,2017,09-28,09-29,4.419885158647547,1.5195445047622314,L,90%,Low,Open,pos_change,17_Oct_m1,09-27,09-30
0,2017,10-27,10-30,2.357996392079356,1.3152674218751577,L,100%,Low,High,pos_change,17_Nov_m1,10-27,11-13
0,2017,10-27,10-30,3.7517902674709127,1.3152674218751577,L,90%,Low,High,pos_change,17_Nov_m1,10-27,10-30
0,2017,11-24,12-04,1.2896178198642418,4.564019968036853,W,100%,Low,High,pos_change,17_Dec_m1,11-22,12-04
0,2018,01-12,01-17,1.6033172380130505,1.590422819942514,L,100%,Low,High,pos_change,18_Jan_m1,01-12,01-19
0,2018,01-08,01-10,2.4629520119681647,2.5453486833158347,W,90%,Low,High,pos_change,18_Jan_m1,01-07,01-10
0,2018,01-22,01-30,1.6824507852219843,4.417082241223214,W,100%,Low,High,pos_change,18_Feb_m1,01-22,02-09
0,2018,01-29,01-30,4.166665775715332,1.542146698203576,L,90%,Low,High,pos_change,18_Feb_m1,01-28,01-31
0,2018,02-21,02-23,1.5068322589243752,4.688273908957316,W,100%,Low,High,pos_change,18_Mar_m1,02-19,02-25
0,2018,02-21,02-23,3.577850799154472,4.688273908957316,W,90%,Low,High,pos_change,18_Mar_m1,02-21,02-24
0,2018,03-23,04-05,3.2014328515441823,2.742854527064732,L,100%,Low,High,pos_change,18_Apr_m1,03-22,04-12
0,2018,05-02,05-18,2.283540971192175,6.360727874811453,W,100%,Low,High,pos_change,18_May_m1,04-29,05-18
0,2018,04-23,04-24,3.3333511726543,1.156884490122743,L,90%,Low,High,pos_change,18_May_m1,04-23,04-24
0,2018,05-24,06-01,2.1600754763261376,3.256139922560307,W,100%,Open,High,pos_change,18_Jun_m1,05-24,06-03
0,2018,05-21,05-22,4.33578007163112,0.5890415139394264,L,90%,Open,High,pos_change,18_Jun_m1,05-21,05-22
0,2018,06-27,07-16,1.8462790078315128,6.257677345108389,W,100%,Low,High,pos_change,18_Jul_m1,06-25,07-17
0,2018,06-25,06-26,4.385181331265873,0.9040590519867412,L,90%,Low,High,pos_change,18_Jul_m1,06-23,06-26
0,2018,08-02,08-10,2.190912581976534,8.342367236749713,W,100%,Low,High,pos_change,18_Aug_m1,07-31,08-16
0,2018,08-22,09-17,2.377448131994147,3.6329148690911786,W,100%,Low,High,pos_change,18_Sep_m1,08-20,09-18
0,2018,08-20,08-21,4.749556690358702,0.8962371541684692,L,90%,Low,High,pos_change,18_Sep_m1,08-20,08-21
0,2018,09-25,10-01,1.7324750623000629,2.0083750368027085,W,100%,Low,High,pos_change,18_Oct_m1,09-25,10-18
0,2018,10-01,10-02,3.246135500020498,1.0567714910010548,L,90%,Low,High,pos_change,18_Oct_m1,09-29,10-02
0,2018,11-01,11-12,2.220352138751416,9.508907169959675,W,100%,Low,High,pos_change,18_Nov_m1,10-31,11-14
0,2018,10-29,10-31,3.717991783348211,4.605093256384087,W,90%,Low,High,pos_change,18_Nov_m1,10-29,11-01
0,2018,12-11,12-12,2.1640582771295853,2.9273465648629675,W,100%,Low,High,pos_change,18_Dec_m1,12-11,12-19
0,2018,11-26,11-27,4.456804670645242,1.00378605351437,L,90%,Low,High,pos_change,18_Dec_m1,11-26,11-27
0,2019,01-03,01-07,1.5363358967027665,6.274116497156069,W,100%,Low,High,pos_change,19_Jan_m1,01-01,01-08
0,2019,01-08,01-10,2.4629520119681647,2.7038200334287263,W,90%,Low,High,pos_change,19_Jan_m1,01-07,01-10
0,2019,01-22,02-08,1.6824507852219843,11.32320604962128,W,100%,Low,High,pos_change,19_Feb_m1,01-21,02-09
0,2019,01-31,02-01,3.4492836241612075,1.2220231307729892,L,90%,Low,High,pos_change,19_Feb_m1,01-30,02-02
0,2019,02-21,02-25,1.5068322589243752,1.68886553047248,W,100%,Low,High,pos_change,19_Mar_m1,02-19,02-25
0,2019,02-21,02-22,3.577850799154472,1.6293947280594572,L,90%,Low,High,pos_change,19_Mar_m1,02-21,02-24
0,2019,03-25,04-03,2.742854527064732,7.459346907290181,W,100%,Low,High,pos_change,19_Apr_m1,03-22,04-09
0,2019,03-25,03-26,3.545175651200181,2.4510980628027013,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,04-29,04-30,2.2645146692352536,5.799335160515422,W,100%,Low,High,pos_change,19_May_m1,04-29,05-17
0,2019,04-22,04-23,3.889291145288586,3.3483222236815444,L,90%,Low,High,pos_change,19_May_m1,04-22,04-24
0,2019,05-24,05-28,2.1600754763261376,1.59537254730401,L,100%,Open,High,pos_change,19_Jun_m1,05-24,06-03
0,2019,06-25,07-15,1.8462790078315128,6.341239941090499,W,100%,Low,High,pos_change,19_Jul_m1,06-25,07-17
0,2019,06-26,06-27,4.385181331265873,1.264698688004821,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-27
0,2019,08-02,08-16,2.190912581976534,4.096855551509534,W,100%,Low,High,pos_change,19_Aug_m1,07-31,08-16
0,2019,07-30,07-31,3.033757550141864,3.98910150108599,W,90%,Low,High,pos_change,19_Aug_m1,07-30,07-31
0,2019,08-23,09-06,2.377448131994147,5.347903035174186,W,100%,Low,High,pos_change,19_Sep_m1,08-20,09-18
0,2019,08-20,08-21,4.0119559187613545,1.0762765955092033,L,90%,Low,High,pos_change,19_Sep_m1,08-20,08-21
0,2019,09-27,10-18,1.7324750623000629,5.0039174235359045,W,100%,Low,High,pos_change,19_Oct_m1,09-25,10-18
0,2019,10-31,11-14,2.220352138751416,8.15747411370289,W,100%,Low,High,pos_change,19_Nov_m1,10-31,11-14
0,2019,10-29,10-31,3.717991783348211,5.20955694451573,W,90%,Low,High,pos_change,19_Nov_m1,10-29,11-01
0,2019,12-11,12-16,2.1640582771295853,4.79573854267857,W,100%,Low,High,pos_change,19_Dec_m1,12-11,12-19
0,2019,11-26,11-27,3.8578214192525975,1.6068433355730924,L,90%,Low,High,pos_change,19_Dec_m1,11-26,11-27
0,2020,01-03,01-08,1.5363358967027665,2.7860283331058957,W,100%,Low,High,pos_change,20_Jan_m1,01-01,01-08
0,2020,02-07,02-11,2.5830690389890285,3.5913206932784902,W,100%,Low,High,pos_change,20_Feb_m1,02-07,02-20
0,2020,03-02,03-03,1.3642280947506031,7.249483691866708,W,100%,Low,High,pos_change,20_Mar_m1,03-01,03-17
0,2020,02-24,02-25,3.577850799154472,1.0685951861308602,L,90%,Low,High,pos_change,20_Mar_m1,02-24,02-25
0,2020,03-25,03-30,1.8724974147302864,16.041840537488135,W,100%,Low,High,pos_change,20_Apr_m1,03-25,04-05
0,2020,03-25,03-26,3.545175651200181,15.58350300495404,W,90%,Low,High,pos_change,20_Apr_m1,03-25,03-26
0,2020,05-04,05-08,2.2260599382562227,9.92929477884312,W,100%,Low,High,pos_change,20_May_m1,05-01,05-15
0,2020,04-21,04-22,4.497696175106138,5.536102269277389,W,90%,Low,High,pos_change,20_May_m1,04-21,04-22
0,2020,05-27,06-05,2.254331732071893,6.7029276596451135,W,100%,Low,High,pos_change,20_Jun_m1,05-24,06-05
0,2020,06-26,07-17,1.8462790078315128,8.98412472356564,W,100%,Low,High,pos_change,20_Jul_m1,06-25,07-17
0,2020,06-25,06-26,4.280216518665643,1.9260785167536096,L,90%,Low,High,pos_change,20_Jul_m1,06-23,06-26
0,2020,07-31,08-07,2.190912581976534,5.18915357247207,W,100%,Low,High,pos_change,20_Aug_m1,07-31,08-16
0,2020,08-03,08-04,3.4158989963292496,2.5684962561558486,L,90%,Low,High,pos_change,20_Aug_m1,08-01,08-04
0,2020,08-25,09-02,1.9954673436817452,7.656342150041956,W,100%,Low,High,pos_change,20_Sep_m1,08-25,09-04
0,2020,09-25,10-01,1.611602028398439,8.468322799570082,W,100%,Low,Open,pos_change,20_Oct_m1,09-25,10-07
0,2020,09-29,09-30,3.0811663959388147,0.8122969810883097,L,90%,Low,High,pos_change,20_Oct_m1,09-29,09-30
0,2020,11-02,11-09,2.3121403882448046,22.49088329069513,W,100%,Low,High,pos_change,20_Nov_m1,10-31,11-20
0,2020,10-29,10-30,3.717991783348211,2.963042853507072,L,90%,Low,High,pos_change,20_Nov_m1,10-29,11-01
0,2020,12-11,12-14,2.1263144698449343,1.9635496723834391,L,100%,Low,High,pos_change,20_Dec_m1,12-11,12-18
