,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,0.7511343567177595,2.0165428468016406,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-13
0,2016,01-07,01-08,1.2724349163165556,1.4453985725517424,W,90%,Low,High,pos_change,16_Jan_m1,01-05,01-08
0,2016,02-03,02-17,2.7874537135678144,6.845640831394088,W,100%,Low,High,pos_change,16_Feb_m1,02-02,02-17
0,2016,01-19,01-20,4.63143547658374,0.0,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,03-03,03-14,2.733536373758423,6.707319555220245,W,100%,Low,High,pos_change,16_Mar_m1,03-03,03-18
0,2016,03-01,03-02,3.8461538461538463,7.212473241814063,W,90%,Low,High,pos_change,16_Mar_m1,03-01,03-02
0,2016,03-29,03-30,1.7773139963601845,3.701460117084358,W,100%,Low,High,pos_change,16_Apr_m1,03-28,04-09
0,2016,03-30,03-31,2.1956134178059106,0.9540837390856328,L,90%,Low,High,pos_change,16_Apr_m1,03-30,03-31
0,2016,05-02,05-03,2.7171144382994044,1.1595752479026538,L,100%,Low,High,pos_change,16_May_m1,04-30,05-17
0,2016,04-29,05-02,3.187843702078325,1.762112871767564,L,90%,Low,High,pos_change,16_May_m1,04-29,05-02
0,2016,06-03,06-06,1.7029357651156931,5.452562659106051,W,100%,Low,High,pos_change,16_Jun_m1,05-31,06-17
0,2016,05-26,05-27,3.547969292739072,1.9459492451435807,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-30,07-15,2.1756845991325897,8.51312550610079,W,100%,Low,High,pos_change,16_Jul_m1,06-30,07-15
0,2016,07-05,07-06,3.498623924121361,1.807224278111647,L,90%,Low,High,pos_change,16_Jul_m1,07-04,07-06
0,2016,07-22,07-29,2.127659574468085,5.1762144380831145,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-03
0,2016,09-06,09-14,1.2380694778666388,5.482232902943843,W,100%,Low,High,pos_change,16_Sep_m1,09-04,09-16
0,2016,08-29,09-01,2.8068256837666365,2.893399354057531,W,90%,Low,High,pos_change,16_Sep_m1,08-29,09-01
0,2016,10-03,10-06,3.108377496188813,3.305377706774183,W,100%,Low,High,pos_change,16_Oct_m1,09-30,10-17
0,2016,10-03,10-04,4.484306963286633,2.170688785260778,L,90%,Low,High,pos_change,16_Oct_m1,10-01,10-04
0,2016,10-28,11-11,3.127573056556892,14.053050209067248,W,100%,Low,High,pos_change,16_Nov_m1,10-27,11-13
0,2016,10-26,10-27,5.128205128205128,4.547603300408756,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-27
0,2016,11-29,12-08,1.4423079127390646,7.151329164295668,W,100%,Low,Open,pos_change,16_Dec_m1,11-29,12-13
0,2016,11-21,11-23,2.941181547374744,3.9828134560947865,W,90%,Low,High,pos_change,16_Dec_m1,11-21,11-24
0,2017,01-05,01-13,2.003012216487229,4.29379031923198,W,100%,Low,High,pos_change,17_Jan_m1,01-03,01-18
0,2017,02-02,02-15,2.7874537135678144,7.841616614191133,W,100%,Low,High,pos_change,17_Feb_m1,02-02,02-17
0,2017,01-30,01-31,3.563777711496447,1.6949173712444112,L,90%,Low,High,pos_change,17_Feb_m1,01-30,01-31
0,2017,02-27,03-01,2.510120097907305,6.350952851587759,W,100%,Low,High,pos_change,17_Mar_m1,02-27,03-11
0,2017,03-01,03-02,3.8461538461538463,3.6291779793412826,L,90%,Low,High,pos_change,17_Mar_m1,03-01,03-02
0,2017,03-28,03-30,2.1956134178059106,5.589550873485512,W,100%,Low,High,pos_change,17_Apr_m1,03-28,04-18
0,2017,05-03,05-04,2.7171144382994044,3.6670761139756713,W,100%,Low,High,pos_change,17_May_m1,04-30,05-18
0,2017,05-09,05-10,3.1877935224725364,0.8498624022744303,L,90%,Low,High,pos_change,17_May_m1,05-09,05-12
0,2017,06-01,06-15,2.106971034577417,10.646548414343854,W,100%,Low,High,pos_change,17_Jun_m1,05-29,06-15
0,2017,07-12,07-13,2.9110562681236685,1.4666193375265066,L,100%,Low,High,pos_change,17_Jul_m1,07-09,07-19
0,2017,06-28,06-29,3.942976005242692,5.954743819762752,W,90%,Low,High,pos_change,17_Jul_m1,06-28,06-29
0,2017,08-07,08-08,1.5119723579435786,3.491829611417394,W,100%,Low,High,pos_change,17_Aug_m1,08-05,08-17
0,2017,08-31,09-01,1.1099883865370055,1.9931025478054376,W,100%,Low,High,pos_change,17_Sep_m1,08-28,09-07
0,2017,08-29,08-30,2.809918675486639,1.49425051321197,L,90%,Low,High,pos_change,17_Sep_m1,08-27,08-30
0,2017,10-02,10-06,3.108377496188813,3.079711484498404,L,100%,Low,High,pos_change,17_Oct_m1,09-30,10-17
0,2017,10-02,10-03,4.345674867983218,1.5942048115080016,L,90%,Open,High,pos_change,17_Oct_m1,10-01,10-04
0,2017,10-27,11-02,3.127573056556892,2.1905394845370467,L,100%,Low,High,pos_change,17_Nov_m1,10-27,11-13
0,2017,10-24,10-25,5.128205128205128,4.3944249814018175,L,90%,Low,High,pos_change,17_Nov_m1,10-23,10-26
0,2017,11-22,12-04,2.030068991522194,12.15645125074155,W,100%,Low,High,pos_change,17_Dec_m1,11-20,12-14
0,2017,11-20,11-21,3.2443361930455965,1.091547429951781,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-03,01-16,2.003012216487229,7.923399269200243,W,100%,Low,High,pos_change,18_Jan_m1,01-03,01-18
0,2018,01-30,02-02,2.527269909771602,3.132599591961988,W,100%,Low,High,pos_change,18_Feb_m1,01-27,02-16
0,2018,01-30,01-31,3.269027949301732,1.7944042987274482,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,03-02,03-09,2.510120097907305,6.571163407799327,W,100%,Low,High,pos_change,18_Mar_m1,02-27,03-11
