,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.9265809426224811,4.217358424157965,W,100%,Low,High,pos_change,16_Jan_m1,01-03,01-15
0,2016,01-04,01-05,2.232664521341195,4.217358424157965,W,90%,Low,High,pos_change,16_Jan_m1,01-04,01-07
0,2016,01-26,02-04,3.872247568446928,15.957449643066566,W,100%,Low,High,pos_change,16_Feb_m1,01-26,02-19
0,2016,01-25,01-26,6.352941994654262,3.984537910786947,L,90%,Low,High,pos_change,16_Feb_m1,01-25,01-26
0,2016,03-02,03-04,1.9064153953388816,11.36243271835687,W,100%,Low,High,pos_change,16_Mar_m1,02-28,03-12
0,2016,02-24,02-26,3.4601595882944327,7.735424454248542,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-27
0,2016,04-01,04-04,1.6663656984847734,2.0294316515778035,W,100%,Low,High,pos_change,16_Apr_m1,04-01,04-06
0,2016,03-29,03-30,3.282726760813525,5.762452802727993,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,05-06,05-12,2.644625753549327,2.702707471727439,W,100%,Low,High,pos_change,16_May_m1,05-05,05-12
0,2016,04-18,04-19,3.998733954848514,5.767775109989253,W,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-27,06-08,1.1530600115450504,6.284152929693115,W,100%,Low,High,pos_change,16_Jun_m1,05-27,06-17
0,2016,05-23,05-24,3.2445002038312376,3.4482748814626776,W,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,06-27,07-01,1.4845575763465713,12.799050714825963,W,100%,Low,High,pos_change,16_Jul_m1,06-26,07-08
0,2016,06-23,06-24,2.9208623668986187,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-21,07-27,1.937820315049064,2.746329040904248,W,100%,Low,High,pos_change,16_Aug_m1,07-18,08-07
0,2016,08-26,08-30,2.0986537948569133,3.924106056090007,W,100%,Low,High,pos_change,16_Sep_m1,08-23,09-08
0,2016,08-31,09-01,4.760202364858881,1.7702867052971578,L,90%,Open,High,pos_change,16_Sep_m1,08-30,09-01
0,2016,10-03,10-10,2.4925684085761333,2.2254909954879785,L,100%,Low,High,pos_change,16_Oct_m1,09-30,10-14
0,2016,09-27,09-28,3.8726058822583656,1.8223746277897344,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,10-28,11-10,3.9812691751659295,19.05272859121992,W,100%,Low,High,pos_change,16_Nov_m1,10-28,11-14
0,2016,11-22,12-05,1.4259852667394337,6.361270932725048,W,100%,Low,High,pos_change,16_Dec_m1,11-22,12-06
0,2016,11-30,12-01,3.169400941251789,3.850366663940441,W,90%,Low,High,pos_change,16_Dec_m1,11-30,12-01
0,2017,01-03,01-13,1.999219156069053,5.547684908473162,W,100%,Low,High,pos_change,17_Jan_m1,01-02,01-18
0,2017,01-09,01-10,2.6451501013216827,0.7433014371528462,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,01-26,01-27,3.4357999956223337,0.9224781387116868,L,100%,Open,High,pos_change,17_Feb_m1,01-26,02-14
0,2017,01-25,01-26,6.352941994654262,1.9467890040493467,L,90%,Low,High,pos_change,17_Feb_m1,01-25,01-26
0,2017,02-28,03-10,1.9064153953388816,5.009600125171291,W,100%,Low,High,pos_change,17_Mar_m1,02-28,03-12
0,2017,02-24,02-27,3.4601595882944327,1.6748090801748166,L,90%,Low,High,pos_change,17_Mar_m1,02-24,02-27
0,2017,04-03,04-07,2.8816624982299914,8.766651150752438,W,100%,Low,High,pos_change,17_Apr_m1,04-01,04-18
0,2017,03-29,03-30,4.849438271462343,1.2555043869431446,L,90%,Low,High,pos_change,17_Apr_m1,03-29,03-30
