,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-08,01-11,1.0230161151362689,5.575155555655103,W,100%,Low,High,pos_change,16_Jan_m1,01-06,01-11
0,2016,02-09,02-10,2.063010489360829,3.423424067410968,W,100%,Low,High,pos_change,16_Feb_m1,02-07,02-15
0,2016,01-19,01-20,3.270778853182707,0.8156006592727446,L,90%,Low,High,pos_change,16_Feb_m1,01-19,01-20
0,2016,02-24,03-04,1.574803149606299,7.711271036477721,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-09
0,2016,02-24,02-25,4.0798858417950825,3.098596468068417,L,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-21,03-31,1.890033090533091,4.092237122268787,W,100%,Low,High,pos_change,16_Apr_m1,03-21,04-11
0,2016,03-21,03-23,3.275298670181072,1.4615109570640286,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-24
0,2016,04-22,04-28,2.783074045605479,3.0023095595082974,W,100%,Low,High,pos_change,16_May_m1,04-21,05-18
0,2016,04-18,04-19,3.692305131392046,1.0032352632849006,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-03,06-08,1.4547496484805682,2.3146600102515924,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-13
0,2016,06-28,07-08,1.192345367680953,8.763060150032105,W,100%,Low,High,pos_change,16_Jul_m1,06-28,07-09
0,2016,06-27,06-28,2.562541928504872,2.845388081959733,W,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,08-02,08-05,1.3787043026131944,1.4516168767034932,W,100%,Low,High,pos_change,16_Aug_m1,07-31,08-12
0,2016,08-11,08-12,2.227431318606784,0.2564112345377604,L,90%,Low,High,pos_change,16_Aug_m1,08-11,08-12
0,2016,09-01,09-02,1.9402363990783955,1.5826918209980363,L,100%,Low,High,pos_change,16_Sep_m1,08-31,09-14
0,2016,08-31,09-01,4.915046115175124,0.3206136203295441,L,90%,Low,High,pos_change,16_Sep_m1,08-31,09-01
0,2016,09-28,09-29,2.1929769404718207,1.689192290894752,L,100%,Low,High,pos_change,16_Oct_m1,09-28,10-13
0,2016,09-26,09-27,4.135221072857818,1.5243944027142573,L,90%,Low,High,pos_change,16_Oct_m1,09-24,09-27
0,2016,10-26,11-17,3.127669203533354,8.12609074285781,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-17
0,2016,10-24,10-25,4.49999950408935,0.3806191394601623,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-09,12-13,2.0723460034832586,2.073365291809334,W,100%,Low,High,pos_change,16_Dec_m1,12-08,12-16
0,2016,12-02,12-05,2.836068764774649,0.6078094220740335,L,90%,Low,High,pos_change,16_Dec_m1,12-02,12-05
0,2017,01-11,01-12,1.6547823556437375,0.7362336380442833,L,100%,Low,Open,pos_change,17_Jan_m1,01-08,01-18
0,2017,01-11,01-12,2.010420991576092,0.7362336380442833,L,90%,Low,High,pos_change,17_Jan_m1,01-09,01-12
0,2017,02-08,02-15,2.063010489360829,3.7252211615752833,W,100%,Low,High,pos_change,17_Feb_m1,02-07,02-15
0,2017,01-23,01-24,3.2000015234374506,1.622717495036367,L,90%,Low,High,pos_change,17_Feb_m1,01-23,01-24
0,2017,02-24,03-01,1.574803149606299,1.9140352706043549,W,100%,Low,High,pos_change,17_Mar_m1,02-22,03-09
0,2017,02-21,02-22,3.3737022885503163,0.6921565830193656,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-23
0,2017,04-07,04-20,1.894057057838432,2.0721971666528987,W,100%,Low,High,pos_change,17_Apr_m1,04-07,04-20
0,2017,04-28,05-04,1.6208072371178188,1.3135100729340037,L,100%,Low,High,pos_change,17_May_m1,04-25,05-14
0,2017,04-26,04-27,2.8350443783775603,0.1708807095230641,L,90%,Low,High,pos_change,17_May_m1,04-26,04-27
0,2017,06-05,06-12,1.4547496484805682,5.969073579015416,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-13
0,2017,06-29,07-03,2.562541928504872,2.986192914464131,W,100%,Low,High,pos_change,17_Jul_m1,06-26,07-17
0,2017,06-29,06-30,3.5469148494561287,1.4930927550248765,L,90%,Low,High,pos_change,17_Jul_m1,06-28,07-01
0,2017,08-01,08-08,1.3787043026131944,2.21080990408505,W,100%,Low,High,pos_change,17_Aug_m1,07-31,08-12
0,2017,07-25,07-28,1.5102078655074096,2.0504732231321827,W,90%,Low,High,pos_change,17_Aug_m1,07-25,07-28
0,2017,08-30,09-01,1.4285672709092003,4.761908673257672,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-08
0,2017,09-29,10-02,1.5354082186539342,2.498960054097841,W,100%,Low,High,pos_change,17_Oct_m1,09-27,10-02
0,2017,09-25,09-26,3.920119848006811,1.4486977326126338,L,90%,Low,High,pos_change,17_Oct_m1,09-24,09-27
0,2017,10-25,10-26,3.127669203533354,1.643191701259343,L,100%,Low,High,pos_change,17_Nov_m1,10-24,11-17
0,2017,10-25,10-26,4.100565038302529,1.643191701259343,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,12-07,12-12,1.7578774854587236,2.3255761620848614,W,100%,Low,High,pos_change,17_Dec_m1,12-07,12-14
0,2017,12-05,12-06,3.1925130511972317,0.9620834645377592,L,90%,Low,High,pos_change,17_Dec_m1,12-05,12-06
0,2018,01-09,01-11,1.0279512642009982,7.067912319712796,W,100%,Low,High,pos_change,18_Jan_m1,01-09,01-18
0,2018,01-09,01-11,1.9748201152942595,7.067912319712796,W,90%,Low,Open,pos_change,18_Jan_m1,01-09,01-12
0,2018,02-09,02-12,2.063010489360829,6.394940164182315,W,100%,Low,High,pos_change,18_Feb_m1,02-07,02-15
0,2018,01-30,01-31,2.788844621513944,2.006271046665596,L,90%,Low,High,pos_change,18_Feb_m1,01-28,01-31
0,2018,02-23,02-27,1.574803149606299,4.761905739742949,W,100%,Low,High,pos_change,18_Mar_m1,02-22,03-09
0,2018,02-21,02-22,3.1604538337632144,4.290660056721196,W,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,03-22,03-28,2.1003463851761497,4.729729075679909,W,100%,Low,High,pos_change,18_Apr_m1,03-19,04-09
0,2018,03-26,03-27,3.807439258865971,7.776899275370562,W,90%,Low,High,pos_change,18_Apr_m1,03-25,03-27
0,2018,05-09,05-17,1.5531435709762484,6.573423905806108,W,100%,Low,High,pos_change,18_May_m1,05-09,05-18
0,2018,04-25,04-26,2.5000046284994437,4.241551194235544,W,90%,Low,High,pos_change,18_May_m1,04-25,04-28
0,2018,06-05,06-12,1.4547496484805682,4.585801638089693,W,100%,Low,High,pos_change,18_Jun_m1,06-03,06-13
0,2018,05-29,05-30,2.4693921916538843,1.569185796072062,L,90%,Low,High,pos_change,18_Jun_m1,05-29,05-30
0,2018,06-26,06-27,2.562541928504872,7.841669471518507,W,100%,Low,High,pos_change,18_Jul_m1,06-26,07-17
0,2018,07-09,07-10,3.504050044306984,1.9410463137047316,L,90%,Low,High,pos_change,18_Jul_m1,07-09,07-10
0,2018,07-31,08-01,1.3787043026131944,2.9635259217701693,W,100%,Low,High,pos_change,18_Aug_m1,07-31,08-12
0,2018,07-30,07-31,1.569241072654938,4.919296543293039,W,90%,Low,High,pos_change,18_Aug_m1,07-30,07-31
0,2018,09-14,09-19,1.6816504827343142,4.9273090309336895,W,100%,Low,High,pos_change,18_Sep_m1,09-13,09-20
0,2018,09-28,10-01,1.5354082186539342,16.177778106915515,W,100%,Low,High,pos_change,18_Oct_m1,09-27,10-02
0,2018,10-30,10-31,1.8228380698000348,5.268490130524479,W,100%,Low,High,pos_change,18_Nov_m1,10-27,11-10
0,2018,10-30,10-31,3.7899117062972927,5.268490130524479,W,90%,Low,High,pos_change,18_Nov_m1,10-30,11-02
0,2018,12-11,12-19,2.4359395130191848,19.369368463761926,W,100%,Low,High,pos_change,18_Dec_m1,12-10,12-20
0,2019,01-09,01-17,1.0279512642009982,12.347186922605868,W,100%,Low,High,pos_change,19_Jan_m1,01-09,01-17
0,2019,01-09,01-11,1.9748201152942595,9.413202511538865,W,90%,Low,Open,pos_change,19_Jan_m1,01-09,01-12
0,2019,02-08,02-13,2.063010489360829,9.224322951992937,W,100%,Low,High,pos_change,19_Feb_m1,02-07,02-15
0,2019,01-24,01-25,2.7258834318026093,6.96864496816553,W,90%,Low,Open,pos_change,19_Feb_m1,01-24,01-26
0,2019,02-22,02-25,1.574803149606299,17.617615461054434,W,100%,Low,High,pos_change,19_Mar_m1,02-22,03-09
0,2019,02-20,02-21,3.3737022885503163,1.8981041846337257,L,90%,Low,High,pos_change,19_Mar_m1,02-20,02-23
0,2019,03-18,03-19,2.1003463851761497,3.711132152951756,W,100%,Low,High,pos_change,19_Apr_m1,03-18,03-31
0,2019,03-25,03-27,3.807439258865971,3.77166024192218,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-27
0,2019,05-10,05-15,1.3624003827619615,6.34595554257526,W,100%,Low,High,pos_change,19_May_m1,05-09,05-16
0,2019,04-22,04-23,2.7474336418693177,2.0697121358065425,L,90%,Low,High,pos_change,19_May_m1,04-22,04-23
0,2019,06-03,06-13,1.4547496484805682,13.729734678526182,W,100%,Low,High,pos_change,19_Jun_m1,06-03,06-13
0,2019,05-23,05-24,3.620177070410716,2.217529379361461,L,90%,Low,High,pos_change,19_Jun_m1,05-23,05-25
0,2019,06-26,07-02,2.562541928504872,5.098043798896263,W,100%,Low,High,pos_change,19_Jul_m1,06-26,07-17
0,2019,06-28,07-01,3.248962203478412,3.375124255855832,W,90%,Low,High,pos_change,19_Jul_m1,06-28,07-01
0,2019,07-31,08-01,1.3787043026131944,4.3781051943555,W,100%,Low,High,pos_change,19_Aug_m1,07-31,08-12
0,2019,07-25,07-26,1.5102078655074096,1.8339820497499504,W,90%,Low,High,pos_change,19_Aug_m1,07-25,07-28
0,2019,09-13,09-20,1.6816504827343142,4.37636327686239,W,100%,Low,High,pos_change,19_Sep_m1,09-13,09-20
0,2019,08-20,08-21,3.84957069439122,1.8007157251393815,L,90%,Low,High,pos_change,19_Sep_m1,08-20,08-21
0,2019,09-27,09-30,1.5354082186539342,1.2235885778880369,L,100%,Low,High,pos_change,19_Oct_m1,09-27,10-02
0,2019,10-29,11-08,1.8228380698000348,29.33930342690519,W,100%,Low,High,pos_change,19_Nov_m1,10-27,11-10
0,2019,10-30,11-01,3.755055080176523,7.003092713741641,W,90%,Low,High,pos_change,19_Nov_m1,10-30,11-02
0,2019,12-10,12-13,2.4359395130191848,6.227108978249763,W,100%,Low,High,pos_change,19_Dec_m1,12-10,12-20
0,2019,12-02,12-03,2.836068764774649,0.0,L,90%,Low,High,pos_change,19_Dec_m1,12-02,12-03
0,2020,02-10,02-12,2.063010489360829,3.837116316000309,W,100%,Low,High,pos_change,20_Feb_m1,02-07,02-15
0,2020,01-22,01-24,3.4144670845102127,4.757708755099636,W,90%,Low,High,pos_change,20_Feb_m1,01-21,01-24
