,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-12,3.022877378679749,2.5616985481030827,L,100%,Open,High,pos_change,16_Jan_m1,01-05,01-12
0,2016,01-29,02-17,4.93144208037825,11.138100285437393,W,100%,Low,High,pos_change,16_Feb_m1,01-28,02-18
0,2016,03-04,03-08,2.1827529804312475,4.087510781955414,W,100%,Low,High,pos_change,16_Mar_m1,03-01,03-10
0,2016,03-24,04-14,3.646063597907497,10.431567472029537,W,100%,Low,High,pos_change,16_Apr_m1,03-23,04-14
0,2016,03-21,03-22,6.001305158986157,4.399998982747396,L,90%,Low,High,pos_change,16_Apr_m1,03-21,03-23
0,2016,05-12,05-13,3.2061073592642466,2.656065947853787,L,100%,Low,High,pos_change,16_May_m1,05-11,05-20
0,2016,04-18,04-19,8.269226856720753,2.6704747021534474,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,05-23,06-01,2.75376669725581,6.139821339523176,W,100%,Low,High,pos_change,16_Jun_m1,05-23,06-04
0,2016,06-09,06-10,4.145480948742224,0.0,L,90%,Low,High,pos_change,16_Jun_m1,06-09,06-12
0,2016,06-27,07-08,2.213740102353275,11.575981114506522,W,100%,Low,High,pos_change,16_Jul_m1,06-27,07-08
0,2016,06-23,06-24,4.129870526202313,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,07-20,07-25,3.268707333382556,4.406580572548864,W,100%,Low,High,pos_change,16_Aug_m1,07-19,08-04
0,2016,07-18,07-19,6.93830615999939,0.5666680430810648,L,90%,Low,High,pos_change,16_Aug_m1,07-18,07-19
0,2016,09-06,09-08,3.887961129638388,2.446601151648463,L,100%,Low,High,pos_change,16_Sep_m1,09-04,09-12
0,2016,08-30,08-31,6.551730673759851,1.210397589087864,L,90%,Low,High,pos_change,16_Sep_m1,08-30,08-31
0,2016,09-22,09-23,4.214134693307424,1.3597014256782405,L,100%,Low,High,pos_change,16_Oct_m1,09-22,10-16
0,2016,09-21,09-22,5.722435346669915,1.6612897062390015,L,90%,Low,High,pos_change,16_Oct_m1,09-21,09-24
0,2016,10-28,11-09,4.141833530300983,9.244840000987663,W,100%,Low,High,pos_change,16_Nov_m1,10-25,11-12
0,2016,10-26,10-27,4.435896262144431,2.827899829936219,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,12-05,12-14,2.165439569925515,6.103154971532165,W,100%,Low,High,pos_change,16_Dec_m1,12-02,12-16
0,2016,12-01,12-02,3.374235179934358,1.2101172148597774,L,90%,Low,High,pos_change,16_Dec_m1,11-29,12-02
0,2017,01-04,01-05,2.5752810477131067,3.320786921096077,W,100%,Low,High,pos_change,17_Jan_m1,01-04,01-13
0,2017,01-30,02-07,4.477608541147568,3.6042445961241167,L,100%,Low,High,pos_change,17_Feb_m1,01-28,02-17
0,2017,01-26,01-27,6.1739367592865255,1.4335862560669232,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,03-01,03-02,2.1827529804312475,1.2425061243818003,L,100%,Low,High,pos_change,17_Mar_m1,03-01,03-10
0,2017,03-24,03-31,3.646063597907497,1.6815549615022098,L,100%,Low,High,pos_change,17_Apr_m1,03-23,04-14
