,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-07,01-12,1.3738065969663815,2.7858751729880527,W,100%,Low,High,pos_change,16_Jan_m1,01-05,01-12
0,2016,01-27,02-01,1.3896815138744745,4.13616793827898,W,100%,Low,High,pos_change,16_Feb_m1,01-24,02-08
0,2016,03-08,03-15,1.044107796510055,3.5292132885962078,W,100%,Low,High,pos_change,16_Mar_m1,03-08,03-15
0,2016,03-04,03-07,1.6052660564878234,0.7556687971532301,L,90%,Low,High,pos_change,16_Mar_m1,03-04,03-07
0,2016,03-30,04-05,0.8247422680412372,4.683498123658019,W,100%,Low,High,pos_change,16_Apr_m1,03-30,04-08
0,2016,03-23,03-24,1.9651564195882536,2.9098769833064178,W,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-25,05-13,2.4161630659583504,7.887327682819451,W,100%,Low,High,pos_change,16_May_m1,04-25,05-16
0,2016,04-25,04-26,2.811249765305047,1.5410113151445697,L,90%,Low,High,pos_change,16_May_m1,04-23,04-26
0,2016,06-03,06-17,1.5625004735538726,4.162052738205936,W,100%,Low,High,pos_change,16_Jun_m1,06-03,06-17
0,2016,05-23,05-24,2.480448291288408,0.3680581469972704,L,90%,Low,High,pos_change,16_Jun_m1,05-23,05-24
0,2016,07-05,07-06,0.6457564575645757,1.7008135148660442,W,100%,Low,High,pos_change,16_Jul_m1,07-03,07-12
0,2016,06-28,06-29,2.429358761493221,4.220380364403092,W,90%,Low,High,pos_change,16_Jul_m1,06-26,06-29
0,2016,08-03,08-12,1.5784905868625403,3.206692884099441,W,100%,Low,High,pos_change,16_Aug_m1,08-01,08-13
0,2016,08-03,08-05,2.1739130434782608,2.267802424809472,W,90%,Low,High,pos_change,16_Aug_m1,08-02,08-05
0,2016,08-26,08-30,1.0729614085238022,1.2590173417890924,W,100%,Low,High,pos_change,16_Sep_m1,08-26,09-13
0,2016,08-23,08-24,2.579057012656599,0.1832754164086515,L,90%,Low,High,pos_change,16_Sep_m1,08-23,08-24
0,2016,09-27,09-29,1.81818049707454,1.3058495884586323,L,100%,Low,High,pos_change,16_Oct_m1,09-26,10-17
0,2016,09-27,09-28,2.6595744680851063,0.9911910863802648,L,90%,Low,High,pos_change,16_Oct_m1,09-27,09-28
0,2016,11-09,11-10,2.0027727848923766,2.190616630209709,W,100%,Low,High,pos_change,16_Nov_m1,11-08,11-17
0,2016,11-07,11-08,2.3486957318808765,4.958135717171543,W,90%,Low,High,pos_change,16_Nov_m1,11-07,11-10
0,2016,11-21,12-14,2.321724709784411,5.102537746882729,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-14
0,2017,01-06,01-12,1.3738065969663815,0.8474583647183777,L,100%,Low,High,pos_change,17_Jan_m1,01-05,01-12
0,2017,01-09,01-10,1.8391269592586452,0.3469912142833055,L,90%,Low,High,pos_change,17_Jan_m1,01-07,01-10
0,2017,01-24,01-25,1.3896815138744745,1.691909787021756,W,100%,Low,High,pos_change,17_Feb_m1,01-24,02-08
0,2017,02-07,02-08,2.5904033804927997,1.3166472159686005,L,90%,Low,High,pos_change,17_Feb_m1,02-07,02-08
0,2017,02-21,02-24,1.5274399244512964,2.2488794207404643,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-17
0,2017,02-21,02-22,1.7442874028626263,1.599205261854857,L,90%,Low,High,pos_change,17_Mar_m1,02-20,02-22
0,2017,03-23,03-24,1.6722408026755853,1.425904183947798,L,100%,Low,Close,pos_change,17_Apr_m1,03-23,04-01
0,2017,03-20,03-21,2.715470052688763,0.8131458548210754,L,90%,Low,High,pos_change,17_Apr_m1,03-20,03-21
0,2017,04-28,05-04,2.4161630659583504,5.372768161737826,W,100%,Low,High,pos_change,17_May_m1,04-25,05-16
0,2017,04-24,04-25,2.811249765305047,0.811886725960422,L,90%,Low,High,pos_change,17_May_m1,04-24,04-27
0,2017,06-05,06-14,1.5095432596892655,4.361537347716971,W,100%,Low,High,pos_change,17_Jun_m1,06-03,06-15
0,2017,05-22,05-23,2.550422964642228,1.568909013587572,L,90%,Low,High,pos_change,17_Jun_m1,05-22,05-23
0,2017,06-29,06-30,1.932984717861115,1.603208376572129,L,100%,Low,High,pos_change,17_Jul_m1,06-29,07-14
0,2017,06-30,07-03,2.6132374721420395,0.8540818301452455,L,90%,Close,High,pos_change,17_Jul_m1,06-30,07-03
0,2017,08-02,08-11,1.5784905868625403,4.148392556878864,W,100%,Low,High,pos_change,17_Aug_m1,08-01,08-13
0,2017,08-02,08-04,2.1739130434782608,3.453946175961273,W,90%,Low,High,pos_change,17_Aug_m1,08-02,08-05
0,2017,08-29,09-12,1.0729614085238022,4.285709634877571,W,100%,Low,High,pos_change,17_Sep_m1,08-26,09-13
0,2017,08-24,08-25,2.0857004913031925,0.7190323629364487,L,90%,Low,High,pos_change,17_Sep_m1,08-23,08-25
0,2017,09-20,09-28,1.4680821844872007,4.920633863399631,W,100%,Low,High,pos_change,17_Oct_m1,09-18,10-18
0,2017,09-27,09-28,2.434122783165037,2.899400070370365,W,90%,Low,High,pos_change,17_Oct_m1,09-27,09-28
0,2017,11-08,11-15,2.0027727848923766,5.89723378027953,W,100%,Low,High,pos_change,17_Nov_m1,11-08,11-17
0,2017,10-25,10-26,1.9330622010059413,1.720095916223402,L,90%,Low,Open,pos_change,17_Nov_m1,10-24,10-26
0,2017,11-22,12-05,2.321724709784411,9.171210584627278,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-14
0,2017,11-20,11-21,3.3135150466844108,0.8572476440192178,L,90%,Open,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-05,01-08,1.3738065969663815,1.4834812418112944,W,100%,Low,High,pos_change,18_Jan_m1,01-05,01-18
0,2018,01-08,01-09,1.6168133477399576,0.1846577319373731,L,90%,Low,High,pos_change,18_Jan_m1,01-06,01-09
