,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-26,02-01,3.286721570045448,4.7162559272797,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-19
0,2016,01-26,01-29,4.026091249621241,4.217792886072267,W,90%,Low,High,pos_change,16_Feb_m1,01-26,01-29
0,2016,02-25,03-18,2.7159320076763778,10.537716024981796,W,100%,Low,Open,pos_change,16_Mar_m1,02-25,03-18
0,2016,02-24,02-25,3.8645962223118864,5.646817159996313,W,90%,Low,High,pos_change,16_Mar_m1,02-24,02-25
0,2016,03-24,03-30,1.400564453363356,3.24444868378721,W,100%,Low,High,pos_change,16_Apr_m1,03-22,04-08
0,2016,03-23,03-24,2.057125124275989,0.0,L,90%,Low,High,pos_change,16_Apr_m1,03-23,03-26
0,2016,04-22,05-18,2.558276775510268,6.156850928184332,W,100%,Low,High,pos_change,16_May_m1,04-22,05-20
0,2016,04-25,04-28,3.566506142137144,4.193204021036449,W,90%,Low,High,pos_change,16_May_m1,04-25,04-28
0,2016,05-26,05-31,1.545214410943495,2.678869635986471,W,100%,Low,High,pos_change,16_Jun_m1,05-25,06-06
0,2016,05-26,05-27,2.1822222222222223,1.4143133284510283,L,90%,Low,High,pos_change,16_Jun_m1,05-26,05-27
0,2016,06-27,07-14,2.4549323017408127,9.758212962021105,W,100%,Low,High,pos_change,16_Jul_m1,06-24,07-15
0,2016,06-23,06-24,2.90200903910006,0.0,L,90%,Low,High,pos_change,16_Jul_m1,06-23,06-26
0,2016,08-15,08-18,1.8271658155653208,1.8895583302574657,W,100%,Low,High,pos_change,16_Aug_m1,08-13,08-18
0,2016,08-08,08-09,2.2907972197342192,0.793139670036707,L,90%,Low,High,pos_change,16_Aug_m1,08-06,08-09
0,2016,08-22,09-06,1.94594406506894,4.470432795467741,W,100%,Low,High,pos_change,16_Sep_m1,08-22,09-09
0,2016,09-29,10-10,2.4801371132713026,3.287279108617278,W,100%,Low,High,pos_change,16_Oct_m1,09-29,10-21
0,2016,09-21,09-22,3.847389663108327,1.595166151718965,L,90%,Low,High,pos_change,16_Oct_m1,09-21,09-24
0,2016,10-25,11-14,3.227101005412489,13.404182781604106,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-16
0,2016,10-24,10-25,4.246833764662545,0.2517304026984241,L,90%,Low,High,pos_change,16_Nov_m1,10-24,10-25
0,2016,12-01,12-08,2.131772501223697,5.447587010438601,W,100%,Low,High,pos_change,16_Dec_m1,12-01,12-12
0,2016,12-02,12-05,2.442331415341624,1.6291281846428136,L,90%,Low,High,pos_change,16_Dec_m1,12-02,12-05
0,2017,01-12,01-13,1.3292034999915607,2.435998560222233,W,100%,Low,High,pos_change,17_Jan_m1,01-10,01-18
0,2017,01-03,01-04,2.117973832952129,1.894506389006768,L,90%,Low,High,pos_change,17_Jan_m1,01-03,01-04
0,2017,01-27,02-13,2.4695818241138463,2.5050513270728114,W,100%,Low,High,pos_change,17_Feb_m1,01-25,02-13
0,2017,01-26,01-27,3.6025937422726697,0.6576269624494748,L,90%,Low,High,pos_change,17_Feb_m1,01-26,01-29
0,2017,02-27,03-08,2.594474720332624,3.500784187413842,W,100%,Low,High,pos_change,17_Mar_m1,02-25,03-17
0,2017,04-17,04-20,1.6258706942380827,2.923820247529656,W,100%,Low,High,pos_change,17_Apr_m1,04-15,04-21
0,2017,03-29,03-30,3.248531997084444,1.71143110509009,L,90%,Low,High,pos_change,17_Apr_m1,03-28,03-30
0,2017,04-24,04-25,2.956520626553349,1.5757247949556776,L,100%,Low,High,pos_change,17_May_m1,04-24,05-08
0,2017,04-26,04-27,3.7756244680805096,1.2472379748571956,L,90%,Low,High,pos_change,17_May_m1,04-25,04-28
0,2017,05-25,06-02,1.545214410943495,2.6846459638038387,W,100%,Low,High,pos_change,17_Jun_m1,05-25,06-06
0,2017,06-26,07-14,2.4549323017408127,4.26181505241461,W,100%,Low,High,pos_change,17_Jul_m1,06-24,07-15
0,2017,06-26,06-27,2.9691014057539937,1.3940561019810596,L,90%,Low,High,pos_change,17_Jul_m1,06-26,06-27
0,2017,08-14,08-16,1.8271658155653208,1.0551667467820949,L,100%,Low,High,pos_change,17_Aug_m1,08-13,08-18
0,2017,07-27,07-28,2.272726280438755,1.6166210769407872,L,90%,Low,High,pos_change,17_Aug_m1,07-27,07-30
0,2017,08-22,08-25,1.94594406506894,1.4863095632425107,L,100%,Low,High,pos_change,17_Sep_m1,08-22,09-03
0,2017,08-21,08-23,2.648460508247843,1.8622926805840163,L,90%,Low,High,pos_change,17_Sep_m1,08-21,08-24
0,2017,09-28,10-19,2.0270255840261098,3.9672562535810822,W,100%,Low,High,pos_change,17_Oct_m1,09-28,10-19
0,2017,10-26,11-07,3.227101005412489,5.082264489758573,W,100%,Low,High,pos_change,17_Nov_m1,10-23,11-16
0,2017,10-31,11-02,3.823354183085005,2.059527805873326,L,90%,Low,High,pos_change,17_Nov_m1,10-30,11-02
0,2017,12-01,12-08,2.131772501223697,3.979694141286984,W,100%,Low,High,pos_change,17_Dec_m1,12-01,12-12
0,2017,11-20,11-21,2.77634695985606,0.8007540271290926,L,90%,Low,High,pos_change,17_Dec_m1,11-20,11-21
0,2018,01-10,01-11,1.3292034999915607,1.4344704879139758,W,100%,Low,High,pos_change,18_Jan_m1,01-10,01-18
0,2018,01-05,01-08,1.5742407822599789,1.061006906338814,L,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,01-26,01-29,2.4695818241138463,1.2439173216227692,L,100%,Low,High,pos_change,18_Feb_m1,01-25,02-13
0,2018,01-22,01-23,3.7433079604976895,1.0215197518995758,L,90%,Low,High,pos_change,18_Feb_m1,01-22,01-23
0,2018,02-28,03-09,2.519270891492407,2.413880098883537,L,100%,Low,High,pos_change,18_Mar_m1,02-25,03-09
0,2018,02-26,02-27,3.500784187413842,2.096126485202818,L,90%,Low,High,pos_change,18_Mar_m1,02-26,02-27
0,2018,03-22,04-19,2.2316053573197,4.7539365378734,W,100%,Low,High,pos_change,18_Apr_m1,03-19,04-19
0,2018,05-03,05-11,1.5228443456993843,3.794268433208839,W,100%,Low,High,pos_change,18_May_m1,05-03,05-18
0,2018,04-25,04-27,3.3621049667263336,2.4661064405788213,L,90%,Low,High,pos_change,18_May_m1,04-25,04-28
0,2018,05-25,06-01,1.545214410943495,1.4521581831980344,L,100%,Low,High,pos_change,18_Jun_m1,05-25,06-06
0,2018,06-27,07-09,2.4549323017408127,4.438707154895373,W,100%,Low,High,pos_change,18_Jul_m1,06-24,07-15
0,2018,06-26,06-27,2.9691014057539937,0.3493986934064382,L,90%,Low,High,pos_change,18_Jul_m1,06-26,06-27
0,2018,08-03,08-17,1.5297476691172585,3.05645716271259,W,100%,Low,High,pos_change,18_Aug_m1,08-03,08-17
0,2018,08-06,08-07,1.861587964074627,1.7772658839104658,L,90%,Low,High,pos_change,18_Aug_m1,08-06,08-09
0,2018,08-23,09-06,1.94594406506894,2.181605900785283,W,100%,Low,High,pos_change,18_Sep_m1,08-22,09-20
0,2018,08-20,08-21,2.982457578640907,1.6451066011834825,L,90%,Low,High,pos_change,18_Sep_m1,08-20,08-21
0,2018,09-28,10-10,2.0270255840261098,4.708501672066698,W,100%,Low,High,pos_change,18_Oct_m1,09-28,10-19
0,2018,09-24,09-25,3.431135870863962,0.6587100301623185,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-25
0,2018,10-25,11-14,3.242981925356245,9.770981405700338,W,100%,Low,High,pos_change,18_Nov_m1,10-22,11-16
0,2018,10-23,10-24,3.820778858818352,1.1828646650364223,L,90%,Low,High,pos_change,18_Nov_m1,10-22,10-24
0,2018,12-03,12-04,2.275027167741762,0.243844725702811,L,100%,Low,High,pos_change,18_Dec_m1,12-02,12-19
0,2018,11-20,11-21,2.77634695985606,2.5770140300601887,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-21
0,2019,01-11,01-18,1.3292034999915607,4.190410529820367,W,100%,Low,High,pos_change,19_Jan_m1,01-10,01-18
0,2019,01-09,01-11,1.3292034999915607,1.7644064625369411,W,90%,Low,High,pos_change,19_Jan_m1,01-09,01-12
0,2019,01-23,02-06,1.7170200920385914,4.773119637148812,W,100%,Low,High,pos_change,19_Feb_m1,01-21,02-07
0,2019,02-26,03-01,2.519270891492407,1.7015089288396683,L,100%,Low,High,pos_change,19_Mar_m1,02-25,03-12
0,2019,02-26,03-01,3.057670689458939,1.7015089288396683,L,90%,Low,High,pos_change,19_Mar_m1,02-26,03-01
0,2019,03-22,04-18,2.2316053573197,13.74454676547897,W,100%,Low,High,pos_change,19_Apr_m1,03-19,04-19
0,2019,04-30,05-10,1.4987069913580044,1.820908023719443,W,100%,Low,High,pos_change,19_May_m1,04-29,05-10
0,2019,04-22,04-23,3.21364612389438,0.9256080630950836,L,90%,Low,High,pos_change,19_May_m1,04-22,04-24
0,2019,05-23,06-10,1.499003148431976,4.180211750241696,W,100%,Low,High,pos_change,19_Jun_m1,05-22,06-17
0,2019,06-26,07-15,2.4549323017408127,5.457865585019834,W,100%,Low,High,pos_change,19_Jul_m1,06-24,07-15
0,2019,06-26,06-27,2.9691014057539937,1.130392604557461,L,90%,Low,High,pos_change,19_Jul_m1,06-26,06-27
0,2019,08-02,08-09,1.4995353317967468,2.134741959123151,W,100%,Low,High,pos_change,19_Aug_m1,07-31,08-09
0,2019,08-07,08-09,1.708047799256759,6.358312192241415,W,90%,Low,High,pos_change,19_Aug_m1,08-06,08-09
0,2019,08-28,09-13,1.8094870697525645,11.861243601024334,W,100%,Low,High,pos_change,19_Sep_m1,08-25,09-20
0,2019,08-29,08-30,2.365026662670288,2.864709555474529,W,90%,Low,High,pos_change,19_Sep_m1,08-29,09-01
0,2019,10-03,10-11,2.018448317494998,5.205692418685564,W,100%,Low,High,pos_change,19_Oct_m1,10-01,10-13
0,2019,09-25,09-27,3.25379151826039,2.203939995291868,L,90%,Low,High,pos_change,19_Oct_m1,09-24,09-27
0,2019,10-25,11-15,3.0009651451661004,6.025240219633505,W,100%,Low,High,pos_change,19_Nov_m1,10-22,11-15
0,2019,10-21,10-24,3.820778858818352,2.9585149076419976,L,90%,Low,High,pos_change,19_Nov_m1,10-21,10-24
0,2019,11-25,12-12,1.8625442830660333,5.888779031665398,W,100%,Low,High,pos_change,19_Dec_m1,11-23,12-13
0,2019,11-18,11-19,3.0331513566609587,1.8283424149866885,L,90%,Low,High,pos_change,19_Dec_m1,11-18,11-19
0,2020,02-10,02-20,2.638978807766927,3.281120526048489,W,100%,Low,High,pos_change,20_Feb_m1,02-09,02-21
0,2020,01-23,01-24,3.7433079604976895,2.6364423196179647,L,90%,Low,High,pos_change,20_Feb_m1,01-22,01-25
0,2020,02-28,03-03,2.7430539543303087,7.244933154685874,W,100%,Low,High,pos_change,20_Mar_m1,02-27,03-19
0,2020,02-24,02-25,3.460382382818529,0.649597470793253,L,90%,Low,High,pos_change,20_Mar_m1,02-24,02-25
0,2020,03-26,04-09,1.9877643882082308,21.17190549105966,W,100%,Low,High,pos_change,20_Apr_m1,03-26,04-11
0,2020,03-24,03-25,2.3487413945620985,18.410185941752705,W,90%,Low,High,pos_change,20_Apr_m1,03-24,03-25
0,2020,04-23,04-29,1.9338293246594067,20.60014211011479,W,100%,Low,High,pos_change,20_May_m1,04-21,05-02
0,2020,04-22,04-23,3.21364612389438,5.341535280218709,W,90%,Low,High,pos_change,20_May_m1,04-22,04-23
0,2020,05-22,06-08,1.499003148431976,23.52448868577901,W,100%,Low,High,pos_change,20_Jun_m1,05-22,06-17
0,2020,05-26,05-27,2.1822222222222223,7.692309251697964,W,90%,Low,High,pos_change,20_Jun_m1,05-26,05-27
0,2020,06-26,07-15,2.4549323017408127,7.978342042081995,W,100%,Low,High,pos_change,20_Jul_m1,06-24,07-15
0,2020,08-04,08-11,1.5297476691172585,11.392572372423237,W,100%,Low,High,pos_change,20_Aug_m1,08-03,08-17
0,2020,08-10,08-11,2.214314719657926,5.739487527055726,W,90%,Low,High,pos_change,20_Aug_m1,08-10,08-13
0,2020,08-26,09-03,1.2255179529768532,3.303700228946001,W,100%,Low,High,pos_change,20_Sep_m1,08-26,09-04
0,2020,08-26,08-27,1.8775551271261135,3.219606407921666,W,90%,Low,Open,pos_change,20_Sep_m1,08-25,08-28
0,2020,10-01,10-09,2.018448317494998,6.477374381906856,W,100%,Low,High,pos_change,20_Oct_m1,10-01,10-13
0,2020,09-24,09-25,2.9982392804699125,4.682317028618478,W,90%,Low,High,pos_change,20_Oct_m1,09-23,09-26
0,2020,10-22,11-16,3.388186454219791,15.845324874179676,W,100%,Low,High,pos_change,20_Nov_m1,10-22,11-17
0,2020,10-23,10-26,4.246833764662545,0.0,L,90%,Low,High,pos_change,20_Nov_m1,10-23,10-26
0,2020,11-23,11-24,1.8625442830660333,4.151103860476927,W,100%,Low,High,pos_change,20_Dec_m1,11-23,12-13
0,2020,12-01,12-02,2.5118830542751414,1.5768119730609056,L,90%,Low,Open,pos_change,20_Dec_m1,12-01,12-02
