,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.1254385112860474,2.18704387611582,W,100%,Low,High,pos_change,16_Jan_m1,01-02,01-14
0,2016,01-07,01-08,2.0564643893044763,1.1904750641601431,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-10
0,2016,01-27,02-16,2.899910493781178,12.882227464639682,W,100%,Close,High,pos_change,16_Feb_m1,01-27,02-17
0,2016,02-01,02-03,4.2654009585737445,2.5234666897820985,L,90%,Low,High,pos_change,16_Feb_m1,01-31,02-03
0,2016,02-24,03-02,1.4071278296512268,4.052855457279117,W,100%,Open,High,pos_change,16_Mar_m1,02-22,03-02
0,2016,03-02,03-03,2.421039220923453,2.842771156951062,W,90%,Low,High,pos_change,16_Mar_m1,03-02,03-05
0,2016,03-31,04-01,1.6574584936717969,1.2993592036743151,L,100%,Low,Open,pos_change,16_Apr_m1,03-30,04-09
0,2016,03-28,03-29,3.608247422680412,1.146830918686563,L,90%,Low,High,pos_change,16_Apr_m1,03-28,03-29
0,2016,04-29,05-10,1.9893606742034076,2.6051452354759337,W,100%,Low,High,pos_change,16_May_m1,04-28,05-18
0,2016,04-18,04-19,3.125004470348552,1.286333029357906,L,90%,Low,High,pos_change,16_May_m1,04-18,04-19
0,2016,06-06,06-08,1.423999301993328,2.352080194296729,W,100%,Low,High,pos_change,16_Jun_m1,06-05,06-14
0,2016,05-31,06-01,1.985232271249444,0.3015502974408803,L,90%,Low,High,pos_change,16_Jun_m1,05-31,06-01
0,2016,06-24,07-01,1.262671795266036,6.561977244474798,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-03
0,2016,06-21,06-23,2.5057517947901635,2.2311311138013674,L,90%,Low,High,pos_change,16_Jul_m1,06-21,06-24
0,2016,07-26,07-28,1.638182476030215,2.655216634669361,W,100%,Low,High,pos_change,16_Aug_m1,07-26,08-14
0,2016,09-01,09-02,1.6949238156632322,1.7804731687438144,W,100%,Low,High,pos_change,16_Sep_m1,08-29,09-12
0,2016,08-29,08-30,2.6086007354975087,1.7711980608400648,L,90%,Low,High,pos_change,16_Sep_m1,08-29,08-30
0,2016,10-06,10-07,2.301466429796548,2.0212366021218533,L,100%,Low,High,pos_change,16_Oct_m1,10-03,10-18
0,2016,10-27,11-15,2.65486779011352,9.213330746536808,W,100%,Low,High,pos_change,16_Nov_m1,10-24,11-15
0,2016,10-26,10-27,3.874976255121992,1.3194309566460238,L,90%,Low,High,pos_change,16_Nov_m1,10-26,10-27
0,2016,11-21,11-25,1.7644515310446125,3.679817456025701,W,100%,Low,High,pos_change,16_Dec_m1,11-21,12-06
0,2016,11-21,11-22,2.941176470588235,2.9290437263457103,L,90%,Low,High,pos_change,16_Dec_m1,11-21,11-22
0,2017,01-03,01-18,1.1424613789690552,5.464947852335903,W,100%,Low,High,pos_change,17_Jan_m1,01-01,01-18
0,2017,01-05,01-06,2.05226344548333,1.1178433777462071,L,90%,Low,High,pos_change,17_Jan_m1,01-05,01-08
0,2017,01-30,02-17,2.899910493781178,5.149363291391319,W,100%,Close,High,pos_change,17_Feb_m1,01-27,02-17
0,2017,01-31,02-01,4.2654009585737445,2.118333236469826,L,90%,Low,High,pos_change,17_Feb_m1,01-31,02-03
0,2017,02-23,03-01,2.3458903999645577,2.508436922121393,W,100%,Low,High,pos_change,17_Mar_m1,02-20,03-02
0,2017,03-02,03-03,2.421039220923453,0.3449657004256063,L,90%,Low,High,pos_change,17_Mar_m1,03-02,03-05
0,2017,04-03,04-19,2.280866762300068,6.455221663272927,W,100%,Low,High,pos_change,17_Apr_m1,04-01,04-19
0,2017,03-28,03-29,4.885999461308304,1.487516579022511,L,90%,Low,High,pos_change,17_Apr_m1,03-28,03-29
0,2017,05-01,05-09,1.9893606742034076,2.2654762473111902,W,100%,Low,High,pos_change,17_May_m1,04-28,05-18
0,2017,04-27,04-28,2.6051452354759337,0.4952084050976084,L,90%,Low,High,pos_change,17_May_m1,04-27,04-30
0,2017,06-08,06-14,1.423999301993328,4.758757163377965,W,100%,Low,High,pos_change,17_Jun_m1,06-05,06-14
0,2017,05-31,06-02,1.985232271249444,3.053017742984069,W,90%,Low,High,pos_change,17_Jun_m1,05-31,06-03
0,2017,07-06,07-07,1.9784172661870505,1.3687510935008371,L,100%,Low,Close,pos_change,17_Jul_m1,07-05,07-21
0,2017,06-27,06-28,4.09356790374768,2.3741183567146424,L,90%,Low,High,pos_change,17_Jul_m1,06-27,06-28
0,2017,07-27,08-01,1.638182476030215,3.0687459448388394,W,100%,Low,High,pos_change,17_Aug_m1,07-26,08-14
0,2017,07-27,07-28,2.213452329368796,2.960015315938706,W,90%,Low,High,pos_change,17_Aug_m1,07-26,07-29
0,2017,08-30,09-08,1.6949238156632322,4.949162135808087,W,100%,Low,High,pos_change,17_Sep_m1,08-29,09-08
0,2017,08-21,08-22,2.1266795258671918,2.2741223218456628,W,90%,Low,High,pos_change,17_Sep_m1,08-21,08-22
0,2017,10-05,10-17,1.8063583615875425,2.126312255859375,W,100%,Low,High,pos_change,17_Oct_m1,10-03,10-17
0,2017,09-25,09-26,2.820129530898522,3.293739850989519,W,90%,Low,High,pos_change,17_Oct_m1,09-24,09-27
0,2017,10-25,10-26,2.65486779011352,2.237112508880456,L,100%,Low,High,pos_change,17_Nov_m1,10-24,11-15
0,2017,10-25,10-26,3.874976255121992,2.237112508880456,L,90%,Low,High,pos_change,17_Nov_m1,10-24,10-27
0,2017,11-21,12-05,1.7644515310446125,11.692273499712655,W,100%,Low,High,pos_change,17_Dec_m1,11-21,12-06
0,2017,11-21,11-22,2.941176470588235,2.298588942218004,L,90%,Low,High,pos_change,17_Dec_m1,11-21,11-22
0,2018,01-02,01-16,1.1424613789690552,9.776006121403196,W,100%,Low,High,pos_change,18_Jan_m1,01-01,01-18
0,2018,01-05,01-08,2.05226344548333,2.4638684447806027,W,90%,Low,High,pos_change,18_Jan_m1,01-05,01-08
0,2018,02-01,02-02,2.1759744801437244,1.3232152427554895,L,100%,Low,Close,pos_change,18_Feb_m1,01-30,02-16
0,2018,01-30,01-31,3.502131632873387,0.9727223318037196,L,90%,Low,High,pos_change,18_Feb_m1,01-30,01-31
0,2018,02-22,02-27,2.3458903999645577,2.985399921403617,W,100%,Low,High,pos_change,18_Mar_m1,02-20,03-02
0,2018,02-21,02-22,2.508436922121393,2.5189208984375,W,90%,Low,High,pos_change,18_Mar_m1,02-20,02-23
0,2018,03-26,04-13,2.743497413386893,6.364682621551046,W,100%,Low,High,pos_change,18_Apr_m1,03-24,04-19
0,2018,05-01,05-18,1.9893606742034076,6.651408459623033,W,100%,Low,High,pos_change,18_May_m1,04-28,05-18
0,2018,04-25,04-27,2.314057596796483,3.5231259795240195,W,90%,Low,High,pos_change,18_May_m1,04-24,04-27
0,2018,06-05,06-11,1.423999301993328,3.030954143396574,W,100%,Low,High,pos_change,18_Jun_m1,06-05,06-14
0,2018,05-31,06-01,1.985232271249444,2.217294975239992,W,90%,Low,High,pos_change,18_Jun_m1,05-31,06-03
0,2018,06-25,06-27,1.262671795266036,2.1729611530699104,W,100%,Low,High,pos_change,18_Jul_m1,06-22,07-03
0,2018,06-25,06-27,3.7654635093193862,2.1729611530699104,L,90%,Low,High,pos_change,18_Jul_m1,06-24,06-27
0,2018,07-27,08-09,1.638182476030215,3.461136101441062,W,100%,Low,High,pos_change,18_Aug_m1,07-26,08-14
0,2018,07-23,07-24,2.349873482524852,1.6956036842104032,L,90%,Low,High,pos_change,18_Aug_m1,07-23,07-24
0,2018,08-30,09-07,1.6949238156632322,3.089541516054651,W,100%,Low,High,pos_change,18_Sep_m1,08-29,09-08
0,2018,10-04,10-09,1.8063583615875425,2.859492639776753,W,100%,Low,High,pos_change,18_Oct_m1,10-03,10-17
0,2018,09-25,09-27,2.820129530898522,1.4585179408996658,L,90%,Low,High,pos_change,18_Oct_m1,09-24,09-27
0,2018,11-02,11-08,2.106256169577387,5.590705512820959,W,100%,Low,High,pos_change,18_Nov_m1,10-30,11-09
0,2018,10-25,10-26,3.43046056695594,0.350875663279292,L,90%,Low,Open,pos_change,18_Nov_m1,10-25,10-28
0,2018,11-23,12-04,1.7644515310446125,6.97040274248184,W,100%,Low,High,pos_change,18_Dec_m1,11-21,12-06
0,2018,11-19,11-20,3.2974740476125266,0.5556082483450784,L,90%,Low,High,pos_change,18_Dec_m1,11-19,11-20
0,2019,01-03,01-18,1.1424613789690552,5.388837335106769,W,100%,Low,High,pos_change,19_Jan_m1,01-01,01-18
0,2019,01-07,01-08,2.05226344548333,2.575891112652139,W,90%,Low,High,pos_change,19_Jan_m1,01-05,01-08
0,2019,01-24,02-12,1.9191082180429568,11.353570075658563,W,100%,Low,High,pos_change,19_Feb_m1,01-21,02-12
0,2019,01-28,01-31,2.9973206249772826,4.453739747278404,W,90%,Low,High,pos_change,19_Feb_m1,01-28,01-31
0,2019,02-20,02-25,2.3458903999645577,3.697541124714365,W,100%,Low,High,pos_change,19_Mar_m1,02-20,03-02
0,2019,02-20,02-22,2.508436922121393,2.431130750599692,L,90%,Low,High,pos_change,19_Mar_m1,02-20,02-23
0,2019,03-25,04-05,2.743497413386893,7.603212754785867,W,100%,Low,High,pos_change,19_Apr_m1,03-24,04-19
0,2019,03-25,03-26,3.969610811047363,2.1576734921220404,L,90%,Low,High,pos_change,19_Apr_m1,03-25,03-26
0,2019,05-02,05-03,1.776389374971599,3.170776556890968,W,100%,Low,High,pos_change,19_May_m1,04-30,05-09
0,2019,04-22,04-23,2.349274644412309,2.8824608180933664,W,90%,Low,High,pos_change,19_May_m1,04-22,04-23
0,2019,06-06,06-17,1.74743716681391,3.149602287495169,W,100%,Low,High,pos_change,19_Jun_m1,06-06,06-19
0,2019,06-10,06-11,2.437242251667028,1.5683606336175455,L,90%,Low,High,pos_change,19_Jun_m1,06-08,06-11
0,2019,07-11,07-16,0.9663535690083834,2.0748830722794915,W,100%,Low,High,pos_change,19_Jul_m1,07-08,07-17
0,2019,06-26,06-27,3.7654635093193862,1.069357730429907,L,90%,Low,High,pos_change,19_Jul_m1,06-24,06-27
0,2019,07-30,07-31,1.9596218357266255,0.9639983503420084,L,100%,Low,High,pos_change,19_Aug_m1,07-27,08-15
0,2019,07-23,07-24,2.6104760600898307,3.10200276022032,W,90%,Low,High,pos_change,19_Aug_m1,07-23,07-24
0,2019,08-29,09-06,1.6949238156632322,6.048703122803371,W,100%,Low,High,pos_change,19_Sep_m1,08-29,09-08
0,2019,10-03,10-17,1.8063583615875425,8.64557132444995,W,100%,Low,High,pos_change,19_Oct_m1,10-03,10-17
0,2019,10-21,11-07,2.267675562792945,7.070306587144219,W,100%,Low,High,pos_change,19_Nov_m1,10-21,11-07
0,2019,10-23,10-24,3.0557415259570098,2.187711570585275,L,90%,Low,High,pos_change,19_Nov_m1,10-23,10-24
0,2019,11-22,12-02,1.7644515310446125,2.9305459797891475,W,100%,Low,High,pos_change,19_Dec_m1,11-21,12-06
0,2020,01-03,01-06,1.1254385112860474,0.6792204484952933,L,100%,Low,High,pos_change,20_Jan_m1,01-02,01-14
0,2020,01-07,01-08,2.05226344548333,1.786248994463635,L,90%,Low,High,pos_change,20_Jan_m1,01-07,01-08
0,2020,01-23,01-24,2.730053663424488,1.516683495305608,L,100%,Low,High,pos_change,20_Feb_m1,01-20,02-16
0,2020,01-23,01-24,4.367633484135235,1.516683495305608,L,90%,Low,High,pos_change,20_Feb_m1,01-22,01-25
0,2020,03-12,03-13,1.6300745350726682,8.854022766064226,W,100%,Low,High,pos_change,20_Mar_m1,03-11,03-19
0,2020,03-06,03-09,2.2082769707828067,1.423621618293018,L,90%,Low,High,pos_change,20_Mar_m1,03-06,03-09
0,2020,04-03,04-17,2.07630815013981,34.80214891320677,W,100%,Low,High,pos_change,20_Apr_m1,04-01,04-17
0,2020,03-25,03-26,3.095709650552266,15.626044026572709,W,90%,Low,High,pos_change,20_Apr_m1,03-25,03-26
0,2020,05-01,05-05,1.776389374971599,3.4584475654509514,W,100%,Low,High,pos_change,20_May_m1,04-30,05-09
0,2020,04-28,04-29,2.2654762473111902,5.754571530806199,W,90%,Low,High,pos_change,20_May_m1,04-28,05-01
0,2020,06-09,06-10,1.74743716681391,1.5194860802191943,L,100%,Low,High,pos_change,20_Jun_m1,06-06,06-19
0,2020,06-25,07-02,1.262671795266036,6.831555263370745,W,100%,Low,High,pos_change,20_Jul_m1,06-22,07-03
0,2020,07-27,08-12,1.157848965028997,11.500461892165209,W,100%,Low,High,pos_change,20_Aug_m1,07-25,08-14
0,2020,07-21,07-24,3.1001527549571506,3.342142726896503,W,90%,Low,High,pos_change,20_Aug_m1,07-21,07-24
0,2020,09-01,09-02,1.6949238156632322,6.774745114820177,W,100%,Low,High,pos_change,20_Sep_m1,08-29,09-08
0,2020,09-30,10-05,1.7494219512703184,3.765383005644845,W,100%,Low,High,pos_change,20_Oct_m1,09-27,10-05
0,2020,09-24,09-25,1.914311076052148,1.50754162355606,L,90%,Low,High,pos_change,20_Oct_m1,09-22,09-25
0,2020,10-22,11-09,2.507942595994048,9.087115909503298,W,100%,Low,High,pos_change,20_Nov_m1,10-19,11-19
0,2020,10-26,10-27,3.874976255121992,1.6961713591256955,L,90%,Low,High,pos_change,20_Nov_m1,10-24,10-27
0,2020,11-27,12-01,1.4287244384863356,5.1331989903246615,W,100%,Low,High,pos_change,20_Dec_m1,11-25,12-06
0,2020,11-24,11-25,2.888941369661638,3.0703101300885565,W,90%,Low,High,pos_change,20_Dec_m1,11-24,11-27
