,test_year,date_start,date_end,target_range,test_yr_vol,WL,test_percentage,start_metric,end_metric,DataType,Type,vol_day_start,vol_day_end
0,2016,01-04,01-05,1.902394866282084,3.486287607474488,W,100%,Low,High,pos_change,16_Jan_m1,01-04,01-15
0,2016,01-07,01-08,3.726324564475141,1.622776429188718,L,90%,Low,High,pos_change,16_Jan_m1,01-07,01-10
0,2016,01-26,02-04,5.838695490502895,17.42637146189175,W,100%,Low,High,pos_change,16_Feb_m1,01-25,02-17
0,2016,01-28,01-29,9.074074074074074,8.123723261218656,L,90%,Low,High,pos_change,16_Feb_m1,01-28,01-29
0,2016,02-24,03-11,3.203661327231121,15.821374582033604,W,100%,Low,High,pos_change,16_Mar_m1,02-22,03-13
0,2016,02-22,02-23,4.938625514722473,3.889063693707908,L,90%,Low,High,pos_change,16_Mar_m1,02-22,02-23
0,2016,03-29,04-08,4.062580285032863,12.488947771683126,W,100%,Low,High,pos_change,16_Apr_m1,03-26,04-11
0,2016,03-29,03-30,5.555555555555555,7.363770084886283,W,90%,Low,High,pos_change,16_Apr_m1,03-29,03-30
0,2016,04-18,05-02,5.623184425243433,14.953019314964347,W,100%,Low,High,pos_change,16_May_m1,04-18,05-09
0,2016,04-18,04-20,6.545997191738529,9.825502946072778,W,90%,Open,High,pos_change,16_May_m1,04-18,04-20
0,2016,05-24,05-26,2.6116267599990914,5.211883385470315,W,100%,Low,High,pos_change,16_Jun_m1,05-24,06-04
0,2016,06-06,06-07,4.95134404760358,7.840410624590967,W,90%,Low,High,pos_change,16_Jun_m1,06-04,06-07
0,2016,06-24,07-12,2.646726202724392,6.70339319763135,W,100%,Low,High,pos_change,16_Jul_m1,06-22,07-13
0,2016,06-27,06-28,4.712041884816754,4.220619398878736,L,90%,Low,High,pos_change,16_Jul_m1,06-25,06-28
0,2016,08-02,08-08,2.334401010722227,8.606556736311257,W,100%,Close,High,pos_change,16_Aug_m1,08-02,08-13
0,2016,07-28,07-29,5.006675720418842,3.0345823722931105,L,90%,Low,High,pos_change,16_Aug_m1,07-27,07-30
0,2016,08-24,08-26,3.669724770642202,2.5600387035352754,L,100%,Low,High,pos_change,16_Sep_m1,08-23,09-11
